,sharpness
96,"tf.Tensor(5.213764800043037, shape=(), dtype=float64)"
97,"tf.Tensor(6.778033277979716, shape=(), dtype=float64)"
98,"tf.Tensor(6.496823411240021, shape=(), dtype=float64)"
99,"tf.Tensor(6.153335876369089, shape=(), dtype=float64)"
100,"tf.Tensor(6.319228866805466, shape=(), dtype=float64)"
101,"tf.Tensor(7.828882407706268, shape=(), dtype=float64)"
102,"tf.Tensor(6.328146640586192, shape=(), dtype=float64)"
103,"tf.Tensor(7.654676287187843, shape=(), dtype=float64)"
104,"tf.Tensor(5.546397868399625, shape=(), dtype=float64)"
105,"tf.Tensor(7.979989520591115, shape=(), dtype=float64)"
106,"tf.Tensor(7.631609450484929, shape=(), dtype=float64)"
107,"tf.Tensor(6.510855441684178, shape=(), dtype=float64)"
108,"tf.Tensor(5.731411964303939, shape=(), dtype=float64)"
109,"tf.Tensor(6.125011233898008, shape=(), dtype=float64)"
110,"tf.Tensor(4.8792767626469065, shape=(), dtype=float64)"
111,"tf.Tensor(7.463262560261619, shape=(), dtype=float64)"
112,"tf.Tensor(5.656982179922542, shape=(), dtype=float64)"
113,"tf.Tensor(7.0261220906404205, shape=(), dtype=float64)"
114,"tf.Tensor(5.794909134442172, shape=(), dtype=float64)"
115,"tf.Tensor(6.3248146611938285, shape=(), dtype=float64)"
116,"tf.Tensor(6.546656262622514, shape=(), dtype=float64)"
117,"tf.Tensor(5.825879530478514, shape=(), dtype=float64)"
118,"tf.Tensor(7.7715769249207405, shape=(), dtype=float64)"
119,"tf.Tensor(7.569314218757944, shape=(), dtype=float64)"
120,"tf.Tensor(7.275590620232931, shape=(), dtype=float64)"
121,"tf.Tensor(6.123742432187011, shape=(), dtype=float64)"
122,"tf.Tensor(5.9105468098830265, shape=(), dtype=float64)"
123,"tf.Tensor(6.738566606994332, shape=(), dtype=float64)"
124,"tf.Tensor(6.092977578377462, shape=(), dtype=float64)"
125,"tf.Tensor(5.230102488225539, shape=(), dtype=float64)"
126,"tf.Tensor(7.964663441546961, shape=(), dtype=float64)"
127,"tf.Tensor(7.101996168781743, shape=(), dtype=float64)"
128,"tf.Tensor(8.119995821442581, shape=(), dtype=float64)"
129,"tf.Tensor(5.875730227007761, shape=(), dtype=float64)"
130,"tf.Tensor(6.664434388408331, shape=(), dtype=float64)"
131,"tf.Tensor(6.145825399395223, shape=(), dtype=float64)"
132,"tf.Tensor(6.776695304588323, shape=(), dtype=float64)"
133,"tf.Tensor(7.944960974251776, shape=(), dtype=float64)"
134,"tf.Tensor(7.209490094946247, shape=(), dtype=float64)"
135,"tf.Tensor(6.568681752457602, shape=(), dtype=float64)"
136,"tf.Tensor(6.787888716678432, shape=(), dtype=float64)"
137,"tf.Tensor(6.13541091288651, shape=(), dtype=float64)"
138,"tf.Tensor(6.517182974394097, shape=(), dtype=float64)"
139,"tf.Tensor(7.465054659915288, shape=(), dtype=float64)"
140,"tf.Tensor(7.076751456175074, shape=(), dtype=float64)"
141,"tf.Tensor(7.113580410072027, shape=(), dtype=float64)"
142,"tf.Tensor(8.014788039017052, shape=(), dtype=float64)"
143,"tf.Tensor(6.546204171379926, shape=(), dtype=float64)"
144,"tf.Tensor(6.8909568911543495, shape=(), dtype=float64)"
145,"tf.Tensor(8.719364155650204, shape=(), dtype=float64)"
146,"tf.Tensor(7.246798157773241, shape=(), dtype=float64)"
147,"tf.Tensor(6.965479200495653, shape=(), dtype=float64)"
148,"tf.Tensor(6.1246637883018575, shape=(), dtype=float64)"
149,"tf.Tensor(6.965479200495653, shape=(), dtype=float64)"
150,"tf.Tensor(8.429907653968588, shape=(), dtype=float64)"
151,"tf.Tensor(6.88828002948831, shape=(), dtype=float64)"
152,"tf.Tensor(8.496454666007168, shape=(), dtype=float64)"
153,"tf.Tensor(5.815517063060929, shape=(), dtype=float64)"
154,"tf.Tensor(6.780267369498385, shape=(), dtype=float64)"
155,"tf.Tensor(5.452137315600823, shape=(), dtype=float64)"
156,"tf.Tensor(6.910525736332918, shape=(), dtype=float64)"
157,"tf.Tensor(4.5559490312925455, shape=(), dtype=float64)"
158,"tf.Tensor(8.026394470147473, shape=(), dtype=float64)"
159,"tf.Tensor(7.338612301504736, shape=(), dtype=float64)"
160,"tf.Tensor(8.217219685602641, shape=(), dtype=float64)"
161,"tf.Tensor(7.243752228725561, shape=(), dtype=float64)"
162,"tf.Tensor(7.056459189917567, shape=(), dtype=float64)"
163,"tf.Tensor(5.875391542148619, shape=(), dtype=float64)"
164,"tf.Tensor(7.3676018325781, shape=(), dtype=float64)"
165,"tf.Tensor(6.9225524194824875, shape=(), dtype=float64)"
166,"tf.Tensor(8.258691033031488, shape=(), dtype=float64)"
167,"tf.Tensor(6.925630284383921, shape=(), dtype=float64)"
168,"tf.Tensor(4.997323662426672, shape=(), dtype=float64)"
169,"tf.Tensor(6.261164417576939, shape=(), dtype=float64)"
170,"tf.Tensor(6.450857241325119, shape=(), dtype=float64)"
171,"tf.Tensor(7.037863274577344, shape=(), dtype=float64)"
172,"tf.Tensor(6.821184237203424, shape=(), dtype=float64)"
173,"tf.Tensor(7.334200806772265, shape=(), dtype=float64)"
174,"tf.Tensor(6.873489916763274, shape=(), dtype=float64)"
175,"tf.Tensor(4.490605150108983, shape=(), dtype=float64)"
176,"tf.Tensor(5.852598391739379, shape=(), dtype=float64)"
177,"tf.Tensor(5.353191296189066, shape=(), dtype=float64)"
178,"tf.Tensor(6.08382012359897, shape=(), dtype=float64)"
179,"tf.Tensor(5.6022351013902485, shape=(), dtype=float64)"
