,sharpness
1128,"tf.Tensor(6.901121487975826, shape=(), dtype=float64)"
1129,"tf.Tensor(6.765160212467023, shape=(), dtype=float64)"
1130,"tf.Tensor(6.788440257196661, shape=(), dtype=float64)"
1131,"tf.Tensor(8.502234506804589, shape=(), dtype=float64)"
1132,"tf.Tensor(6.911109623282312, shape=(), dtype=float64)"
1133,"tf.Tensor(6.5425339811792655, shape=(), dtype=float64)"
1134,"tf.Tensor(7.572897863967211, shape=(), dtype=float64)"
1135,"tf.Tensor(8.43006064351338, shape=(), dtype=float64)"
1136,"tf.Tensor(5.31635293772842, shape=(), dtype=float64)"
1137,"tf.Tensor(5.733557255599589, shape=(), dtype=float64)"
1138,"tf.Tensor(6.466373465395065, shape=(), dtype=float64)"
1139,"tf.Tensor(4.305779913092004, shape=(), dtype=float64)"
1140,"tf.Tensor(6.598892324259738, shape=(), dtype=float64)"
1141,"tf.Tensor(5.9857905046397475, shape=(), dtype=float64)"
1142,"tf.Tensor(6.133612784157755, shape=(), dtype=float64)"
1143,"tf.Tensor(4.800070818745425, shape=(), dtype=float64)"
1144,"tf.Tensor(8.619167952602348, shape=(), dtype=float64)"
1145,"tf.Tensor(6.738504066194967, shape=(), dtype=float64)"
1146,"tf.Tensor(8.124597762145191, shape=(), dtype=float64)"
1147,"tf.Tensor(6.596371421073492, shape=(), dtype=float64)"
1148,"tf.Tensor(6.788484559562836, shape=(), dtype=float64)"
1149,"tf.Tensor(5.6926230810524405, shape=(), dtype=float64)"
1150,"tf.Tensor(6.872856396617306, shape=(), dtype=float64)"
1151,"tf.Tensor(6.847133853388837, shape=(), dtype=float64)"
1152,"tf.Tensor(8.097224500691212, shape=(), dtype=float64)"
1153,"tf.Tensor(6.290203083454637, shape=(), dtype=float64)"
1154,"tf.Tensor(6.6096466127864435, shape=(), dtype=float64)"
1155,"tf.Tensor(6.187098178133981, shape=(), dtype=float64)"
1156,"tf.Tensor(8.515894492980193, shape=(), dtype=float64)"
1157,"tf.Tensor(5.955879761890302, shape=(), dtype=float64)"
1158,"tf.Tensor(6.16337971215513, shape=(), dtype=float64)"
1159,"tf.Tensor(7.4172587468564695, shape=(), dtype=float64)"
1160,"tf.Tensor(6.128261971988607, shape=(), dtype=float64)"
1161,"tf.Tensor(6.879483551900051, shape=(), dtype=float64)"
1162,"tf.Tensor(7.302787282685129, shape=(), dtype=float64)"
1163,"tf.Tensor(5.886251943029333, shape=(), dtype=float64)"
1164,"tf.Tensor(6.0621459461233025, shape=(), dtype=float64)"
1165,"tf.Tensor(7.735014783021161, shape=(), dtype=float64)"
1166,"tf.Tensor(7.58957838078567, shape=(), dtype=float64)"
1167,"tf.Tensor(6.101872050571525, shape=(), dtype=float64)"
1168,"tf.Tensor(5.9026281651184105, shape=(), dtype=float64)"
1169,"tf.Tensor(6.65582502809937, shape=(), dtype=float64)"
1170,"tf.Tensor(6.967322735800915, shape=(), dtype=float64)"
1171,"tf.Tensor(6.718048716827306, shape=(), dtype=float64)"
1172,"tf.Tensor(6.012948147247209, shape=(), dtype=float64)"
1173,"tf.Tensor(5.552895156443039, shape=(), dtype=float64)"
1174,"tf.Tensor(5.496808254548914, shape=(), dtype=float64)"
1175,"tf.Tensor(7.6927186695468555, shape=(), dtype=float64)"
1176,"tf.Tensor(8.40635167430332, shape=(), dtype=float64)"
1177,"tf.Tensor(5.550313771187927, shape=(), dtype=float64)"
1178,"tf.Tensor(8.102691766103606, shape=(), dtype=float64)"
1179,"tf.Tensor(6.59169132815601, shape=(), dtype=float64)"
1180,"tf.Tensor(7.301944493719318, shape=(), dtype=float64)"
1181,"tf.Tensor(6.354490491287057, shape=(), dtype=float64)"
1182,"tf.Tensor(6.693198857493639, shape=(), dtype=float64)"
1183,"tf.Tensor(5.082496839545736, shape=(), dtype=float64)"
1184,"tf.Tensor(8.090925024658818, shape=(), dtype=float64)"
1185,"tf.Tensor(7.156922244732104, shape=(), dtype=float64)"
1186,"tf.Tensor(8.535874970683649, shape=(), dtype=float64)"
1187,"tf.Tensor(7.744445753431556, shape=(), dtype=float64)"
1188,"tf.Tensor(6.832157873874905, shape=(), dtype=float64)"
1189,"tf.Tensor(7.946566811778755, shape=(), dtype=float64)"
1190,"tf.Tensor(6.8959069588442725, shape=(), dtype=float64)"
1191,"tf.Tensor(5.367319988478485, shape=(), dtype=float64)"
1192,"tf.Tensor(6.148154667178748, shape=(), dtype=float64)"
1193,"tf.Tensor(5.775925197510404, shape=(), dtype=float64)"
1194,"tf.Tensor(6.602981620043789, shape=(), dtype=float64)"
1195,"tf.Tensor(7.768706287119473, shape=(), dtype=float64)"
1196,"tf.Tensor(6.3016413831299385, shape=(), dtype=float64)"
1197,"tf.Tensor(5.136595264703303, shape=(), dtype=float64)"
1198,"tf.Tensor(7.518741600082852, shape=(), dtype=float64)"
1199,"tf.Tensor(7.490172849108713, shape=(), dtype=float64)"
1200,"tf.Tensor(6.32332674684709, shape=(), dtype=float64)"
1201,"tf.Tensor(7.668439119380762, shape=(), dtype=float64)"
1202,"tf.Tensor(3.919773348641452, shape=(), dtype=float64)"
1203,"tf.Tensor(7.122508128239602, shape=(), dtype=float64)"
1204,"tf.Tensor(7.13002539671293, shape=(), dtype=float64)"
1205,"tf.Tensor(6.686471565200353, shape=(), dtype=float64)"
1206,"tf.Tensor(8.16829428622184, shape=(), dtype=float64)"
1207,"tf.Tensor(6.714702707376128, shape=(), dtype=float64)"
1208,"tf.Tensor(7.4416159397564705, shape=(), dtype=float64)"
1209,"tf.Tensor(7.2473786865031, shape=(), dtype=float64)"
1210,"tf.Tensor(8.16270971481681, shape=(), dtype=float64)"
1211,"tf.Tensor(5.255334029456932, shape=(), dtype=float64)"
1212,"tf.Tensor(5.871779987759626, shape=(), dtype=float64)"
1213,"tf.Tensor(3.640961843053672, shape=(), dtype=float64)"
1214,"tf.Tensor(6.8542467761405765, shape=(), dtype=float64)"
1215,"tf.Tensor(4.0797784408434365, shape=(), dtype=float64)"
1216,"tf.Tensor(7.361360410600306, shape=(), dtype=float64)"
1217,"tf.Tensor(6.8415359587082705, shape=(), dtype=float64)"
1218,"tf.Tensor(7.008882602213871, shape=(), dtype=float64)"
1219,"tf.Tensor(7.584682494868822, shape=(), dtype=float64)"
1220,"tf.Tensor(5.120349250508686, shape=(), dtype=float64)"
1221,"tf.Tensor(7.583760213654529, shape=(), dtype=float64)"
1222,"tf.Tensor(4.055491414680151, shape=(), dtype=float64)"
1223,"tf.Tensor(5.182301936462099, shape=(), dtype=float64)"
1224,"tf.Tensor(4.785839668439219, shape=(), dtype=float64)"
1225,"tf.Tensor(6.935406651665215, shape=(), dtype=float64)"
1226,"tf.Tensor(5.581969416402861, shape=(), dtype=float64)"
1227,"tf.Tensor(5.5871257359313855, shape=(), dtype=float64)"
1228,"tf.Tensor(5.848278234096301, shape=(), dtype=float64)"
1229,"tf.Tensor(5.799357232623432, shape=(), dtype=float64)"
1230,"tf.Tensor(5.980882121579148, shape=(), dtype=float64)"
1231,"tf.Tensor(6.4538915722636006, shape=(), dtype=float64)"
1232,"tf.Tensor(7.945469153837798, shape=(), dtype=float64)"
1233,"tf.Tensor(5.880265978960216, shape=(), dtype=float64)"
1234,"tf.Tensor(8.720962627879794, shape=(), dtype=float64)"
1235,"tf.Tensor(7.0791956838428725, shape=(), dtype=float64)"
1236,"tf.Tensor(7.966587767926197, shape=(), dtype=float64)"
1237,"tf.Tensor(5.68267561563537, shape=(), dtype=float64)"
1238,"tf.Tensor(6.4929948638441175, shape=(), dtype=float64)"
1239,"tf.Tensor(7.294355890185447, shape=(), dtype=float64)"
1240,"tf.Tensor(7.724504324056756, shape=(), dtype=float64)"
1241,"tf.Tensor(8.177191960653362, shape=(), dtype=float64)"
1242,"tf.Tensor(7.2411586625008875, shape=(), dtype=float64)"
1243,"tf.Tensor(8.081585478949691, shape=(), dtype=float64)"
1244,"tf.Tensor(6.994584459381912, shape=(), dtype=float64)"
1245,"tf.Tensor(8.062610720404527, shape=(), dtype=float64)"
1246,"tf.Tensor(5.516714645688451, shape=(), dtype=float64)"
1247,"tf.Tensor(6.372930261825115, shape=(), dtype=float64)"
1248,"tf.Tensor(7.085322444281631, shape=(), dtype=float64)"
1249,"tf.Tensor(6.490960274244639, shape=(), dtype=float64)"
1250,"tf.Tensor(7.079742105363162, shape=(), dtype=float64)"
1251,"tf.Tensor(5.546708995278009, shape=(), dtype=float64)"
1252,"tf.Tensor(8.262759823000954, shape=(), dtype=float64)"
1253,"tf.Tensor(6.812761128218992, shape=(), dtype=float64)"
1254,"tf.Tensor(5.6558283830033105, shape=(), dtype=float64)"
1255,"tf.Tensor(6.502459826417264, shape=(), dtype=float64)"
1256,"tf.Tensor(6.858862091712882, shape=(), dtype=float64)"
1257,"tf.Tensor(6.288539174358652, shape=(), dtype=float64)"
1258,"tf.Tensor(6.038432150894796, shape=(), dtype=float64)"
1259,"tf.Tensor(5.08784066859137, shape=(), dtype=float64)"
1260,"tf.Tensor(4.329892121898695, shape=(), dtype=float64)"
1261,"tf.Tensor(6.36722450262464, shape=(), dtype=float64)"
1262,"tf.Tensor(5.64033316864252, shape=(), dtype=float64)"
1263,"tf.Tensor(8.289776693213087, shape=(), dtype=float64)"
1264,"tf.Tensor(5.881814849738155, shape=(), dtype=float64)"
1265,"tf.Tensor(6.845481743075628, shape=(), dtype=float64)"
1266,"tf.Tensor(6.401795558861771, shape=(), dtype=float64)"
1267,"tf.Tensor(7.122817306067825, shape=(), dtype=float64)"
1268,"tf.Tensor(8.086228126893534, shape=(), dtype=float64)"
1269,"tf.Tensor(6.385602759899478, shape=(), dtype=float64)"
1270,"tf.Tensor(6.5821123656866245, shape=(), dtype=float64)"
1271,"tf.Tensor(6.211711006401571, shape=(), dtype=float64)"
1272,"tf.Tensor(6.467793937968397, shape=(), dtype=float64)"
1273,"tf.Tensor(6.769177313995372, shape=(), dtype=float64)"
1274,"tf.Tensor(7.784385485925995, shape=(), dtype=float64)"
1275,"tf.Tensor(5.79641406151244, shape=(), dtype=float64)"
1276,"tf.Tensor(8.317748942897722, shape=(), dtype=float64)"
1277,"tf.Tensor(5.590853507082873, shape=(), dtype=float64)"
1278,"tf.Tensor(6.780854895877783, shape=(), dtype=float64)"
1279,"tf.Tensor(5.842073698989513, shape=(), dtype=float64)"
1280,"tf.Tensor(5.894608857211715, shape=(), dtype=float64)"
1281,"tf.Tensor(6.181565251684389, shape=(), dtype=float64)"
1282,"tf.Tensor(6.276100222886171, shape=(), dtype=float64)"
1283,"tf.Tensor(7.073651121969666, shape=(), dtype=float64)"
1284,"tf.Tensor(5.187974405039999, shape=(), dtype=float64)"
1285,"tf.Tensor(6.262495337677158, shape=(), dtype=float64)"
1286,"tf.Tensor(7.649925645229894, shape=(), dtype=float64)"
1287,"tf.Tensor(7.888764748150315, shape=(), dtype=float64)"
1288,"tf.Tensor(8.046601723421592, shape=(), dtype=float64)"
1289,"tf.Tensor(7.292731984938002, shape=(), dtype=float64)"
1290,"tf.Tensor(6.486490414867466, shape=(), dtype=float64)"
1291,"tf.Tensor(7.371192102505132, shape=(), dtype=float64)"
1292,"tf.Tensor(8.224572270546428, shape=(), dtype=float64)"
1293,"tf.Tensor(8.136347434639234, shape=(), dtype=float64)"
1294,"tf.Tensor(6.32517793211576, shape=(), dtype=float64)"
1295,"tf.Tensor(7.444839093487519, shape=(), dtype=float64)"
1296,"tf.Tensor(7.732948901240267, shape=(), dtype=float64)"
1297,"tf.Tensor(7.359388648110525, shape=(), dtype=float64)"
1298,"tf.Tensor(7.129098163585509, shape=(), dtype=float64)"
1299,"tf.Tensor(7.3802189296488585, shape=(), dtype=float64)"
1300,"tf.Tensor(6.72472547353529, shape=(), dtype=float64)"
1301,"tf.Tensor(8.377148210489775, shape=(), dtype=float64)"
1302,"tf.Tensor(6.260458466690862, shape=(), dtype=float64)"
1303,"tf.Tensor(7.22372452317534, shape=(), dtype=float64)"
1304,"tf.Tensor(5.245257340729369, shape=(), dtype=float64)"
1305,"tf.Tensor(5.536216608407897, shape=(), dtype=float64)"
1306,"tf.Tensor(8.342357109105988, shape=(), dtype=float64)"
1307,"tf.Tensor(7.51225495543645, shape=(), dtype=float64)"
1308,"tf.Tensor(6.491039949450366, shape=(), dtype=float64)"
1309,"tf.Tensor(7.346540115199673, shape=(), dtype=float64)"
1310,"tf.Tensor(6.1024002139643745, shape=(), dtype=float64)"
1311,"tf.Tensor(8.197785313010042, shape=(), dtype=float64)"
1312,"tf.Tensor(5.663820346611328, shape=(), dtype=float64)"
1313,"tf.Tensor(8.031743004471428, shape=(), dtype=float64)"
1314,"tf.Tensor(4.729104103038353, shape=(), dtype=float64)"
1315,"tf.Tensor(6.607106055347611, shape=(), dtype=float64)"
1316,"tf.Tensor(8.346752353298763, shape=(), dtype=float64)"
1317,"tf.Tensor(6.897917410943756, shape=(), dtype=float64)"
1318,"tf.Tensor(6.868930696403228, shape=(), dtype=float64)"
1319,"tf.Tensor(7.16973832104774, shape=(), dtype=float64)"
1320,"tf.Tensor(8.517335893941814, shape=(), dtype=float64)"
1321,"tf.Tensor(6.064286555123191, shape=(), dtype=float64)"
1322,"tf.Tensor(6.5918767288751, shape=(), dtype=float64)"
1323,"tf.Tensor(7.596906012967916, shape=(), dtype=float64)"
1324,"tf.Tensor(4.890509693759255, shape=(), dtype=float64)"
1325,"tf.Tensor(7.709880948174093, shape=(), dtype=float64)"
1326,"tf.Tensor(5.113120424046354, shape=(), dtype=float64)"
1327,"tf.Tensor(6.336800313202437, shape=(), dtype=float64)"
1328,"tf.Tensor(6.585602356516657, shape=(), dtype=float64)"
1329,"tf.Tensor(5.776037850586268, shape=(), dtype=float64)"
1330,"tf.Tensor(6.892649573230109, shape=(), dtype=float64)"
1331,"tf.Tensor(6.960004599788041, shape=(), dtype=float64)"
1332,"tf.Tensor(6.690569365559727, shape=(), dtype=float64)"
1333,"tf.Tensor(6.450857241325119, shape=(), dtype=float64)"
1334,"tf.Tensor(7.470514028899356, shape=(), dtype=float64)"
1335,"tf.Tensor(6.909033660841909, shape=(), dtype=float64)"
1336,"tf.Tensor(4.951252044828347, shape=(), dtype=float64)"
1337,"tf.Tensor(5.881227108530876, shape=(), dtype=float64)"
1338,"tf.Tensor(5.6028069636243485, shape=(), dtype=float64)"
1339,"tf.Tensor(7.294271918656937, shape=(), dtype=float64)"
1340,"tf.Tensor(6.011014550044426, shape=(), dtype=float64)"
1341,"tf.Tensor(6.57910488189955, shape=(), dtype=float64)"
1342,"tf.Tensor(4.862382573462782, shape=(), dtype=float64)"
1343,"tf.Tensor(7.693389922781238, shape=(), dtype=float64)"
1344,"tf.Tensor(8.056378258447827, shape=(), dtype=float64)"
1345,"tf.Tensor(6.188096285927287, shape=(), dtype=float64)"
1346,"tf.Tensor(6.534803076501338, shape=(), dtype=float64)"
1347,"tf.Tensor(5.136568752258625, shape=(), dtype=float64)"
1348,"tf.Tensor(6.79077782639584, shape=(), dtype=float64)"
1349,"tf.Tensor(6.311344441030668, shape=(), dtype=float64)"
1350,"tf.Tensor(8.296280756333587, shape=(), dtype=float64)"
1351,"tf.Tensor(5.366323826767925, shape=(), dtype=float64)"
1352,"tf.Tensor(7.352056543194945, shape=(), dtype=float64)"
1353,"tf.Tensor(8.446949778453588, shape=(), dtype=float64)"
1354,"tf.Tensor(6.229144599010881, shape=(), dtype=float64)"
1355,"tf.Tensor(7.398126145903924, shape=(), dtype=float64)"
1356,"tf.Tensor(7.581677388626816, shape=(), dtype=float64)"
1357,"tf.Tensor(5.814488181526463, shape=(), dtype=float64)"
1358,"tf.Tensor(6.640091602236172, shape=(), dtype=float64)"
1359,"tf.Tensor(7.876900569226464, shape=(), dtype=float64)"
1360,"tf.Tensor(8.580127995256019, shape=(), dtype=float64)"
1361,"tf.Tensor(4.809703540328651, shape=(), dtype=float64)"
1362,"tf.Tensor(6.239223556688511, shape=(), dtype=float64)"
1363,"tf.Tensor(6.078304486069773, shape=(), dtype=float64)"
1364,"tf.Tensor(8.158201150700263, shape=(), dtype=float64)"
1365,"tf.Tensor(6.358768452537748, shape=(), dtype=float64)"
1366,"tf.Tensor(6.258469047060953, shape=(), dtype=float64)"
1367,"tf.Tensor(8.050430278767964, shape=(), dtype=float64)"
1368,"tf.Tensor(7.090910696895292, shape=(), dtype=float64)"
1369,"tf.Tensor(7.2399464755312755, shape=(), dtype=float64)"
1370,"tf.Tensor(7.10801110241279, shape=(), dtype=float64)"
1371,"tf.Tensor(6.73114658541502, shape=(), dtype=float64)"
1372,"tf.Tensor(6.471889397603269, shape=(), dtype=float64)"
1373,"tf.Tensor(5.316105119032162, shape=(), dtype=float64)"
1374,"tf.Tensor(7.364843676338902, shape=(), dtype=float64)"
1375,"tf.Tensor(6.787888716678432, shape=(), dtype=float64)"
1376,"tf.Tensor(7.174584648289147, shape=(), dtype=float64)"
1377,"tf.Tensor(6.764297325111331, shape=(), dtype=float64)"
1378,"tf.Tensor(5.977160794166332, shape=(), dtype=float64)"
1379,"tf.Tensor(6.59320272511366, shape=(), dtype=float64)"
1380,"tf.Tensor(5.811434385354136, shape=(), dtype=float64)"
1381,"tf.Tensor(5.884586830836002, shape=(), dtype=float64)"
1382,"tf.Tensor(6.884662880631165, shape=(), dtype=float64)"
1383,"tf.Tensor(6.089375953884882, shape=(), dtype=float64)"
1384,"tf.Tensor(5.651698419155709, shape=(), dtype=float64)"
1385,"tf.Tensor(7.491865346859963, shape=(), dtype=float64)"
1386,"tf.Tensor(7.4953184159613055, shape=(), dtype=float64)"
1387,"tf.Tensor(6.1370403276889665, shape=(), dtype=float64)"
1388,"tf.Tensor(6.235955633232179, shape=(), dtype=float64)"
1389,"tf.Tensor(7.729733730060846, shape=(), dtype=float64)"
1390,"tf.Tensor(6.788633775682966, shape=(), dtype=float64)"
1391,"tf.Tensor(5.786148954295155, shape=(), dtype=float64)"
1392,"tf.Tensor(5.014864875464042, shape=(), dtype=float64)"
1393,"tf.Tensor(6.474159191540924, shape=(), dtype=float64)"
1394,"tf.Tensor(4.444420000024657, shape=(), dtype=float64)"
1395,"tf.Tensor(5.530484237678948, shape=(), dtype=float64)"
1396,"tf.Tensor(4.936114829339228, shape=(), dtype=float64)"
1397,"tf.Tensor(6.019576398489192, shape=(), dtype=float64)"
1398,"tf.Tensor(8.34015000337933, shape=(), dtype=float64)"
1399,"tf.Tensor(7.828913003239734, shape=(), dtype=float64)"
1400,"tf.Tensor(5.75489847875648, shape=(), dtype=float64)"
1401,"tf.Tensor(3.0131991489298775, shape=(), dtype=float64)"
1402,"tf.Tensor(6.772198801125116, shape=(), dtype=float64)"
1403,"tf.Tensor(8.446949778453588, shape=(), dtype=float64)"
1404,"tf.Tensor(7.254124117488648, shape=(), dtype=float64)"
1405,"tf.Tensor(6.31679989324476, shape=(), dtype=float64)"
1406,"tf.Tensor(7.451009352785072, shape=(), dtype=float64)"
1407,"tf.Tensor(7.8446239150964425, shape=(), dtype=float64)"
1408,"tf.Tensor(6.470245037014737, shape=(), dtype=float64)"
1409,"tf.Tensor(6.356095668584321, shape=(), dtype=float64)"
1410,"tf.Tensor(6.322226100691779, shape=(), dtype=float64)"
1411,"tf.Tensor(5.146839138664404, shape=(), dtype=float64)"
1412,"tf.Tensor(6.173109848818605, shape=(), dtype=float64)"
1413,"tf.Tensor(5.70720900963274, shape=(), dtype=float64)"
1414,"tf.Tensor(5.52637901555951, shape=(), dtype=float64)"
1415,"tf.Tensor(6.6137809097445315, shape=(), dtype=float64)"
1416,"tf.Tensor(6.316492971964315, shape=(), dtype=float64)"
1417,
1418,"tf.Tensor(5.29074771490541, shape=(), dtype=float64)"
1419,"tf.Tensor(6.183138767601596, shape=(), dtype=float64)"
1420,"tf.Tensor(6.503500570378062, shape=(), dtype=float64)"
1421,"tf.Tensor(5.785560267423663, shape=(), dtype=float64)"
1422,"tf.Tensor(8.349846003941945, shape=(), dtype=float64)"
1423,"tf.Tensor(4.9594585993288085, shape=(), dtype=float64)"
1424,"tf.Tensor(5.303900015262014, shape=(), dtype=float64)"
1425,"tf.Tensor(6.44235880725082, shape=(), dtype=float64)"
1426,"tf.Tensor(7.470589118533147, shape=(), dtype=float64)"
1427,"tf.Tensor(9.009841052870343, shape=(), dtype=float64)"
1428,"tf.Tensor(6.954121595955602, shape=(), dtype=float64)"
1429,"tf.Tensor(7.84610810286904, shape=(), dtype=float64)"
1430,"tf.Tensor(6.568413240389386, shape=(), dtype=float64)"
1431,"tf.Tensor(5.318060090937467, shape=(), dtype=float64)"
1432,"tf.Tensor(6.396187424081237, shape=(), dtype=float64)"
1433,"tf.Tensor(7.838364046263546, shape=(), dtype=float64)"
1434,"tf.Tensor(6.586286574961963, shape=(), dtype=float64)"
1435,"tf.Tensor(6.130001143239579, shape=(), dtype=float64)"
1436,"tf.Tensor(5.317303283303146, shape=(), dtype=float64)"
1437,"tf.Tensor(6.5507585550537115, shape=(), dtype=float64)"
1438,"tf.Tensor(5.846401658471021, shape=(), dtype=float64)"
1439,"tf.Tensor(5.91270194354724, shape=(), dtype=float64)"
1440,"tf.Tensor(6.433297003775362, shape=(), dtype=float64)"
1441,"tf.Tensor(7.604056251559196, shape=(), dtype=float64)"
1442,"tf.Tensor(5.590263785196491, shape=(), dtype=float64)"
1443,"tf.Tensor(4.705302867575807, shape=(), dtype=float64)"
1444,"tf.Tensor(6.032770573865531, shape=(), dtype=float64)"
1445,"tf.Tensor(7.836957014154935, shape=(), dtype=float64)"
1446,"tf.Tensor(6.1885865559957125, shape=(), dtype=float64)"
1447,"tf.Tensor(6.19154776695139, shape=(), dtype=float64)"
1448,"tf.Tensor(6.120303818697135, shape=(), dtype=float64)"
1449,"tf.Tensor(4.923692673232017, shape=(), dtype=float64)"
1450,"tf.Tensor(5.794909134442172, shape=(), dtype=float64)"
1451,"tf.Tensor(5.374530681773313, shape=(), dtype=float64)"
1452,"tf.Tensor(8.255129778800375, shape=(), dtype=float64)"
1453,"tf.Tensor(6.195669548941619, shape=(), dtype=float64)"
1454,"tf.Tensor(6.188468366222954, shape=(), dtype=float64)"
1455,"tf.Tensor(6.285509778516026, shape=(), dtype=float64)"
1456,"tf.Tensor(7.639993500958879, shape=(), dtype=float64)"
1457,"tf.Tensor(6.48058333519089, shape=(), dtype=float64)"
1458,"tf.Tensor(6.141468271966287, shape=(), dtype=float64)"
1459,"tf.Tensor(7.503835478910891, shape=(), dtype=float64)"
1460,"tf.Tensor(6.69089516718418, shape=(), dtype=float64)"
1461,"tf.Tensor(6.580495108577129, shape=(), dtype=float64)"
1462,"tf.Tensor(6.672542153322085, shape=(), dtype=float64)"
1463,"tf.Tensor(6.283220161189107, shape=(), dtype=float64)"
1464,"tf.Tensor(7.480994241607558, shape=(), dtype=float64)"
1465,"tf.Tensor(8.044893752000844, shape=(), dtype=float64)"
1466,"tf.Tensor(6.699442542106072, shape=(), dtype=float64)"
1467,"tf.Tensor(6.407554817468692, shape=(), dtype=float64)"
1468,"tf.Tensor(5.2654989621594135, shape=(), dtype=float64)"
1469,"tf.Tensor(5.083922246931062, shape=(), dtype=float64)"
1470,"tf.Tensor(7.49926421091712, shape=(), dtype=float64)"
1471,"tf.Tensor(6.468647883731558, shape=(), dtype=float64)"
1472,"tf.Tensor(5.063779662950454, shape=(), dtype=float64)"
1473,"tf.Tensor(5.815467685028071, shape=(), dtype=float64)"
1474,"tf.Tensor(3.144643748135129, shape=(), dtype=float64)"
1475,"tf.Tensor(6.19101356976132, shape=(), dtype=float64)"
1476,"tf.Tensor(6.450857241325119, shape=(), dtype=float64)"
1477,"tf.Tensor(5.952243422367503, shape=(), dtype=float64)"
1478,"tf.Tensor(6.342576350216826, shape=(), dtype=float64)"
1479,"tf.Tensor(6.94569437540408, shape=(), dtype=float64)"
1480,"tf.Tensor(4.831382761432328, shape=(), dtype=float64)"
1481,"tf.Tensor(7.178060583131412, shape=(), dtype=float64)"
1482,"tf.Tensor(4.936644297275966, shape=(), dtype=float64)"
1483,"tf.Tensor(8.386392515055785, shape=(), dtype=float64)"
1484,"tf.Tensor(8.235773427839591, shape=(), dtype=float64)"
1485,"tf.Tensor(6.749098115668126, shape=(), dtype=float64)"
1486,"tf.Tensor(5.953525588093788, shape=(), dtype=float64)"
1487,"tf.Tensor(5.9396160356386325, shape=(), dtype=float64)"
1488,"tf.Tensor(5.823598088275688, shape=(), dtype=float64)"
1489,"tf.Tensor(6.283860654647557, shape=(), dtype=float64)"
1490,"tf.Tensor(6.69089516718418, shape=(), dtype=float64)"
1491,"tf.Tensor(4.4472118078985305, shape=(), dtype=float64)"
1492,"tf.Tensor(7.410438947512873, shape=(), dtype=float64)"
1493,"tf.Tensor(6.683957385425788, shape=(), dtype=float64)"
1494,"tf.Tensor(6.48194656454573, shape=(), dtype=float64)"
1495,"tf.Tensor(8.305374874907745, shape=(), dtype=float64)"
1496,"tf.Tensor(5.478014179926433, shape=(), dtype=float64)"
1497,"tf.Tensor(6.75466088200705, shape=(), dtype=float64)"
1498,"tf.Tensor(8.817093666524041, shape=(), dtype=float64)"
1499,"tf.Tensor(5.979243404371155, shape=(), dtype=float64)"
1500,"tf.Tensor(6.057426158702462, shape=(), dtype=float64)"
1501,"tf.Tensor(6.998492088830826, shape=(), dtype=float64)"
1502,"tf.Tensor(8.457797589176634, shape=(), dtype=float64)"
1503,"tf.Tensor(7.22420936756562, shape=(), dtype=float64)"
1504,"tf.Tensor(6.986893622572247, shape=(), dtype=float64)"
1505,"tf.Tensor(7.916723231756014, shape=(), dtype=float64)"
1506,"tf.Tensor(7.205473279150023, shape=(), dtype=float64)"
1507,"tf.Tensor(5.576993057259837, shape=(), dtype=float64)"
1508,"tf.Tensor(7.520816894639716, shape=(), dtype=float64)"
1509,"tf.Tensor(7.53391988163312, shape=(), dtype=float64)"
1510,"tf.Tensor(6.871146467529789, shape=(), dtype=float64)"
1511,"tf.Tensor(7.143477260363752, shape=(), dtype=float64)"
1512,"tf.Tensor(7.519447496825939, shape=(), dtype=float64)"
1513,"tf.Tensor(4.5772107528241595, shape=(), dtype=float64)"
1514,"tf.Tensor(6.299696351938349, shape=(), dtype=float64)"
1515,"tf.Tensor(7.499890629632447, shape=(), dtype=float64)"
1516,"tf.Tensor(4.748778097983587, shape=(), dtype=float64)"
1517,"tf.Tensor(5.4178033952838875, shape=(), dtype=float64)"
1518,"tf.Tensor(5.715064333256628, shape=(), dtype=float64)"
1519,"tf.Tensor(6.458447548452056, shape=(), dtype=float64)"
1520,"tf.Tensor(5.837383160931625, shape=(), dtype=float64)"
1521,"tf.Tensor(5.5396010478587545, shape=(), dtype=float64)"
1522,"tf.Tensor(4.158871206372829, shape=(), dtype=float64)"
1523,"tf.Tensor(5.413662597356679, shape=(), dtype=float64)"
1524,"tf.Tensor(8.076395843905942, shape=(), dtype=float64)"
1525,"tf.Tensor(6.903319665132322, shape=(), dtype=float64)"
1526,"tf.Tensor(6.1168699844733085, shape=(), dtype=float64)"
1527,"tf.Tensor(7.324931126585372, shape=(), dtype=float64)"
1528,"tf.Tensor(5.707515255411022, shape=(), dtype=float64)"
1529,"tf.Tensor(7.732229494147433, shape=(), dtype=float64)"
1530,"tf.Tensor(6.155368247329524, shape=(), dtype=float64)"
1531,"tf.Tensor(7.817275175583605, shape=(), dtype=float64)"
1532,"tf.Tensor(5.908992765843248, shape=(), dtype=float64)"
1533,"tf.Tensor(6.45957593065752, shape=(), dtype=float64)"
1534,"tf.Tensor(6.454081756747345, shape=(), dtype=float64)"
1535,"tf.Tensor(5.87382618765527, shape=(), dtype=float64)"
1536,"tf.Tensor(7.409928212625238, shape=(), dtype=float64)"
1537,"tf.Tensor(7.043789593801443, shape=(), dtype=float64)"
1538,"tf.Tensor(6.91657945775134, shape=(), dtype=float64)"
