,entropy
0,5.974550181304861
1,6.4667535698378265
2,6.756948603465803
3,4.946285538694542
4,6.240524413247968
5,5.445971124250131
6,5.538209234611932
7,6.562536049705366
8,5.819361012260045
9,
10,6.402049347751589
11,4.101857681437537
12,4.714094043718652
13,6.110213880580811
14,6.356354726540135
15,4.101857681437537
16,5.738305402569246
17,3.7822820139743505
18,7.038627196562074
19,5.650186483727241
20,6.989481515691932
21,6.2551104488696145
22,6.303494096170502
23,6.170298182688987
24,5.3045335653443075
25,3.8521263026159556
26,4.410381788965482
27,6.8402042827445335
28,7.0006220152501335
29,5.50362695757494
30,6.5839934179157655
31,5.2802003925017065
32,4.9482380454613875
33,4.65732392560598
34,6.110858707212044
35,0.3826208560182447
36,6.358590540493065
37,5.922177845507404
38,
39,6.501526247027638
40,6.14017908011593
41,5.530072008242444
42,6.684271855973929
43,4.929460561672119
44,0.3826208560182447
45,6.12820326337813
46,0.3826208560182447
47,6.318276328394514
48,0.9578698351770402
49,5.963671380322226
50,5.992482070587182
51,6.846259409376478
52,6.819956466923599
53,7.515833988083347
54,7.125873342783633
55,7.725959413332524
56,7.421338502175431
57,6.288432185601964
58,7.199823782324957
59,4.6981964637359095
60,6.868271923305889
61,4.2015560266293015
62,6.0677041137300165
63,6.2095753824370945
64,5.69876710795143
65,0.3826208560182447
66,6.0732672101819265
67,4.011826399409917
68,6.8008268524465905
69,6.322375790661981
70,3.990905400626254
71,6.662059594146002
72,2.624610644781938
73,6.9877217689435005
74,
75,4.660363646767658
76,6.129887881277251
77,7.009827030784772
78,6.98890853666223
79,5.525610114565164
80,5.362929435367793
81,5.578712014855995
82,6.04201145086063
83,3.647333118242128
84,7.009827030784772
85,5.806760455145377
86,6.958724301071051
87,6.6415803300123795
88,5.6692825422987205
89,6.292059358287061
90,7.001246213565233
91,5.929601753331669
92,6.985326707904694
93,3.6293056888628437
94,3.470938777149995
95,7.50146327412563
96,3.2250338602367554
97,6.874762436037049
98,4.582010217948571
99,7.470685677318647
100,7.125873342783633
101,
102,5.445185085972078
103,0.3826208560182447
104,4.216985283137479
105,
106,7.2417161448912895
107,7.0881010196625445
108,5.618574764933231
109,6.570743229914243
110,6.224882060764295
111,5.886423754724378
112,6.7102163452256605
113,5.9266145347108985
114,4.744629181818099
115,6.592967249909104
116,6.181229388697267
117,6.52392834080745
118,5.8075792848087335
119,6.185350957184214
120,5.673035519476052
121,6.177187635837765
122,7.031018049912293
123,6.555241994244334
124,6.431111259506723
125,6.3792285648089635
126,5.062816303137228
127,6.265413575059248
128,6.638102168275834
129,6.335548924778189
130,6.499524471613712
131,4.637261573751239
132,5.1985086659634225
133,7.302586492789233
134,5.423449279320646
135,5.124190569156727
136,6.235434118776152
137,7.345084949138991
138,5.599092075940801
139,7.035186001087226
140,5.936893239936206
141,5.49088095641463
142,5.55007862971658
143,6.629837538977851
144,5.131456417949317
145,1.5442173677924544
146,7.246740848428589
147,7.002321886863695
148,5.492149400828051
149,6.08508870638545
150,6.899938082676756
151,2.6105644841857667
152,7.449434276355216
153,6.120904522436241
154,4.862827917364201
155,6.790245799748594
156,6.244567472739196
157,5.815236016244599
158,6.00152214193415
159,7.376557808703044
160,6.277697065477092
161,7.329061951378749
162,7.5428400654688375
163,
164,5.622903438727719
165,6.036837945880985
166,6.723186551245771
167,4.370222986786953
168,6.341653511791213
169,6.677760030355282
170,6.647321836791803
171,5.762689234539653
172,
173,1.4113283589518841
174,6.318401449966084
175,6.986982060400343
176,4.558279070654605
177,3.9553605254087465
178,5.1113565524103715
179,6.746699566753457
180,7.590779358479646
181,7.256065619030694
182,7.00550389512297
183,6.895693064978955
184,5.519211147257393
185,5.977479879890083
186,7.272945228059051
187,5.971176170959336
188,5.508134220545775
189,6.336671469181583
190,5.176428185751409
191,6.109898591297613
192,4.924041986400749
193,4.85226943959189
194,6.537417240198088
195,4.436608605456271
196,7.382323535988538
197,7.037353592855392
198,5.195612930245406
199,3.74714137030627
200,7.2154688495431065
201,6.035098047301975
202,6.618211056795881
203,3.758967607976812
204,7.209522436872778
205,5.377237909015242
206,6.870317916252744
207,6.218554645303213
208,5.167408882610699
209,5.1055627931621235
210,6.167880430632824
211,5.414429471474612
212,6.253864188221098
213,6.345703282802925
214,7.22917489669375
215,3.7052094263114417
216,6.118002830030306
217,5.144315961601539
218,6.135671953801837
219,5.424899000791124
220,6.790119114129739
221,5.756841304272123
222,3.8983438738919296
223,5.889418251367054
224,6.978276755765474
225,7.274571100588205
226,6.210923822774296
227,4.6104242314042585
228,6.019202750801957
229,3.9526534707829843
230,6.591158487028897
231,6.248800525088358
232,6.758374979825657
233,6.366724131807859
234,6.631852042467635
235,7.133052818565057
236,2.1631061836432313
237,4.506353553608358
238,6.938994707010124
239,
240,7.426823494823792
241,7.426546974704069
242,7.024935595551752
243,3.2347105122737134
244,7.173313301217338
245,6.151872798840759
246,6.855630974592362
247,7.187082904804356
248,7.115026873903383
249,6.985666750361207
250,6.194569008507051
251,7.673026259784472
252,7.051924941677364
253,6.401488669418081
254,6.419543369103538
255,0.3826208560182447
256,7.341537370194649
257,5.534021955591955
258,7.336390617710673
259,7.03112611281539
260,7.121926682775668
261,7.0562467932187225
262,6.848213665323964
263,6.6266460746144045
264,7.0954908949821265
265,4.370222986786953
266,6.10433527701843
267,6.2095753824370945
268,6.330182434687066
269,4.407566716650397
270,5.635414326204273
271,4.262658353700772
272,6.8312265397566305
273,5.623145720247583
274,7.402584139928135
275,2.4919247425564706
276,5.5666893462894755
277,2.4303296174519833
278,5.933817572592008
279,6.957058883928875
280,6.403368035863727
281,6.198690034325169
282,4.448887151647472
283,7.204861360519746
284,6.172822493925423
285,7.374050944743206
286,4.597783385431618
287,5.355206705334099
288,6.410658149719028
289,5.133270169247335
290,6.9463258272388035
291,4.491079471169814
292,4.1010143003527855
293,6.456324174680044
294,6.235476338038926
295,5.781771561358126
296,6.828372640464273
297,5.88010247366125
298,6.679230426177298
299,7.273454568317505
300,1.7181481505305312
301,6.813226187027976
302,3.79451326374119
303,5.090996942738265
304,7.0006220152501335
305,6.792413487793442
306,5.351943855377647
307,5.856321746962711
308,6.0400727753513594
309,6.503415935540441
310,7.0360559615051645
311,6.181978772172905
312,7.151742100965285
313,7.100412369015429
314,5.644828768440155
315,0.3826208560182447
316,0.3826208560182447
317,5.994416324053276
318,6.033514518324742
319,6.59852045937574
320,6.364241202170832
321,0.3826208560182447
322,6.047043006167164
323,0.3826208560182447
324,4.842991916527171
325,6.923226929011783
326,6.782962558057179
327,6.9463258272388035
328,4.173213910261296
329,6.968698458372445
330,6.356442996482713
331,7.051164023124606
332,6.875813316382897
333,6.917748903936291
334,4.983445761637928
335,6.923226929011783
336,4.558911333827367
337,4.8231287245949925
338,4.842991916527171
339,6.540191536632475
340,0.3826208560182447
341,5.562641299455405
342,7.4053955322010845
343,5.746816972072973
344,6.345703282802925
345,7.184307176525938
346,6.732779422800798
347,5.457416049173572
348,5.511151869577907
349,6.4549753906330425
350,7.434331662172069
351,3.7700937864321653
352,6.443617109343501
353,3.8479412627752443
354,7.569275714728396
355,6.006385688228722
356,7.58875245483971
357,6.174542185802143
358,7.530246564466376
359,4.024942067977184
360,7.617974433279032
361,5.693717694715673
362,6.062184022817626
363,6.774556051960248
364,5.7134006930564745
365,5.107143792919218
366,6.125571936335988
367,6.857692996264953
368,6.688903228195075
369,6.673728594060777
370,6.802202001900512
371,5.180439773170992
372,6.394214145209837
373,4.722655847996771
374,7.1745150133438775
375,5.689471013263903
376,6.153992606404371
377,
378,4.720435431669791
379,6.122309884509257
380,3.324565815363668
381,3.390100561049716
382,5.7232703197566055
383,6.811474974346235
384,6.553999120318952
385,0.3826208560182447
386,6.512229506056349
387,6.979455144836332
388,7.010126620783321
389,6.05288505322373
390,3.6700304127140995
391,6.803962034597963
392,7.62985880062216
393,7.004264964401076
394,4.720318863713985
395,6.167584313702699
396,5.866554186209466
397,4.036030174231579
398,5.329184230452775
399,4.912478239367578
400,5.748590710328271
401,3.2403705585618754
402,5.018098113903533
403,6.463096585569134
404,5.921448762536718
405,6.196702820423451
406,5.756139211282239
407,6.6328004799009745
408,0.3826208560182447
409,6.40704381345409
410,6.626711527818993
411,
412,5.888066281289062
413,7.098212941869421
414,5.559421015787936
415,5.004965452134974
416,6.741541580490628
417,6.935514753668746
418,6.777211824517721
419,6.271595538337037
420,4.3593553150325475
421,4.995466001711111
422,6.031295079399732
423,6.65572228822649
424,4.6509528400773394
425,6.076578837020883
426,6.557814638536004
427,7.342190775826664
428,7.070007479237677
429,6.589727598267738
430,6.408812115898869
431,0.1911310110502735
