,variation
0,"tf.Tensor(15.475709, shape=(), dtype=float32)"
1,"tf.Tensor(13.746729, shape=(), dtype=float32)"
2,"tf.Tensor(14.492155, shape=(), dtype=float32)"
3,"tf.Tensor(14.720818, shape=(), dtype=float32)"
4,"tf.Tensor(14.491947, shape=(), dtype=float32)"
5,"tf.Tensor(15.538003, shape=(), dtype=float32)"
6,"tf.Tensor(16.262388, shape=(), dtype=float32)"
7,"tf.Tensor(17.106695, shape=(), dtype=float32)"
8,"tf.Tensor(17.053885, shape=(), dtype=float32)"
9,"tf.Tensor(14.825824, shape=(), dtype=float32)"
10,"tf.Tensor(15.57458, shape=(), dtype=float32)"
11,"tf.Tensor(17.360125, shape=(), dtype=float32)"
12,"tf.Tensor(15.060672, shape=(), dtype=float32)"
13,"tf.Tensor(15.435385, shape=(), dtype=float32)"
14,"tf.Tensor(15.196629, shape=(), dtype=float32)"
15,"tf.Tensor(15.489559, shape=(), dtype=float32)"
16,"tf.Tensor(16.80555, shape=(), dtype=float32)"
17,"tf.Tensor(14.506756, shape=(), dtype=float32)"
18,"tf.Tensor(15.328135, shape=(), dtype=float32)"
19,"tf.Tensor(15.02371, shape=(), dtype=float32)"
20,"tf.Tensor(15.651527, shape=(), dtype=float32)"
21,"tf.Tensor(16.55835, shape=(), dtype=float32)"
22,"tf.Tensor(14.442586, shape=(), dtype=float32)"
23,"tf.Tensor(17.49057, shape=(), dtype=float32)"
24,"tf.Tensor(16.076597, shape=(), dtype=float32)"
25,"tf.Tensor(16.312616, shape=(), dtype=float32)"
26,"tf.Tensor(16.394161, shape=(), dtype=float32)"
27,"tf.Tensor(15.38697, shape=(), dtype=float32)"
28,"tf.Tensor(16.617981, shape=(), dtype=float32)"
29,"tf.Tensor(17.216648, shape=(), dtype=float32)"
30,"tf.Tensor(16.430239, shape=(), dtype=float32)"
31,"tf.Tensor(16.434885, shape=(), dtype=float32)"
32,"tf.Tensor(17.883886, shape=(), dtype=float32)"
33,"tf.Tensor(16.469288, shape=(), dtype=float32)"
34,"tf.Tensor(15.97491, shape=(), dtype=float32)"
35,"tf.Tensor(15.49373, shape=(), dtype=float32)"
36,"tf.Tensor(15.534673, shape=(), dtype=float32)"
37,"tf.Tensor(15.192301, shape=(), dtype=float32)"
38,"tf.Tensor(15.060513, shape=(), dtype=float32)"
39,"tf.Tensor(16.602339, shape=(), dtype=float32)"
40,"tf.Tensor(14.935551, shape=(), dtype=float32)"
41,"tf.Tensor(17.12191, shape=(), dtype=float32)"
42,"tf.Tensor(16.005323, shape=(), dtype=float32)"
43,"tf.Tensor(16.979427, shape=(), dtype=float32)"
44,"tf.Tensor(16.308668, shape=(), dtype=float32)"
45,"tf.Tensor(16.460827, shape=(), dtype=float32)"
46,"tf.Tensor(15.298426, shape=(), dtype=float32)"
47,"tf.Tensor(15.596284, shape=(), dtype=float32)"
48,"tf.Tensor(16.158733, shape=(), dtype=float32)"
49,"tf.Tensor(16.987572, shape=(), dtype=float32)"
50,"tf.Tensor(16.211124, shape=(), dtype=float32)"
51,"tf.Tensor(17.0895, shape=(), dtype=float32)"
52,"tf.Tensor(14.286644, shape=(), dtype=float32)"
53,"tf.Tensor(14.243078, shape=(), dtype=float32)"
54,"tf.Tensor(15.522747, shape=(), dtype=float32)"
55,"tf.Tensor(17.59382, shape=(), dtype=float32)"
56,"tf.Tensor(15.333257, shape=(), dtype=float32)"
57,"tf.Tensor(16.428925, shape=(), dtype=float32)"
58,"tf.Tensor(14.998378, shape=(), dtype=float32)"
59,"tf.Tensor(17.292923, shape=(), dtype=float32)"
60,"tf.Tensor(16.432734, shape=(), dtype=float32)"
61,"tf.Tensor(16.417967, shape=(), dtype=float32)"
62,"tf.Tensor(17.07416, shape=(), dtype=float32)"
63,"tf.Tensor(15.410478, shape=(), dtype=float32)"
64,"tf.Tensor(16.361092, shape=(), dtype=float32)"
65,"tf.Tensor(15.280283, shape=(), dtype=float32)"
66,
67,"tf.Tensor(15.356317, shape=(), dtype=float32)"
68,"tf.Tensor(14.466007, shape=(), dtype=float32)"
69,"tf.Tensor(15.998871, shape=(), dtype=float32)"
70,"tf.Tensor(15.985085, shape=(), dtype=float32)"
71,"tf.Tensor(15.581659, shape=(), dtype=float32)"
72,"tf.Tensor(16.287085, shape=(), dtype=float32)"
73,"tf.Tensor(14.6251135, shape=(), dtype=float32)"
74,"tf.Tensor(14.450012, shape=(), dtype=float32)"
75,"tf.Tensor(16.255396, shape=(), dtype=float32)"
76,"tf.Tensor(15.39166, shape=(), dtype=float32)"
77,"tf.Tensor(17.10421, shape=(), dtype=float32)"
78,"tf.Tensor(18.29446, shape=(), dtype=float32)"
79,"tf.Tensor(14.82262, shape=(), dtype=float32)"
80,"tf.Tensor(14.720392, shape=(), dtype=float32)"
81,"tf.Tensor(14.484742, shape=(), dtype=float32)"
82,"tf.Tensor(16.9527, shape=(), dtype=float32)"
83,"tf.Tensor(16.902231, shape=(), dtype=float32)"
84,"tf.Tensor(14.677132, shape=(), dtype=float32)"
85,"tf.Tensor(15.674487, shape=(), dtype=float32)"
86,"tf.Tensor(16.441528, shape=(), dtype=float32)"
87,"tf.Tensor(14.565257, shape=(), dtype=float32)"
88,"tf.Tensor(15.571966, shape=(), dtype=float32)"
89,"tf.Tensor(15.367238, shape=(), dtype=float32)"
90,"tf.Tensor(15.830438, shape=(), dtype=float32)"
91,"tf.Tensor(16.33316, shape=(), dtype=float32)"
92,"tf.Tensor(17.540709, shape=(), dtype=float32)"
93,"tf.Tensor(16.321257, shape=(), dtype=float32)"
94,"tf.Tensor(16.074715, shape=(), dtype=float32)"
95,"tf.Tensor(15.599492, shape=(), dtype=float32)"
96,"tf.Tensor(15.436449, shape=(), dtype=float32)"
97,"tf.Tensor(17.219683, shape=(), dtype=float32)"
98,"tf.Tensor(16.918488, shape=(), dtype=float32)"
99,"tf.Tensor(14.571955, shape=(), dtype=float32)"
100,"tf.Tensor(17.916685, shape=(), dtype=float32)"
101,"tf.Tensor(15.477554, shape=(), dtype=float32)"
102,"tf.Tensor(15.748317, shape=(), dtype=float32)"
103,"tf.Tensor(16.358553, shape=(), dtype=float32)"
104,"tf.Tensor(17.625296, shape=(), dtype=float32)"
105,"tf.Tensor(17.111906, shape=(), dtype=float32)"
106,"tf.Tensor(14.678027, shape=(), dtype=float32)"
107,"tf.Tensor(16.516024, shape=(), dtype=float32)"
108,"tf.Tensor(16.359152, shape=(), dtype=float32)"
109,"tf.Tensor(17.872982, shape=(), dtype=float32)"
110,"tf.Tensor(15.734143, shape=(), dtype=float32)"
111,"tf.Tensor(13.815123, shape=(), dtype=float32)"
112,"tf.Tensor(15.350951, shape=(), dtype=float32)"
113,"tf.Tensor(15.562781, shape=(), dtype=float32)"
114,"tf.Tensor(15.681304, shape=(), dtype=float32)"
115,"tf.Tensor(15.588547, shape=(), dtype=float32)"
116,"tf.Tensor(15.391155, shape=(), dtype=float32)"
117,"tf.Tensor(15.399627, shape=(), dtype=float32)"
118,"tf.Tensor(16.861193, shape=(), dtype=float32)"
119,"tf.Tensor(15.756526, shape=(), dtype=float32)"
