,variation
120,"tf.Tensor(16.79421, shape=(), dtype=float32)"
121,"tf.Tensor(17.025381, shape=(), dtype=float32)"
122,"tf.Tensor(15.388855, shape=(), dtype=float32)"
123,"tf.Tensor(16.449749, shape=(), dtype=float32)"
124,"tf.Tensor(16.834274, shape=(), dtype=float32)"
125,"tf.Tensor(16.996881, shape=(), dtype=float32)"
126,"tf.Tensor(17.453949, shape=(), dtype=float32)"
127,"tf.Tensor(16.575623, shape=(), dtype=float32)"
128,"tf.Tensor(13.560531, shape=(), dtype=float32)"
129,"tf.Tensor(14.924821, shape=(), dtype=float32)"
130,"tf.Tensor(17.40552, shape=(), dtype=float32)"
131,"tf.Tensor(14.656259, shape=(), dtype=float32)"
132,"tf.Tensor(15.976035, shape=(), dtype=float32)"
133,"tf.Tensor(16.926044, shape=(), dtype=float32)"
134,"tf.Tensor(14.971566, shape=(), dtype=float32)"
135,"tf.Tensor(15.483581, shape=(), dtype=float32)"
136,"tf.Tensor(14.50727, shape=(), dtype=float32)"
137,"tf.Tensor(15.670983, shape=(), dtype=float32)"
138,"tf.Tensor(15.946635, shape=(), dtype=float32)"
139,"tf.Tensor(14.84194, shape=(), dtype=float32)"
140,"tf.Tensor(15.600517, shape=(), dtype=float32)"
141,"tf.Tensor(16.57232, shape=(), dtype=float32)"
142,"tf.Tensor(15.58738, shape=(), dtype=float32)"
143,"tf.Tensor(17.270403, shape=(), dtype=float32)"
144,"tf.Tensor(15.867487, shape=(), dtype=float32)"
145,"tf.Tensor(15.161346, shape=(), dtype=float32)"
146,"tf.Tensor(16.548555, shape=(), dtype=float32)"
147,"tf.Tensor(15.32544, shape=(), dtype=float32)"
148,"tf.Tensor(16.269651, shape=(), dtype=float32)"
149,"tf.Tensor(14.75328, shape=(), dtype=float32)"
150,"tf.Tensor(16.823439, shape=(), dtype=float32)"
151,"tf.Tensor(17.081266, shape=(), dtype=float32)"
152,"tf.Tensor(17.279724, shape=(), dtype=float32)"
153,"tf.Tensor(15.224438, shape=(), dtype=float32)"
154,"tf.Tensor(15.930342, shape=(), dtype=float32)"
155,"tf.Tensor(15.566721, shape=(), dtype=float32)"
156,"tf.Tensor(15.022978, shape=(), dtype=float32)"
157,"tf.Tensor(15.763202, shape=(), dtype=float32)"
158,"tf.Tensor(17.231129, shape=(), dtype=float32)"
159,"tf.Tensor(17.05242, shape=(), dtype=float32)"
160,"tf.Tensor(16.759214, shape=(), dtype=float32)"
161,"tf.Tensor(17.165852, shape=(), dtype=float32)"
162,"tf.Tensor(16.450945, shape=(), dtype=float32)"
163,"tf.Tensor(16.319672, shape=(), dtype=float32)"
164,"tf.Tensor(17.245794, shape=(), dtype=float32)"
165,"tf.Tensor(17.320423, shape=(), dtype=float32)"
166,"tf.Tensor(16.805641, shape=(), dtype=float32)"
167,"tf.Tensor(16.878216, shape=(), dtype=float32)"
168,"tf.Tensor(15.04654, shape=(), dtype=float32)"
169,"tf.Tensor(13.894542, shape=(), dtype=float32)"
170,"tf.Tensor(16.79051, shape=(), dtype=float32)"
171,"tf.Tensor(15.239846, shape=(), dtype=float32)"
172,"tf.Tensor(17.228058, shape=(), dtype=float32)"
173,"tf.Tensor(17.378098, shape=(), dtype=float32)"
174,"tf.Tensor(16.105017, shape=(), dtype=float32)"
175,"tf.Tensor(17.047985, shape=(), dtype=float32)"
176,"tf.Tensor(16.016464, shape=(), dtype=float32)"
177,"tf.Tensor(15.829105, shape=(), dtype=float32)"
178,"tf.Tensor(15.572897, shape=(), dtype=float32)"
179,"tf.Tensor(16.105017, shape=(), dtype=float32)"
180,"tf.Tensor(16.544813, shape=(), dtype=float32)"
181,"tf.Tensor(18.25556, shape=(), dtype=float32)"
182,"tf.Tensor(15.138796, shape=(), dtype=float32)"
183,"tf.Tensor(16.495539, shape=(), dtype=float32)"
184,"tf.Tensor(14.454607, shape=(), dtype=float32)"
185,"tf.Tensor(14.795929, shape=(), dtype=float32)"
186,"tf.Tensor(16.360834, shape=(), dtype=float32)"
187,"tf.Tensor(14.886122, shape=(), dtype=float32)"
188,"tf.Tensor(15.39449, shape=(), dtype=float32)"
189,"tf.Tensor(15.178641, shape=(), dtype=float32)"
190,"tf.Tensor(14.8460455, shape=(), dtype=float32)"
191,"tf.Tensor(15.484233, shape=(), dtype=float32)"
192,"tf.Tensor(15.375925, shape=(), dtype=float32)"
193,"tf.Tensor(16.74931, shape=(), dtype=float32)"
194,"tf.Tensor(14.961589, shape=(), dtype=float32)"
195,"tf.Tensor(17.688309, shape=(), dtype=float32)"
196,"tf.Tensor(16.006859, shape=(), dtype=float32)"
197,"tf.Tensor(16.470951, shape=(), dtype=float32)"
198,"tf.Tensor(16.875067, shape=(), dtype=float32)"
199,"tf.Tensor(15.184285, shape=(), dtype=float32)"
200,"tf.Tensor(17.220526, shape=(), dtype=float32)"
201,"tf.Tensor(15.15256, shape=(), dtype=float32)"
202,"tf.Tensor(14.840563, shape=(), dtype=float32)"
203,"tf.Tensor(16.307024, shape=(), dtype=float32)"
204,"tf.Tensor(16.451908, shape=(), dtype=float32)"
205,"tf.Tensor(18.264393, shape=(), dtype=float32)"
206,"tf.Tensor(17.301651, shape=(), dtype=float32)"
207,"tf.Tensor(16.611408, shape=(), dtype=float32)"
208,"tf.Tensor(15.369484, shape=(), dtype=float32)"
209,"tf.Tensor(16.77124, shape=(), dtype=float32)"
210,"tf.Tensor(16.072979, shape=(), dtype=float32)"
211,"tf.Tensor(16.160427, shape=(), dtype=float32)"
212,"tf.Tensor(16.484686, shape=(), dtype=float32)"
213,"tf.Tensor(14.570938, shape=(), dtype=float32)"
214,"tf.Tensor(15.521406, shape=(), dtype=float32)"
215,"tf.Tensor(15.643164, shape=(), dtype=float32)"
216,"tf.Tensor(18.484423, shape=(), dtype=float32)"
217,"tf.Tensor(17.590714, shape=(), dtype=float32)"
218,"tf.Tensor(13.718994, shape=(), dtype=float32)"
219,"tf.Tensor(14.286644, shape=(), dtype=float32)"
220,"tf.Tensor(15.890304, shape=(), dtype=float32)"
221,"tf.Tensor(15.886406, shape=(), dtype=float32)"
222,"tf.Tensor(15.255582, shape=(), dtype=float32)"
223,"tf.Tensor(16.473785, shape=(), dtype=float32)"
224,"tf.Tensor(15.345867, shape=(), dtype=float32)"
225,"tf.Tensor(17.321062, shape=(), dtype=float32)"
226,"tf.Tensor(16.785372, shape=(), dtype=float32)"
227,"tf.Tensor(15.027085, shape=(), dtype=float32)"
228,"tf.Tensor(16.195091, shape=(), dtype=float32)"
229,"tf.Tensor(17.11807, shape=(), dtype=float32)"
230,"tf.Tensor(14.862284, shape=(), dtype=float32)"
231,"tf.Tensor(17.40741, shape=(), dtype=float32)"
232,"tf.Tensor(15.527977, shape=(), dtype=float32)"
233,"tf.Tensor(16.22115, shape=(), dtype=float32)"
234,"tf.Tensor(17.229025, shape=(), dtype=float32)"
235,"tf.Tensor(14.531879, shape=(), dtype=float32)"
236,"tf.Tensor(16.367363, shape=(), dtype=float32)"
237,"tf.Tensor(15.793753, shape=(), dtype=float32)"
238,"tf.Tensor(15.232858, shape=(), dtype=float32)"
239,"tf.Tensor(15.220693, shape=(), dtype=float32)"
240,"tf.Tensor(14.849589, shape=(), dtype=float32)"
241,"tf.Tensor(16.453447, shape=(), dtype=float32)"
242,"tf.Tensor(14.726645, shape=(), dtype=float32)"
243,"tf.Tensor(15.930992, shape=(), dtype=float32)"
244,"tf.Tensor(16.3275, shape=(), dtype=float32)"
245,"tf.Tensor(16.655266, shape=(), dtype=float32)"
246,"tf.Tensor(15.328049, shape=(), dtype=float32)"
247,"tf.Tensor(16.724575, shape=(), dtype=float32)"
248,"tf.Tensor(16.640696, shape=(), dtype=float32)"
249,"tf.Tensor(17.908482, shape=(), dtype=float32)"
250,"tf.Tensor(17.618347, shape=(), dtype=float32)"
251,"tf.Tensor(16.657759, shape=(), dtype=float32)"
252,"tf.Tensor(17.68889, shape=(), dtype=float32)"
253,"tf.Tensor(15.043529, shape=(), dtype=float32)"
254,"tf.Tensor(15.929448, shape=(), dtype=float32)"
255,"tf.Tensor(14.173613, shape=(), dtype=float32)"
256,"tf.Tensor(14.73906, shape=(), dtype=float32)"
257,"tf.Tensor(14.8475685, shape=(), dtype=float32)"
258,"tf.Tensor(18.055838, shape=(), dtype=float32)"
259,"tf.Tensor(13.979301, shape=(), dtype=float32)"
260,"tf.Tensor(16.675478, shape=(), dtype=float32)"
261,"tf.Tensor(15.852874, shape=(), dtype=float32)"
262,"tf.Tensor(16.425795, shape=(), dtype=float32)"
263,"tf.Tensor(13.705416, shape=(), dtype=float32)"
264,"tf.Tensor(15.24377, shape=(), dtype=float32)"
265,"tf.Tensor(15.130453, shape=(), dtype=float32)"
266,"tf.Tensor(14.153999, shape=(), dtype=float32)"
267,"tf.Tensor(16.996881, shape=(), dtype=float32)"
268,"tf.Tensor(16.388714, shape=(), dtype=float32)"
269,"tf.Tensor(14.772031, shape=(), dtype=float32)"
270,"tf.Tensor(15.567669, shape=(), dtype=float32)"
271,"tf.Tensor(17.230206, shape=(), dtype=float32)"
272,"tf.Tensor(16.102322, shape=(), dtype=float32)"
273,"tf.Tensor(16.13588, shape=(), dtype=float32)"
274,"tf.Tensor(16.538452, shape=(), dtype=float32)"
275,"tf.Tensor(16.08141, shape=(), dtype=float32)"
276,"tf.Tensor(16.089638, shape=(), dtype=float32)"
277,"tf.Tensor(16.702951, shape=(), dtype=float32)"
278,"tf.Tensor(15.364473, shape=(), dtype=float32)"
279,"tf.Tensor(17.090092, shape=(), dtype=float32)"
280,"tf.Tensor(16.32348, shape=(), dtype=float32)"
281,"tf.Tensor(15.656522, shape=(), dtype=float32)"
282,"tf.Tensor(16.096077, shape=(), dtype=float32)"
283,"tf.Tensor(15.912088, shape=(), dtype=float32)"
284,"tf.Tensor(16.617437, shape=(), dtype=float32)"
285,"tf.Tensor(15.762365, shape=(), dtype=float32)"
286,"tf.Tensor(14.785001, shape=(), dtype=float32)"
287,"tf.Tensor(15.867399, shape=(), dtype=float32)"
288,"tf.Tensor(17.330004, shape=(), dtype=float32)"
289,"tf.Tensor(16.53984, shape=(), dtype=float32)"
290,"tf.Tensor(17.068523, shape=(), dtype=float32)"
291,"tf.Tensor(15.800168, shape=(), dtype=float32)"
292,"tf.Tensor(15.271415, shape=(), dtype=float32)"
293,"tf.Tensor(16.047476, shape=(), dtype=float32)"
294,"tf.Tensor(14.60084, shape=(), dtype=float32)"
295,"tf.Tensor(15.305212, shape=(), dtype=float32)"
296,"tf.Tensor(16.567755, shape=(), dtype=float32)"
297,"tf.Tensor(15.582196, shape=(), dtype=float32)"
298,"tf.Tensor(15.136991, shape=(), dtype=float32)"
299,"tf.Tensor(17.406755, shape=(), dtype=float32)"
300,"tf.Tensor(16.998756, shape=(), dtype=float32)"
301,"tf.Tensor(15.338973, shape=(), dtype=float32)"
302,"tf.Tensor(17.520906, shape=(), dtype=float32)"
303,"tf.Tensor(15.459603, shape=(), dtype=float32)"
304,"tf.Tensor(14.884373, shape=(), dtype=float32)"
305,"tf.Tensor(14.6100855, shape=(), dtype=float32)"
306,"tf.Tensor(16.91925, shape=(), dtype=float32)"
307,"tf.Tensor(16.262112, shape=(), dtype=float32)"
308,"tf.Tensor(17.246515, shape=(), dtype=float32)"
309,"tf.Tensor(16.071787, shape=(), dtype=float32)"
310,"tf.Tensor(14.869699, shape=(), dtype=float32)"
311,"tf.Tensor(15.150695, shape=(), dtype=float32)"
312,"tf.Tensor(16.96191, shape=(), dtype=float32)"
313,"tf.Tensor(16.108673, shape=(), dtype=float32)"
314,"tf.Tensor(17.929594, shape=(), dtype=float32)"
315,"tf.Tensor(14.942529, shape=(), dtype=float32)"
316,"tf.Tensor(15.150997, shape=(), dtype=float32)"
317,"tf.Tensor(17.362015, shape=(), dtype=float32)"
318,"tf.Tensor(15.881354, shape=(), dtype=float32)"
319,"tf.Tensor(15.890266, shape=(), dtype=float32)"
320,"tf.Tensor(15.305562, shape=(), dtype=float32)"
321,"tf.Tensor(17.529846, shape=(), dtype=float32)"
322,"tf.Tensor(15.871927, shape=(), dtype=float32)"
323,"tf.Tensor(13.921355, shape=(), dtype=float32)"
324,"tf.Tensor(15.587362, shape=(), dtype=float32)"
325,"tf.Tensor(15.749388, shape=(), dtype=float32)"
326,"tf.Tensor(15.994981, shape=(), dtype=float32)"
327,"tf.Tensor(16.640236, shape=(), dtype=float32)"
328,"tf.Tensor(15.040257, shape=(), dtype=float32)"
329,"tf.Tensor(14.926593, shape=(), dtype=float32)"
330,"tf.Tensor(17.301283, shape=(), dtype=float32)"
331,"tf.Tensor(16.721878, shape=(), dtype=float32)"
332,"tf.Tensor(16.478975, shape=(), dtype=float32)"
333,"tf.Tensor(16.899422, shape=(), dtype=float32)"
334,"tf.Tensor(14.921237, shape=(), dtype=float32)"
335,"tf.Tensor(15.819013, shape=(), dtype=float32)"
336,"tf.Tensor(16.868767, shape=(), dtype=float32)"
337,"tf.Tensor(16.238903, shape=(), dtype=float32)"
338,"tf.Tensor(16.064568, shape=(), dtype=float32)"
339,"tf.Tensor(16.040648, shape=(), dtype=float32)"
340,"tf.Tensor(15.534025, shape=(), dtype=float32)"
341,"tf.Tensor(16.837675, shape=(), dtype=float32)"
342,"tf.Tensor(16.817537, shape=(), dtype=float32)"
343,"tf.Tensor(15.408204, shape=(), dtype=float32)"
344,"tf.Tensor(17.434153, shape=(), dtype=float32)"
345,"tf.Tensor(16.763092, shape=(), dtype=float32)"
346,"tf.Tensor(16.837675, shape=(), dtype=float32)"
347,"tf.Tensor(13.971541, shape=(), dtype=float32)"
348,"tf.Tensor(16.352354, shape=(), dtype=float32)"
349,"tf.Tensor(17.577982, shape=(), dtype=float32)"
350,"tf.Tensor(16.837675, shape=(), dtype=float32)"
351,"tf.Tensor(15.21446, shape=(), dtype=float32)"
352,"tf.Tensor(16.417723, shape=(), dtype=float32)"
353,"tf.Tensor(16.464928, shape=(), dtype=float32)"
354,"tf.Tensor(16.353724, shape=(), dtype=float32)"
355,"tf.Tensor(15.529861, shape=(), dtype=float32)"
356,"tf.Tensor(16.631561, shape=(), dtype=float32)"
357,"tf.Tensor(17.582493, shape=(), dtype=float32)"
358,"tf.Tensor(17.101053, shape=(), dtype=float32)"
359,"tf.Tensor(15.924401, shape=(), dtype=float32)"
360,"tf.Tensor(16.88302, shape=(), dtype=float32)"
361,"tf.Tensor(15.982906, shape=(), dtype=float32)"
362,"tf.Tensor(17.790066, shape=(), dtype=float32)"
363,"tf.Tensor(14.442586, shape=(), dtype=float32)"
364,"tf.Tensor(17.303432, shape=(), dtype=float32)"
365,"tf.Tensor(16.059696, shape=(), dtype=float32)"
366,"tf.Tensor(16.102707, shape=(), dtype=float32)"
367,"tf.Tensor(15.322711, shape=(), dtype=float32)"
368,"tf.Tensor(17.477392, shape=(), dtype=float32)"
369,"tf.Tensor(15.67552, shape=(), dtype=float32)"
370,"tf.Tensor(15.415835, shape=(), dtype=float32)"
371,"tf.Tensor(16.36872, shape=(), dtype=float32)"
372,"tf.Tensor(15.236756, shape=(), dtype=float32)"
373,"tf.Tensor(15.295832, shape=(), dtype=float32)"
374,"tf.Tensor(16.475275, shape=(), dtype=float32)"
375,"tf.Tensor(16.832016, shape=(), dtype=float32)"
376,"tf.Tensor(17.320423, shape=(), dtype=float32)"
377,"tf.Tensor(15.793432, shape=(), dtype=float32)"
378,"tf.Tensor(16.670763, shape=(), dtype=float32)"
379,"tf.Tensor(16.471052, shape=(), dtype=float32)"
380,"tf.Tensor(15.219307, shape=(), dtype=float32)"
381,"tf.Tensor(15.372804, shape=(), dtype=float32)"
382,"tf.Tensor(15.061848, shape=(), dtype=float32)"
383,"tf.Tensor(17.847889, shape=(), dtype=float32)"
384,"tf.Tensor(15.6802435, shape=(), dtype=float32)"
385,"tf.Tensor(14.510364, shape=(), dtype=float32)"
386,"tf.Tensor(14.778705, shape=(), dtype=float32)"
387,"tf.Tensor(16.068472, shape=(), dtype=float32)"
388,"tf.Tensor(16.068012, shape=(), dtype=float32)"
389,"tf.Tensor(14.980827, shape=(), dtype=float32)"
390,"tf.Tensor(16.0392, shape=(), dtype=float32)"
391,"tf.Tensor(14.93766, shape=(), dtype=float32)"
392,"tf.Tensor(16.0392, shape=(), dtype=float32)"
393,"tf.Tensor(16.961308, shape=(), dtype=float32)"
394,"tf.Tensor(15.85809, shape=(), dtype=float32)"
395,"tf.Tensor(16.073963, shape=(), dtype=float32)"
396,"tf.Tensor(15.896432, shape=(), dtype=float32)"
397,"tf.Tensor(16.482426, shape=(), dtype=float32)"
398,"tf.Tensor(16.260096, shape=(), dtype=float32)"
399,"tf.Tensor(14.779903, shape=(), dtype=float32)"
400,"tf.Tensor(16.9259, shape=(), dtype=float32)"
401,"tf.Tensor(14.494739, shape=(), dtype=float32)"
402,"tf.Tensor(14.75855, shape=(), dtype=float32)"
403,"tf.Tensor(14.816656, shape=(), dtype=float32)"
404,"tf.Tensor(14.882184, shape=(), dtype=float32)"
405,"tf.Tensor(17.342794, shape=(), dtype=float32)"
406,"tf.Tensor(16.778128, shape=(), dtype=float32)"
407,"tf.Tensor(16.751799, shape=(), dtype=float32)"
408,"tf.Tensor(16.734016, shape=(), dtype=float32)"
409,"tf.Tensor(16.303772, shape=(), dtype=float32)"
410,"tf.Tensor(15.159724, shape=(), dtype=float32)"
411,"tf.Tensor(15.776587, shape=(), dtype=float32)"
412,"tf.Tensor(15.048813, shape=(), dtype=float32)"
413,"tf.Tensor(16.990229, shape=(), dtype=float32)"
414,"tf.Tensor(14.947115, shape=(), dtype=float32)"
415,"tf.Tensor(15.530034, shape=(), dtype=float32)"
416,"tf.Tensor(16.061897, shape=(), dtype=float32)"
417,"tf.Tensor(15.192362, shape=(), dtype=float32)"
418,"tf.Tensor(16.629807, shape=(), dtype=float32)"
419,"tf.Tensor(17.197027, shape=(), dtype=float32)"
420,"tf.Tensor(14.785001, shape=(), dtype=float32)"
421,"tf.Tensor(15.689153, shape=(), dtype=float32)"
422,"tf.Tensor(17.172724, shape=(), dtype=float32)"
423,"tf.Tensor(15.249857, shape=(), dtype=float32)"
424,"tf.Tensor(15.840894, shape=(), dtype=float32)"
425,"tf.Tensor(15.143605, shape=(), dtype=float32)"
426,"tf.Tensor(17.457287, shape=(), dtype=float32)"
427,"tf.Tensor(14.70706, shape=(), dtype=float32)"
428,"tf.Tensor(15.583002, shape=(), dtype=float32)"
429,"tf.Tensor(17.350376, shape=(), dtype=float32)"
430,"tf.Tensor(15.56702, shape=(), dtype=float32)"
431,"tf.Tensor(15.670983, shape=(), dtype=float32)"
432,"tf.Tensor(17.304811, shape=(), dtype=float32)"
433,"tf.Tensor(15.819255, shape=(), dtype=float32)"
434,"tf.Tensor(15.356916, shape=(), dtype=float32)"
435,"tf.Tensor(15.926399, shape=(), dtype=float32)"
436,"tf.Tensor(15.375253, shape=(), dtype=float32)"
437,"tf.Tensor(15.341396, shape=(), dtype=float32)"
438,"tf.Tensor(15.04269, shape=(), dtype=float32)"
439,"tf.Tensor(16.106943, shape=(), dtype=float32)"
440,"tf.Tensor(15.807924, shape=(), dtype=float32)"
441,"tf.Tensor(16.127048, shape=(), dtype=float32)"
442,"tf.Tensor(16.275478, shape=(), dtype=float32)"
443,"tf.Tensor(15.88031, shape=(), dtype=float32)"
444,"tf.Tensor(16.81641, shape=(), dtype=float32)"
445,"tf.Tensor(14.785001, shape=(), dtype=float32)"
446,"tf.Tensor(17.59491, shape=(), dtype=float32)"
447,"tf.Tensor(16.8077, shape=(), dtype=float32)"
448,"tf.Tensor(16.079823, shape=(), dtype=float32)"
449,"tf.Tensor(16.128159, shape=(), dtype=float32)"
450,"tf.Tensor(16.48924, shape=(), dtype=float32)"
451,"tf.Tensor(16.918705, shape=(), dtype=float32)"
452,"tf.Tensor(15.518, shape=(), dtype=float32)"
453,"tf.Tensor(16.778128, shape=(), dtype=float32)"
454,"tf.Tensor(14.032552, shape=(), dtype=float32)"
455,"tf.Tensor(15.827662, shape=(), dtype=float32)"
456,"tf.Tensor(16.114943, shape=(), dtype=float32)"
457,"tf.Tensor(15.972903, shape=(), dtype=float32)"
458,"tf.Tensor(15.346822, shape=(), dtype=float32)"
459,"tf.Tensor(18.714617, shape=(), dtype=float32)"
460,"tf.Tensor(14.946039, shape=(), dtype=float32)"
461,"tf.Tensor(15.913654, shape=(), dtype=float32)"
462,"tf.Tensor(15.282235, shape=(), dtype=float32)"
463,"tf.Tensor(16.825357, shape=(), dtype=float32)"
464,"tf.Tensor(16.307781, shape=(), dtype=float32)"
465,"tf.Tensor(15.603272, shape=(), dtype=float32)"
466,"tf.Tensor(15.041355, shape=(), dtype=float32)"
