,variation
93,"tf.Tensor(16.62043, shape=(), dtype=float32)"
94,"tf.Tensor(15.067876, shape=(), dtype=float32)"
95,"tf.Tensor(17.907581, shape=(), dtype=float32)"
96,"tf.Tensor(15.916649, shape=(), dtype=float32)"
97,"tf.Tensor(16.268618, shape=(), dtype=float32)"
98,"tf.Tensor(15.490835, shape=(), dtype=float32)"
99,"tf.Tensor(15.01588, shape=(), dtype=float32)"
100,"tf.Tensor(15.878069, shape=(), dtype=float32)"
101,"tf.Tensor(15.329377, shape=(), dtype=float32)"
102,"tf.Tensor(16.571787, shape=(), dtype=float32)"
103,"tf.Tensor(17.397308, shape=(), dtype=float32)"
104,"tf.Tensor(16.508244, shape=(), dtype=float32)"
105,"tf.Tensor(15.319638, shape=(), dtype=float32)"
106,"tf.Tensor(17.131458, shape=(), dtype=float32)"
107,"tf.Tensor(13.937628, shape=(), dtype=float32)"
108,
109,"tf.Tensor(15.120927, shape=(), dtype=float32)"
110,"tf.Tensor(18.088291, shape=(), dtype=float32)"
111,"tf.Tensor(15.272367, shape=(), dtype=float32)"
112,"tf.Tensor(16.116194, shape=(), dtype=float32)"
113,"tf.Tensor(14.5671425, shape=(), dtype=float32)"
114,"tf.Tensor(16.241867, shape=(), dtype=float32)"
115,"tf.Tensor(15.107095, shape=(), dtype=float32)"
116,"tf.Tensor(15.540821, shape=(), dtype=float32)"
117,"tf.Tensor(16.94433, shape=(), dtype=float32)"
118,"tf.Tensor(17.008501, shape=(), dtype=float32)"
119,"tf.Tensor(14.668636, shape=(), dtype=float32)"
120,"tf.Tensor(15.36467, shape=(), dtype=float32)"
121,"tf.Tensor(14.842955, shape=(), dtype=float32)"
122,"tf.Tensor(17.333212, shape=(), dtype=float32)"
123,"tf.Tensor(16.303923, shape=(), dtype=float32)"
124,"tf.Tensor(15.36464, shape=(), dtype=float32)"
125,"tf.Tensor(16.889359, shape=(), dtype=float32)"
126,"tf.Tensor(15.094609, shape=(), dtype=float32)"
127,"tf.Tensor(15.998762, shape=(), dtype=float32)"
128,"tf.Tensor(15.490733, shape=(), dtype=float32)"
129,"tf.Tensor(16.129831, shape=(), dtype=float32)"
130,"tf.Tensor(14.849608, shape=(), dtype=float32)"
131,"tf.Tensor(17.091335, shape=(), dtype=float32)"
132,"tf.Tensor(17.992018, shape=(), dtype=float32)"
133,"tf.Tensor(14.764503, shape=(), dtype=float32)"
134,"tf.Tensor(17.37105, shape=(), dtype=float32)"
135,"tf.Tensor(16.74799, shape=(), dtype=float32)"
136,"tf.Tensor(16.832016, shape=(), dtype=float32)"
137,"tf.Tensor(17.310558, shape=(), dtype=float32)"
138,"tf.Tensor(15.827543, shape=(), dtype=float32)"
139,"tf.Tensor(15.5239935, shape=(), dtype=float32)"
140,"tf.Tensor(15.327816, shape=(), dtype=float32)"
141,"tf.Tensor(15.580854, shape=(), dtype=float32)"
142,"tf.Tensor(15.128079, shape=(), dtype=float32)"
143,"tf.Tensor(14.807428, shape=(), dtype=float32)"
144,"tf.Tensor(15.364723, shape=(), dtype=float32)"
145,"tf.Tensor(17.026693, shape=(), dtype=float32)"
146,"tf.Tensor(17.148441, shape=(), dtype=float32)"
147,"tf.Tensor(15.221772, shape=(), dtype=float32)"
148,"tf.Tensor(16.363506, shape=(), dtype=float32)"
149,"tf.Tensor(15.039742, shape=(), dtype=float32)"
150,"tf.Tensor(15.180429, shape=(), dtype=float32)"
151,"tf.Tensor(17.186087, shape=(), dtype=float32)"
152,"tf.Tensor(15.725464, shape=(), dtype=float32)"
153,"tf.Tensor(15.312544, shape=(), dtype=float32)"
154,"tf.Tensor(16.584482, shape=(), dtype=float32)"
155,"tf.Tensor(15.051019, shape=(), dtype=float32)"
156,"tf.Tensor(16.099771, shape=(), dtype=float32)"
157,"tf.Tensor(14.514986, shape=(), dtype=float32)"
158,"tf.Tensor(16.216106, shape=(), dtype=float32)"
159,"tf.Tensor(16.221336, shape=(), dtype=float32)"
160,"tf.Tensor(15.568827, shape=(), dtype=float32)"
161,"tf.Tensor(16.580122, shape=(), dtype=float32)"
162,"tf.Tensor(15.512475, shape=(), dtype=float32)"
163,"tf.Tensor(15.023128, shape=(), dtype=float32)"
164,"tf.Tensor(14.201015, shape=(), dtype=float32)"
165,"tf.Tensor(15.580811, shape=(), dtype=float32)"
166,"tf.Tensor(15.911283, shape=(), dtype=float32)"
167,"tf.Tensor(17.418245, shape=(), dtype=float32)"
168,"tf.Tensor(17.013367, shape=(), dtype=float32)"
169,"tf.Tensor(17.653841, shape=(), dtype=float32)"
170,"tf.Tensor(15.652488, shape=(), dtype=float32)"
171,"tf.Tensor(16.008532, shape=(), dtype=float32)"
172,"tf.Tensor(14.669347, shape=(), dtype=float32)"
173,"tf.Tensor(15.249594, shape=(), dtype=float32)"
174,"tf.Tensor(15.559256, shape=(), dtype=float32)"
175,"tf.Tensor(16.536503, shape=(), dtype=float32)"
176,"tf.Tensor(17.493319, shape=(), dtype=float32)"
177,"tf.Tensor(15.88886, shape=(), dtype=float32)"
178,"tf.Tensor(17.007448, shape=(), dtype=float32)"
179,"tf.Tensor(16.573675, shape=(), dtype=float32)"
180,"tf.Tensor(17.15118, shape=(), dtype=float32)"
181,"tf.Tensor(15.67327, shape=(), dtype=float32)"
182,"tf.Tensor(15.852459, shape=(), dtype=float32)"
183,"tf.Tensor(15.243054, shape=(), dtype=float32)"
184,"tf.Tensor(16.298985, shape=(), dtype=float32)"
185,"tf.Tensor(15.257835, shape=(), dtype=float32)"
186,"tf.Tensor(16.977793, shape=(), dtype=float32)"
187,"tf.Tensor(15.594719, shape=(), dtype=float32)"
188,"tf.Tensor(15.957729, shape=(), dtype=float32)"
189,"tf.Tensor(17.520975, shape=(), dtype=float32)"
190,"tf.Tensor(18.131792, shape=(), dtype=float32)"
191,"tf.Tensor(15.812343, shape=(), dtype=float32)"
192,"tf.Tensor(16.406487, shape=(), dtype=float32)"
193,"tf.Tensor(14.831154, shape=(), dtype=float32)"
194,"tf.Tensor(15.786273, shape=(), dtype=float32)"
195,"tf.Tensor(14.911899, shape=(), dtype=float32)"
196,"tf.Tensor(15.61925, shape=(), dtype=float32)"
197,"tf.Tensor(15.222942, shape=(), dtype=float32)"
198,"tf.Tensor(15.236001, shape=(), dtype=float32)"
199,"tf.Tensor(17.093422, shape=(), dtype=float32)"
200,"tf.Tensor(14.923745, shape=(), dtype=float32)"
201,"tf.Tensor(16.067268, shape=(), dtype=float32)"
202,"tf.Tensor(15.082477, shape=(), dtype=float32)"
203,"tf.Tensor(16.815058, shape=(), dtype=float32)"
204,"tf.Tensor(14.51378, shape=(), dtype=float32)"
205,"tf.Tensor(15.6272, shape=(), dtype=float32)"
206,"tf.Tensor(15.800038, shape=(), dtype=float32)"
207,"tf.Tensor(16.640646, shape=(), dtype=float32)"
208,"tf.Tensor(16.093555, shape=(), dtype=float32)"
209,"tf.Tensor(15.158104, shape=(), dtype=float32)"
210,"tf.Tensor(15.888522, shape=(), dtype=float32)"
211,"tf.Tensor(15.559974, shape=(), dtype=float32)"
212,"tf.Tensor(13.938697, shape=(), dtype=float32)"
213,"tf.Tensor(16.734016, shape=(), dtype=float32)"
214,"tf.Tensor(15.744182, shape=(), dtype=float32)"
215,"tf.Tensor(15.32544, shape=(), dtype=float32)"
216,"tf.Tensor(15.03497, shape=(), dtype=float32)"
217,"tf.Tensor(15.370146, shape=(), dtype=float32)"
218,"tf.Tensor(16.945316, shape=(), dtype=float32)"
219,"tf.Tensor(15.852423, shape=(), dtype=float32)"
220,"tf.Tensor(16.636154, shape=(), dtype=float32)"
221,"tf.Tensor(16.759214, shape=(), dtype=float32)"
222,"tf.Tensor(15.412065, shape=(), dtype=float32)"
223,"tf.Tensor(15.580838, shape=(), dtype=float32)"
224,"tf.Tensor(16.330322, shape=(), dtype=float32)"
225,"tf.Tensor(17.35321, shape=(), dtype=float32)"
226,"tf.Tensor(17.111006, shape=(), dtype=float32)"
227,"tf.Tensor(17.576174, shape=(), dtype=float32)"
228,"tf.Tensor(15.929322, shape=(), dtype=float32)"
229,"tf.Tensor(16.162228, shape=(), dtype=float32)"
230,"tf.Tensor(16.918568, shape=(), dtype=float32)"
231,"tf.Tensor(15.613415, shape=(), dtype=float32)"
232,"tf.Tensor(16.070585, shape=(), dtype=float32)"
233,"tf.Tensor(14.12312, shape=(), dtype=float32)"
234,"tf.Tensor(14.7835455, shape=(), dtype=float32)"
235,"tf.Tensor(16.048092, shape=(), dtype=float32)"
236,"tf.Tensor(15.821525, shape=(), dtype=float32)"
237,"tf.Tensor(16.949667, shape=(), dtype=float32)"
238,"tf.Tensor(15.93955, shape=(), dtype=float32)"
239,"tf.Tensor(16.171188, shape=(), dtype=float32)"
240,"tf.Tensor(16.196304, shape=(), dtype=float32)"
241,"tf.Tensor(18.483059, shape=(), dtype=float32)"
242,"tf.Tensor(16.037554, shape=(), dtype=float32)"
243,"tf.Tensor(15.849523, shape=(), dtype=float32)"
244,"tf.Tensor(15.553542, shape=(), dtype=float32)"
245,"tf.Tensor(16.811317, shape=(), dtype=float32)"
246,"tf.Tensor(16.71138, shape=(), dtype=float32)"
247,"tf.Tensor(17.090366, shape=(), dtype=float32)"
248,"tf.Tensor(17.240988, shape=(), dtype=float32)"
249,"tf.Tensor(15.629016, shape=(), dtype=float32)"
250,"tf.Tensor(16.862686, shape=(), dtype=float32)"
251,"tf.Tensor(15.670696, shape=(), dtype=float32)"
252,"tf.Tensor(16.026049, shape=(), dtype=float32)"
253,"tf.Tensor(17.064112, shape=(), dtype=float32)"
254,"tf.Tensor(15.866713, shape=(), dtype=float32)"
255,"tf.Tensor(17.128891, shape=(), dtype=float32)"
256,"tf.Tensor(15.782124, shape=(), dtype=float32)"
257,"tf.Tensor(16.047476, shape=(), dtype=float32)"
258,"tf.Tensor(14.817926, shape=(), dtype=float32)"
259,"tf.Tensor(16.676983, shape=(), dtype=float32)"
260,"tf.Tensor(16.363306, shape=(), dtype=float32)"
261,"tf.Tensor(15.693689, shape=(), dtype=float32)"
262,"tf.Tensor(14.795956, shape=(), dtype=float32)"
263,"tf.Tensor(17.156874, shape=(), dtype=float32)"
264,"tf.Tensor(18.000324, shape=(), dtype=float32)"
265,"tf.Tensor(15.66134, shape=(), dtype=float32)"
266,"tf.Tensor(16.330957, shape=(), dtype=float32)"
267,"tf.Tensor(18.000324, shape=(), dtype=float32)"
268,"tf.Tensor(16.848454, shape=(), dtype=float32)"
269,"tf.Tensor(16.825, shape=(), dtype=float32)"
270,
271,"tf.Tensor(16.030663, shape=(), dtype=float32)"
272,"tf.Tensor(14.706848, shape=(), dtype=float32)"
273,"tf.Tensor(18.000324, shape=(), dtype=float32)"
274,"tf.Tensor(17.268124, shape=(), dtype=float32)"
275,"tf.Tensor(17.325249, shape=(), dtype=float32)"
276,"tf.Tensor(15.665106, shape=(), dtype=float32)"
277,"tf.Tensor(15.324606, shape=(), dtype=float32)"
278,"tf.Tensor(15.235685, shape=(), dtype=float32)"
279,"tf.Tensor(16.897121, shape=(), dtype=float32)"
280,"tf.Tensor(17.446413, shape=(), dtype=float32)"
281,"tf.Tensor(14.836151, shape=(), dtype=float32)"
282,"tf.Tensor(15.857639, shape=(), dtype=float32)"
283,"tf.Tensor(14.973113, shape=(), dtype=float32)"
284,"tf.Tensor(15.21636, shape=(), dtype=float32)"
285,"tf.Tensor(16.98241, shape=(), dtype=float32)"
286,"tf.Tensor(16.889227, shape=(), dtype=float32)"
287,"tf.Tensor(16.693058, shape=(), dtype=float32)"
288,"tf.Tensor(15.319188, shape=(), dtype=float32)"
289,"tf.Tensor(15.142911, shape=(), dtype=float32)"
290,"tf.Tensor(15.0552635, shape=(), dtype=float32)"
291,"tf.Tensor(17.022654, shape=(), dtype=float32)"
292,"tf.Tensor(17.632513, shape=(), dtype=float32)"
293,"tf.Tensor(17.287666, shape=(), dtype=float32)"
294,"tf.Tensor(14.763038, shape=(), dtype=float32)"
295,"tf.Tensor(16.069359, shape=(), dtype=float32)"
296,"tf.Tensor(14.445744, shape=(), dtype=float32)"
297,"tf.Tensor(17.012386, shape=(), dtype=float32)"
298,"tf.Tensor(16.4308, shape=(), dtype=float32)"
299,"tf.Tensor(14.78249, shape=(), dtype=float32)"
300,"tf.Tensor(17.86392, shape=(), dtype=float32)"
301,"tf.Tensor(16.942137, shape=(), dtype=float32)"
302,"tf.Tensor(16.588245, shape=(), dtype=float32)"
303,"tf.Tensor(16.431067, shape=(), dtype=float32)"
304,"tf.Tensor(17.920008, shape=(), dtype=float32)"
305,"tf.Tensor(15.955851, shape=(), dtype=float32)"
306,"tf.Tensor(14.716147, shape=(), dtype=float32)"
307,"tf.Tensor(16.767723, shape=(), dtype=float32)"
308,"tf.Tensor(16.51844, shape=(), dtype=float32)"
309,"tf.Tensor(18.244528, shape=(), dtype=float32)"
310,"tf.Tensor(16.246311, shape=(), dtype=float32)"
311,"tf.Tensor(15.860198, shape=(), dtype=float32)"
312,"tf.Tensor(15.164052, shape=(), dtype=float32)"
313,"tf.Tensor(15.583628, shape=(), dtype=float32)"
314,"tf.Tensor(17.485233, shape=(), dtype=float32)"
315,"tf.Tensor(15.790097, shape=(), dtype=float32)"
316,"tf.Tensor(14.359501, shape=(), dtype=float32)"
317,"tf.Tensor(16.322113, shape=(), dtype=float32)"
318,"tf.Tensor(15.026778, shape=(), dtype=float32)"
319,"tf.Tensor(17.637209, shape=(), dtype=float32)"
320,"tf.Tensor(16.600672, shape=(), dtype=float32)"
321,"tf.Tensor(16.660164, shape=(), dtype=float32)"
322,"tf.Tensor(15.525242, shape=(), dtype=float32)"
323,"tf.Tensor(15.035043, shape=(), dtype=float32)"
324,"tf.Tensor(16.811342, shape=(), dtype=float32)"
325,"tf.Tensor(14.7813835, shape=(), dtype=float32)"
326,"tf.Tensor(14.041964, shape=(), dtype=float32)"
327,"tf.Tensor(16.290346, shape=(), dtype=float32)"
328,"tf.Tensor(16.038061, shape=(), dtype=float32)"
329,"tf.Tensor(14.749766, shape=(), dtype=float32)"
330,"tf.Tensor(16.435522, shape=(), dtype=float32)"
331,"tf.Tensor(18.073206, shape=(), dtype=float32)"
332,"tf.Tensor(16.197691, shape=(), dtype=float32)"
333,"tf.Tensor(14.177416, shape=(), dtype=float32)"
334,"tf.Tensor(17.087433, shape=(), dtype=float32)"
335,"tf.Tensor(14.836492, shape=(), dtype=float32)"
336,"tf.Tensor(14.921237, shape=(), dtype=float32)"
337,"tf.Tensor(15.204173, shape=(), dtype=float32)"
338,"tf.Tensor(16.33074, shape=(), dtype=float32)"
339,"tf.Tensor(15.38302, shape=(), dtype=float32)"
340,"tf.Tensor(16.817259, shape=(), dtype=float32)"
341,"tf.Tensor(15.26067, shape=(), dtype=float32)"
342,"tf.Tensor(16.351025, shape=(), dtype=float32)"
343,"tf.Tensor(15.826427, shape=(), dtype=float32)"
344,"tf.Tensor(15.671565, shape=(), dtype=float32)"
345,"tf.Tensor(15.815403, shape=(), dtype=float32)"
346,"tf.Tensor(16.40341, shape=(), dtype=float32)"
