,variation
0,"tf.Tensor(17.13877, shape=(), dtype=float32)"
1,"tf.Tensor(17.307096, shape=(), dtype=float32)"
2,"tf.Tensor(14.716544, shape=(), dtype=float32)"
3,"tf.Tensor(15.865768, shape=(), dtype=float32)"
4,"tf.Tensor(16.924, shape=(), dtype=float32)"
5,"tf.Tensor(14.351412, shape=(), dtype=float32)"
6,"tf.Tensor(17.23944, shape=(), dtype=float32)"
7,"tf.Tensor(15.460068, shape=(), dtype=float32)"
8,"tf.Tensor(14.602054, shape=(), dtype=float32)"
9,"tf.Tensor(15.154432, shape=(), dtype=float32)"
10,"tf.Tensor(16.413225, shape=(), dtype=float32)"
11,"tf.Tensor(15.061092, shape=(), dtype=float32)"
12,"tf.Tensor(17.461185, shape=(), dtype=float32)"
13,"tf.Tensor(17.019756, shape=(), dtype=float32)"
14,"tf.Tensor(15.4018135, shape=(), dtype=float32)"
15,"tf.Tensor(17.571795, shape=(), dtype=float32)"
16,"tf.Tensor(16.306093, shape=(), dtype=float32)"
17,"tf.Tensor(16.832016, shape=(), dtype=float32)"
18,"tf.Tensor(17.453373, shape=(), dtype=float32)"
19,"tf.Tensor(14.711059, shape=(), dtype=float32)"
20,"tf.Tensor(15.359821, shape=(), dtype=float32)"
21,"tf.Tensor(14.871172, shape=(), dtype=float32)"
22,"tf.Tensor(14.704986, shape=(), dtype=float32)"
23,"tf.Tensor(14.785001, shape=(), dtype=float32)"
24,"tf.Tensor(16.461569, shape=(), dtype=float32)"
25,"tf.Tensor(16.944416, shape=(), dtype=float32)"
26,"tf.Tensor(17.762936, shape=(), dtype=float32)"
27,"tf.Tensor(16.149656, shape=(), dtype=float32)"
28,"tf.Tensor(17.458797, shape=(), dtype=float32)"
29,"tf.Tensor(17.009855, shape=(), dtype=float32)"
30,"tf.Tensor(15.209329, shape=(), dtype=float32)"
31,"tf.Tensor(15.139089, shape=(), dtype=float32)"
32,"tf.Tensor(16.297907, shape=(), dtype=float32)"
33,"tf.Tensor(16.62206, shape=(), dtype=float32)"
34,"tf.Tensor(16.125122, shape=(), dtype=float32)"
35,"tf.Tensor(14.213486, shape=(), dtype=float32)"
36,"tf.Tensor(15.510875, shape=(), dtype=float32)"
37,"tf.Tensor(15.662421, shape=(), dtype=float32)"
38,"tf.Tensor(15.404692, shape=(), dtype=float32)"
39,"tf.Tensor(15.890597, shape=(), dtype=float32)"
40,"tf.Tensor(16.55441, shape=(), dtype=float32)"
41,"tf.Tensor(15.928557, shape=(), dtype=float32)"
42,"tf.Tensor(17.032505, shape=(), dtype=float32)"
43,"tf.Tensor(16.889282, shape=(), dtype=float32)"
44,"tf.Tensor(16.890507, shape=(), dtype=float32)"
45,"tf.Tensor(15.474909, shape=(), dtype=float32)"
46,"tf.Tensor(15.778969, shape=(), dtype=float32)"
47,"tf.Tensor(16.468138, shape=(), dtype=float32)"
48,"tf.Tensor(16.734016, shape=(), dtype=float32)"
49,"tf.Tensor(15.329617, shape=(), dtype=float32)"
50,"tf.Tensor(14.777076, shape=(), dtype=float32)"
51,"tf.Tensor(15.876493, shape=(), dtype=float32)"
52,"tf.Tensor(15.339357, shape=(), dtype=float32)"
53,"tf.Tensor(14.554938, shape=(), dtype=float32)"
54,"tf.Tensor(15.798455, shape=(), dtype=float32)"
55,"tf.Tensor(15.740458, shape=(), dtype=float32)"
56,"tf.Tensor(16.426653, shape=(), dtype=float32)"
57,"tf.Tensor(16.460152, shape=(), dtype=float32)"
58,"tf.Tensor(15.373235, shape=(), dtype=float32)"
59,"tf.Tensor(15.488333, shape=(), dtype=float32)"
60,"tf.Tensor(16.603472, shape=(), dtype=float32)"
61,"tf.Tensor(14.505537, shape=(), dtype=float32)"
62,"tf.Tensor(16.635647, shape=(), dtype=float32)"
63,"tf.Tensor(17.088, shape=(), dtype=float32)"
64,"tf.Tensor(15.7327, shape=(), dtype=float32)"
65,"tf.Tensor(15.388394, shape=(), dtype=float32)"
66,"tf.Tensor(15.348273, shape=(), dtype=float32)"
67,"tf.Tensor(15.095723, shape=(), dtype=float32)"
68,"tf.Tensor(16.815376, shape=(), dtype=float32)"
69,"tf.Tensor(17.584158, shape=(), dtype=float32)"
70,"tf.Tensor(17.101694, shape=(), dtype=float32)"
71,"tf.Tensor(16.226074, shape=(), dtype=float32)"
72,"tf.Tensor(17.215027, shape=(), dtype=float32)"
73,"tf.Tensor(16.184406, shape=(), dtype=float32)"
74,"tf.Tensor(15.563969, shape=(), dtype=float32)"
75,"tf.Tensor(14.664647, shape=(), dtype=float32)"
76,"tf.Tensor(15.346081, shape=(), dtype=float32)"
77,"tf.Tensor(15.649466, shape=(), dtype=float32)"
78,"tf.Tensor(16.159527, shape=(), dtype=float32)"
79,"tf.Tensor(16.10435, shape=(), dtype=float32)"
80,"tf.Tensor(17.247036, shape=(), dtype=float32)"
81,"tf.Tensor(15.171679, shape=(), dtype=float32)"
82,"tf.Tensor(15.36694, shape=(), dtype=float32)"
83,"tf.Tensor(16.021545, shape=(), dtype=float32)"
84,"tf.Tensor(16.092619, shape=(), dtype=float32)"
85,"tf.Tensor(15.983605, shape=(), dtype=float32)"
86,"tf.Tensor(15.918501, shape=(), dtype=float32)"
87,"tf.Tensor(16.662287, shape=(), dtype=float32)"
88,"tf.Tensor(15.167559, shape=(), dtype=float32)"
89,"tf.Tensor(15.370539, shape=(), dtype=float32)"
90,"tf.Tensor(16.84768, shape=(), dtype=float32)"
91,"tf.Tensor(14.827487, shape=(), dtype=float32)"
92,"tf.Tensor(14.942953, shape=(), dtype=float32)"
