,variation
107,"tf.Tensor(16.642584, shape=(), dtype=float32)"
108,"tf.Tensor(14.377207, shape=(), dtype=float32)"
109,"tf.Tensor(15.346756, shape=(), dtype=float32)"
110,"tf.Tensor(14.989993, shape=(), dtype=float32)"
111,"tf.Tensor(17.749214, shape=(), dtype=float32)"
112,"tf.Tensor(15.727451, shape=(), dtype=float32)"
113,"tf.Tensor(15.576423, shape=(), dtype=float32)"
114,"tf.Tensor(16.734016, shape=(), dtype=float32)"
115,"tf.Tensor(17.123669, shape=(), dtype=float32)"
116,"tf.Tensor(14.841455, shape=(), dtype=float32)"
117,"tf.Tensor(16.15329, shape=(), dtype=float32)"
118,"tf.Tensor(16.488617, shape=(), dtype=float32)"
119,"tf.Tensor(17.681103, shape=(), dtype=float32)"
120,"tf.Tensor(15.678819, shape=(), dtype=float32)"
121,"tf.Tensor(16.174994, shape=(), dtype=float32)"
122,"tf.Tensor(17.07806, shape=(), dtype=float32)"
123,"tf.Tensor(14.838998, shape=(), dtype=float32)"
124,"tf.Tensor(14.779341, shape=(), dtype=float32)"
125,"tf.Tensor(17.147152, shape=(), dtype=float32)"
126,"tf.Tensor(16.603357, shape=(), dtype=float32)"
127,"tf.Tensor(14.805403, shape=(), dtype=float32)"
128,"tf.Tensor(17.38587, shape=(), dtype=float32)"
129,"tf.Tensor(16.352238, shape=(), dtype=float32)"
130,"tf.Tensor(15.7959795, shape=(), dtype=float32)"
131,"tf.Tensor(15.771275, shape=(), dtype=float32)"
132,"tf.Tensor(14.271297, shape=(), dtype=float32)"
133,"tf.Tensor(16.491442, shape=(), dtype=float32)"
134,"tf.Tensor(16.7548, shape=(), dtype=float32)"
135,"tf.Tensor(14.48949, shape=(), dtype=float32)"
136,"tf.Tensor(15.506459, shape=(), dtype=float32)"
137,"tf.Tensor(15.7043085, shape=(), dtype=float32)"
138,"tf.Tensor(13.777615, shape=(), dtype=float32)"
139,"tf.Tensor(17.589054, shape=(), dtype=float32)"
140,"tf.Tensor(16.930307, shape=(), dtype=float32)"
141,"tf.Tensor(17.91462, shape=(), dtype=float32)"
142,"tf.Tensor(16.954332, shape=(), dtype=float32)"
143,"tf.Tensor(13.712403, shape=(), dtype=float32)"
144,"tf.Tensor(14.921237, shape=(), dtype=float32)"
145,"tf.Tensor(15.782545, shape=(), dtype=float32)"
146,"tf.Tensor(17.007172, shape=(), dtype=float32)"
147,"tf.Tensor(16.46935, shape=(), dtype=float32)"
148,"tf.Tensor(15.846886, shape=(), dtype=float32)"
149,"tf.Tensor(16.46935, shape=(), dtype=float32)"
150,"tf.Tensor(16.08696, shape=(), dtype=float32)"
151,"tf.Tensor(17.498678, shape=(), dtype=float32)"
