,variation
0,"tf.Tensor(15.350831, shape=(), dtype=float32)"
1,"tf.Tensor(16.287287, shape=(), dtype=float32)"
2,"tf.Tensor(17.312088, shape=(), dtype=float32)"
3,
4,"tf.Tensor(15.265587, shape=(), dtype=float32)"
5,"tf.Tensor(15.069472, shape=(), dtype=float32)"
6,"tf.Tensor(15.333399, shape=(), dtype=float32)"
7,"tf.Tensor(17.26137, shape=(), dtype=float32)"
8,"tf.Tensor(15.016763, shape=(), dtype=float32)"
9,
10,
11,"tf.Tensor(15.666019, shape=(), dtype=float32)"
12,"tf.Tensor(16.649723, shape=(), dtype=float32)"
13,"tf.Tensor(15.5949545, shape=(), dtype=float32)"
14,"tf.Tensor(15.510996, shape=(), dtype=float32)"
15,"tf.Tensor(15.381536, shape=(), dtype=float32)"
16,"tf.Tensor(15.971893, shape=(), dtype=float32)"
17,"tf.Tensor(16.06274, shape=(), dtype=float32)"
18,"tf.Tensor(15.365697, shape=(), dtype=float32)"
19,"tf.Tensor(15.689441, shape=(), dtype=float32)"
20,"tf.Tensor(15.323103, shape=(), dtype=float32)"
21,"tf.Tensor(14.694902, shape=(), dtype=float32)"
22,"tf.Tensor(16.923605, shape=(), dtype=float32)"
23,"tf.Tensor(15.51625, shape=(), dtype=float32)"
24,"tf.Tensor(15.231728, shape=(), dtype=float32)"
25,
26,"tf.Tensor(15.63934, shape=(), dtype=float32)"
27,"tf.Tensor(17.404621, shape=(), dtype=float32)"
28,"tf.Tensor(16.19278, shape=(), dtype=float32)"
29,"tf.Tensor(15.120208, shape=(), dtype=float32)"
30,"tf.Tensor(15.86089, shape=(), dtype=float32)"
31,"tf.Tensor(15.67092, shape=(), dtype=float32)"
32,"tf.Tensor(17.327856, shape=(), dtype=float32)"
33,"tf.Tensor(15.841057, shape=(), dtype=float32)"
34,"tf.Tensor(15.555621, shape=(), dtype=float32)"
35,"tf.Tensor(17.196564, shape=(), dtype=float32)"
36,"tf.Tensor(16.220966, shape=(), dtype=float32)"
37,"tf.Tensor(15.504661, shape=(), dtype=float32)"
38,"tf.Tensor(16.138264, shape=(), dtype=float32)"
39,"tf.Tensor(16.659382, shape=(), dtype=float32)"
40,"tf.Tensor(16.0099, shape=(), dtype=float32)"
41,"tf.Tensor(17.488457, shape=(), dtype=float32)"
42,"tf.Tensor(14.319826, shape=(), dtype=float32)"
43,"tf.Tensor(16.952713, shape=(), dtype=float32)"
44,"tf.Tensor(15.715411, shape=(), dtype=float32)"
45,"tf.Tensor(17.588427, shape=(), dtype=float32)"
46,"tf.Tensor(16.934757, shape=(), dtype=float32)"
47,"tf.Tensor(15.041661, shape=(), dtype=float32)"
48,"tf.Tensor(14.768544, shape=(), dtype=float32)"
49,"tf.Tensor(15.773857, shape=(), dtype=float32)"
50,"tf.Tensor(15.387835, shape=(), dtype=float32)"
51,"tf.Tensor(18.091623, shape=(), dtype=float32)"
52,"tf.Tensor(16.07039, shape=(), dtype=float32)"
53,"tf.Tensor(17.016674, shape=(), dtype=float32)"
54,"tf.Tensor(14.826229, shape=(), dtype=float32)"
55,"tf.Tensor(17.301428, shape=(), dtype=float32)"
56,"tf.Tensor(15.2823715, shape=(), dtype=float32)"
57,"tf.Tensor(15.969362, shape=(), dtype=float32)"
