,variation
58,"tf.Tensor(16.499731, shape=(), dtype=float32)"
59,"tf.Tensor(15.738953, shape=(), dtype=float32)"
60,"tf.Tensor(16.835876, shape=(), dtype=float32)"
61,"tf.Tensor(16.205053, shape=(), dtype=float32)"
62,"tf.Tensor(15.341667, shape=(), dtype=float32)"
63,"tf.Tensor(16.5346, shape=(), dtype=float32)"
64,"tf.Tensor(15.714634, shape=(), dtype=float32)"
65,"tf.Tensor(15.798455, shape=(), dtype=float32)"
66,"tf.Tensor(15.965918, shape=(), dtype=float32)"
67,"tf.Tensor(14.95328, shape=(), dtype=float32)"
68,"tf.Tensor(15.813682, shape=(), dtype=float32)"
69,"tf.Tensor(15.708011, shape=(), dtype=float32)"
70,"tf.Tensor(16.69535, shape=(), dtype=float32)"
71,"tf.Tensor(15.830661, shape=(), dtype=float32)"
72,"tf.Tensor(16.373064, shape=(), dtype=float32)"
73,"tf.Tensor(15.998753, shape=(), dtype=float32)"
74,"tf.Tensor(15.511213, shape=(), dtype=float32)"
75,"tf.Tensor(16.488222, shape=(), dtype=float32)"
76,"tf.Tensor(14.873717, shape=(), dtype=float32)"
77,"tf.Tensor(15.671278, shape=(), dtype=float32)"
78,"tf.Tensor(14.021917, shape=(), dtype=float32)"
79,"tf.Tensor(15.367035, shape=(), dtype=float32)"
80,"tf.Tensor(15.738619, shape=(), dtype=float32)"
81,"tf.Tensor(15.39847, shape=(), dtype=float32)"
82,"tf.Tensor(15.259388, shape=(), dtype=float32)"
83,"tf.Tensor(15.6646385, shape=(), dtype=float32)"
84,"tf.Tensor(14.489352, shape=(), dtype=float32)"
85,"tf.Tensor(14.99344, shape=(), dtype=float32)"
86,"tf.Tensor(14.82526, shape=(), dtype=float32)"
87,"tf.Tensor(15.159732, shape=(), dtype=float32)"
88,"tf.Tensor(15.972507, shape=(), dtype=float32)"
89,"tf.Tensor(15.41121, shape=(), dtype=float32)"
90,"tf.Tensor(17.20823, shape=(), dtype=float32)"
91,"tf.Tensor(15.721788, shape=(), dtype=float32)"
92,"tf.Tensor(16.114265, shape=(), dtype=float32)"
93,"tf.Tensor(17.176682, shape=(), dtype=float32)"
94,"tf.Tensor(14.842181, shape=(), dtype=float32)"
95,"tf.Tensor(16.405027, shape=(), dtype=float32)"
96,"tf.Tensor(14.515196, shape=(), dtype=float32)"
97,"tf.Tensor(15.408482, shape=(), dtype=float32)"
98,"tf.Tensor(16.289114, shape=(), dtype=float32)"
99,"tf.Tensor(16.782534, shape=(), dtype=float32)"
100,"tf.Tensor(17.890097, shape=(), dtype=float32)"
101,"tf.Tensor(16.361658, shape=(), dtype=float32)"
102,"tf.Tensor(15.451725, shape=(), dtype=float32)"
103,"tf.Tensor(16.364574, shape=(), dtype=float32)"
104,"tf.Tensor(15.383229, shape=(), dtype=float32)"
105,"tf.Tensor(17.242714, shape=(), dtype=float32)"
106,"tf.Tensor(16.230913, shape=(), dtype=float32)"
107,"tf.Tensor(16.46546, shape=(), dtype=float32)"
108,"tf.Tensor(14.261941, shape=(), dtype=float32)"
109,"tf.Tensor(15.190332, shape=(), dtype=float32)"
110,"tf.Tensor(15.455845, shape=(), dtype=float32)"
111,"tf.Tensor(16.256826, shape=(), dtype=float32)"
112,"tf.Tensor(17.62124, shape=(), dtype=float32)"
113,"tf.Tensor(16.058138, shape=(), dtype=float32)"
114,"tf.Tensor(15.589701, shape=(), dtype=float32)"
115,"tf.Tensor(16.496952, shape=(), dtype=float32)"
116,"tf.Tensor(17.166851, shape=(), dtype=float32)"
117,"tf.Tensor(14.809943, shape=(), dtype=float32)"
118,"tf.Tensor(15.87078, shape=(), dtype=float32)"
119,"tf.Tensor(15.15074, shape=(), dtype=float32)"
120,"tf.Tensor(15.007466, shape=(), dtype=float32)"
121,"tf.Tensor(15.001263, shape=(), dtype=float32)"
122,"tf.Tensor(16.478056, shape=(), dtype=float32)"
123,"tf.Tensor(16.675873, shape=(), dtype=float32)"
124,"tf.Tensor(16.799864, shape=(), dtype=float32)"
125,"tf.Tensor(15.751852, shape=(), dtype=float32)"
126,"tf.Tensor(15.383478, shape=(), dtype=float32)"
127,"tf.Tensor(16.220852, shape=(), dtype=float32)"
128,"tf.Tensor(16.875282, shape=(), dtype=float32)"
129,"tf.Tensor(16.967545, shape=(), dtype=float32)"
130,"tf.Tensor(16.881397, shape=(), dtype=float32)"
131,"tf.Tensor(14.218484, shape=(), dtype=float32)"
132,"tf.Tensor(15.4566555, shape=(), dtype=float32)"
133,"tf.Tensor(17.47225, shape=(), dtype=float32)"
134,"tf.Tensor(15.608675, shape=(), dtype=float32)"
135,"tf.Tensor(15.600517, shape=(), dtype=float32)"
136,"tf.Tensor(15.718692, shape=(), dtype=float32)"
137,"tf.Tensor(15.875116, shape=(), dtype=float32)"
138,"tf.Tensor(15.751434, shape=(), dtype=float32)"
139,"tf.Tensor(15.67617, shape=(), dtype=float32)"
140,"tf.Tensor(15.6849375, shape=(), dtype=float32)"
141,"tf.Tensor(16.079529, shape=(), dtype=float32)"
142,"tf.Tensor(17.124924, shape=(), dtype=float32)"
143,"tf.Tensor(14.610154, shape=(), dtype=float32)"
144,"tf.Tensor(15.771623, shape=(), dtype=float32)"
145,"tf.Tensor(16.373531, shape=(), dtype=float32)"
146,"tf.Tensor(15.501626, shape=(), dtype=float32)"
147,"tf.Tensor(15.263616, shape=(), dtype=float32)"
148,"tf.Tensor(14.7254715, shape=(), dtype=float32)"
149,"tf.Tensor(15.70024, shape=(), dtype=float32)"
150,"tf.Tensor(16.626642, shape=(), dtype=float32)"
151,"tf.Tensor(15.944509, shape=(), dtype=float32)"
152,"tf.Tensor(16.127298, shape=(), dtype=float32)"
153,"tf.Tensor(17.132677, shape=(), dtype=float32)"
154,"tf.Tensor(15.3041115, shape=(), dtype=float32)"
155,"tf.Tensor(15.006599, shape=(), dtype=float32)"
156,"tf.Tensor(15.420427, shape=(), dtype=float32)"
157,"tf.Tensor(16.040188, shape=(), dtype=float32)"
158,"tf.Tensor(14.772166, shape=(), dtype=float32)"
159,"tf.Tensor(15.480566, shape=(), dtype=float32)"
160,"tf.Tensor(14.3467045, shape=(), dtype=float32)"
161,"tf.Tensor(17.881966, shape=(), dtype=float32)"
162,"tf.Tensor(16.635656, shape=(), dtype=float32)"
163,"tf.Tensor(15.955014, shape=(), dtype=float32)"
164,"tf.Tensor(16.46881, shape=(), dtype=float32)"
165,"tf.Tensor(15.448748, shape=(), dtype=float32)"
166,"tf.Tensor(17.050116, shape=(), dtype=float32)"
167,"tf.Tensor(15.175282, shape=(), dtype=float32)"
168,"tf.Tensor(14.797996, shape=(), dtype=float32)"
169,"tf.Tensor(18.366919, shape=(), dtype=float32)"
170,"tf.Tensor(17.161303, shape=(), dtype=float32)"
171,"tf.Tensor(14.8356905, shape=(), dtype=float32)"
172,"tf.Tensor(15.425386, shape=(), dtype=float32)"
173,"tf.Tensor(16.817087, shape=(), dtype=float32)"
174,"tf.Tensor(15.79937, shape=(), dtype=float32)"
175,"tf.Tensor(14.887667, shape=(), dtype=float32)"
176,"tf.Tensor(16.363358, shape=(), dtype=float32)"
177,
178,"tf.Tensor(15.682082, shape=(), dtype=float32)"
179,"tf.Tensor(17.22484, shape=(), dtype=float32)"
180,"tf.Tensor(16.769823, shape=(), dtype=float32)"
181,"tf.Tensor(16.661566, shape=(), dtype=float32)"
182,"tf.Tensor(15.978959, shape=(), dtype=float32)"
183,"tf.Tensor(16.587963, shape=(), dtype=float32)"
184,"tf.Tensor(14.33176, shape=(), dtype=float32)"
185,"tf.Tensor(16.72014, shape=(), dtype=float32)"
186,"tf.Tensor(16.841757, shape=(), dtype=float32)"
187,"tf.Tensor(15.32083, shape=(), dtype=float32)"
188,"tf.Tensor(15.242948, shape=(), dtype=float32)"
189,"tf.Tensor(16.120644, shape=(), dtype=float32)"
190,"tf.Tensor(15.428268, shape=(), dtype=float32)"
191,"tf.Tensor(15.478501, shape=(), dtype=float32)"
192,"tf.Tensor(14.942953, shape=(), dtype=float32)"
193,"tf.Tensor(16.034811, shape=(), dtype=float32)"
194,"tf.Tensor(15.858879, shape=(), dtype=float32)"
195,"tf.Tensor(16.919825, shape=(), dtype=float32)"
196,"tf.Tensor(15.948652, shape=(), dtype=float32)"
197,"tf.Tensor(16.096169, shape=(), dtype=float32)"
198,"tf.Tensor(15.837528, shape=(), dtype=float32)"
199,"tf.Tensor(15.391071, shape=(), dtype=float32)"
200,"tf.Tensor(16.81058, shape=(), dtype=float32)"
201,"tf.Tensor(15.47389, shape=(), dtype=float32)"
202,"tf.Tensor(16.838781, shape=(), dtype=float32)"
203,"tf.Tensor(17.126934, shape=(), dtype=float32)"
204,"tf.Tensor(16.6998, shape=(), dtype=float32)"
205,"tf.Tensor(15.871945, shape=(), dtype=float32)"
206,"tf.Tensor(16.475067, shape=(), dtype=float32)"
207,"tf.Tensor(15.0605545, shape=(), dtype=float32)"
208,"tf.Tensor(15.753389, shape=(), dtype=float32)"
209,"tf.Tensor(15.02318, shape=(), dtype=float32)"
210,"tf.Tensor(15.887288, shape=(), dtype=float32)"
211,"tf.Tensor(15.29934, shape=(), dtype=float32)"
212,"tf.Tensor(17.04784, shape=(), dtype=float32)"
213,"tf.Tensor(14.472294, shape=(), dtype=float32)"
214,"tf.Tensor(16.664848, shape=(), dtype=float32)"
215,"tf.Tensor(15.017709, shape=(), dtype=float32)"
216,"tf.Tensor(16.881699, shape=(), dtype=float32)"
217,"tf.Tensor(15.268567, shape=(), dtype=float32)"
218,"tf.Tensor(16.75894, shape=(), dtype=float32)"
219,"tf.Tensor(15.603874, shape=(), dtype=float32)"
220,"tf.Tensor(14.970701, shape=(), dtype=float32)"
221,"tf.Tensor(15.083002, shape=(), dtype=float32)"
222,"tf.Tensor(15.532292, shape=(), dtype=float32)"
223,"tf.Tensor(17.269041, shape=(), dtype=float32)"
224,"tf.Tensor(16.65738, shape=(), dtype=float32)"
225,"tf.Tensor(15.508035, shape=(), dtype=float32)"
226,"tf.Tensor(15.321594, shape=(), dtype=float32)"
227,"tf.Tensor(15.097259, shape=(), dtype=float32)"
228,"tf.Tensor(15.539099, shape=(), dtype=float32)"
229,"tf.Tensor(14.9006605, shape=(), dtype=float32)"
230,"tf.Tensor(16.388533, shape=(), dtype=float32)"
231,"tf.Tensor(16.28051, shape=(), dtype=float32)"
232,"tf.Tensor(14.566897, shape=(), dtype=float32)"
233,"tf.Tensor(14.699575, shape=(), dtype=float32)"
234,"tf.Tensor(16.112564, shape=(), dtype=float32)"
235,"tf.Tensor(16.367115, shape=(), dtype=float32)"
236,"tf.Tensor(17.376413, shape=(), dtype=float32)"
237,"tf.Tensor(18.039856, shape=(), dtype=float32)"
238,"tf.Tensor(17.376982, shape=(), dtype=float32)"
239,"tf.Tensor(15.133771, shape=(), dtype=float32)"
240,"tf.Tensor(15.7875805, shape=(), dtype=float32)"
241,"tf.Tensor(15.158361, shape=(), dtype=float32)"
242,"tf.Tensor(17.340843, shape=(), dtype=float32)"
243,"tf.Tensor(15.456958, shape=(), dtype=float32)"
244,"tf.Tensor(16.74349, shape=(), dtype=float32)"
245,"tf.Tensor(16.578274, shape=(), dtype=float32)"
246,"tf.Tensor(15.959167, shape=(), dtype=float32)"
247,"tf.Tensor(15.3106985, shape=(), dtype=float32)"
248,"tf.Tensor(17.073689, shape=(), dtype=float32)"
249,"tf.Tensor(14.549098, shape=(), dtype=float32)"
250,"tf.Tensor(16.102545, shape=(), dtype=float32)"
251,"tf.Tensor(18.008316, shape=(), dtype=float32)"
252,"tf.Tensor(16.095652, shape=(), dtype=float32)"
253,"tf.Tensor(16.208942, shape=(), dtype=float32)"
254,"tf.Tensor(15.642243, shape=(), dtype=float32)"
255,"tf.Tensor(17.437468, shape=(), dtype=float32)"
256,"tf.Tensor(17.0779, shape=(), dtype=float32)"
257,"tf.Tensor(15.891064, shape=(), dtype=float32)"
258,"tf.Tensor(15.821552, shape=(), dtype=float32)"
259,"tf.Tensor(14.85414, shape=(), dtype=float32)"
260,"tf.Tensor(16.504486, shape=(), dtype=float32)"
261,"tf.Tensor(15.553645, shape=(), dtype=float32)"
262,"tf.Tensor(17.151764, shape=(), dtype=float32)"
263,"tf.Tensor(15.855724, shape=(), dtype=float32)"
264,"tf.Tensor(15.816661, shape=(), dtype=float32)"
265,"tf.Tensor(15.794405, shape=(), dtype=float32)"
266,"tf.Tensor(13.75305, shape=(), dtype=float32)"
267,"tf.Tensor(14.286644, shape=(), dtype=float32)"
268,"tf.Tensor(15.998882, shape=(), dtype=float32)"
269,"tf.Tensor(16.101486, shape=(), dtype=float32)"
270,"tf.Tensor(15.114945, shape=(), dtype=float32)"
271,"tf.Tensor(15.4445095, shape=(), dtype=float32)"
272,"tf.Tensor(14.8353195, shape=(), dtype=float32)"
273,"tf.Tensor(14.559611, shape=(), dtype=float32)"
274,"tf.Tensor(16.293835, shape=(), dtype=float32)"
275,"tf.Tensor(15.378359, shape=(), dtype=float32)"
276,"tf.Tensor(15.692783, shape=(), dtype=float32)"
277,"tf.Tensor(15.302306, shape=(), dtype=float32)"
278,"tf.Tensor(16.074076, shape=(), dtype=float32)"
279,"tf.Tensor(16.08367, shape=(), dtype=float32)"
280,"tf.Tensor(16.227499, shape=(), dtype=float32)"
281,"tf.Tensor(15.722027, shape=(), dtype=float32)"
282,"tf.Tensor(15.510996, shape=(), dtype=float32)"
283,"tf.Tensor(17.516815, shape=(), dtype=float32)"
284,"tf.Tensor(16.390703, shape=(), dtype=float32)"
285,"tf.Tensor(16.69234, shape=(), dtype=float32)"
286,"tf.Tensor(15.400018, shape=(), dtype=float32)"
287,"tf.Tensor(14.623825, shape=(), dtype=float32)"
288,"tf.Tensor(15.282914, shape=(), dtype=float32)"
289,"tf.Tensor(16.12867, shape=(), dtype=float32)"
290,"tf.Tensor(16.174778, shape=(), dtype=float32)"
291,"tf.Tensor(15.978117, shape=(), dtype=float32)"
292,"tf.Tensor(14.676523, shape=(), dtype=float32)"
293,"tf.Tensor(16.391554, shape=(), dtype=float32)"
294,"tf.Tensor(15.634237, shape=(), dtype=float32)"
295,"tf.Tensor(15.38051, shape=(), dtype=float32)"
296,"tf.Tensor(16.512617, shape=(), dtype=float32)"
297,"tf.Tensor(17.160614, shape=(), dtype=float32)"
298,"tf.Tensor(15.670983, shape=(), dtype=float32)"
299,"tf.Tensor(17.058638, shape=(), dtype=float32)"
300,"tf.Tensor(15.978017, shape=(), dtype=float32)"
301,"tf.Tensor(16.334543, shape=(), dtype=float32)"
302,"tf.Tensor(15.752061, shape=(), dtype=float32)"
303,"tf.Tensor(15.283428, shape=(), dtype=float32)"
304,"tf.Tensor(15.295832, shape=(), dtype=float32)"
305,"tf.Tensor(17.377195, shape=(), dtype=float32)"
306,"tf.Tensor(16.716787, shape=(), dtype=float32)"
307,"tf.Tensor(15.894984, shape=(), dtype=float32)"
308,"tf.Tensor(17.27385, shape=(), dtype=float32)"
309,"tf.Tensor(17.625563, shape=(), dtype=float32)"
310,"tf.Tensor(15.198209, shape=(), dtype=float32)"
311,"tf.Tensor(15.630455, shape=(), dtype=float32)"
312,"tf.Tensor(14.9683895, shape=(), dtype=float32)"
313,"tf.Tensor(15.534386, shape=(), dtype=float32)"
314,"tf.Tensor(16.653006, shape=(), dtype=float32)"
315,"tf.Tensor(16.280102, shape=(), dtype=float32)"
316,"tf.Tensor(16.186983, shape=(), dtype=float32)"
317,"tf.Tensor(16.672514, shape=(), dtype=float32)"
318,"tf.Tensor(14.9876375, shape=(), dtype=float32)"
319,"tf.Tensor(14.829323, shape=(), dtype=float32)"
320,"tf.Tensor(17.015171, shape=(), dtype=float32)"
321,"tf.Tensor(15.816197, shape=(), dtype=float32)"
322,"tf.Tensor(14.50382, shape=(), dtype=float32)"
323,"tf.Tensor(14.7495985, shape=(), dtype=float32)"
324,"tf.Tensor(16.025383, shape=(), dtype=float32)"
325,"tf.Tensor(17.71858, shape=(), dtype=float32)"
326,"tf.Tensor(16.354584, shape=(), dtype=float32)"
327,"tf.Tensor(16.329304, shape=(), dtype=float32)"
328,"tf.Tensor(15.0082445, shape=(), dtype=float32)"
329,"tf.Tensor(16.50714, shape=(), dtype=float32)"
330,"tf.Tensor(17.375166, shape=(), dtype=float32)"
331,"tf.Tensor(15.336952, shape=(), dtype=float32)"
332,"tf.Tensor(16.395048, shape=(), dtype=float32)"
333,"tf.Tensor(16.79676, shape=(), dtype=float32)"
334,"tf.Tensor(15.836296, shape=(), dtype=float32)"
335,"tf.Tensor(15.734293, shape=(), dtype=float32)"
336,"tf.Tensor(14.911871, shape=(), dtype=float32)"
337,"tf.Tensor(15.084134, shape=(), dtype=float32)"
338,"tf.Tensor(17.546171, shape=(), dtype=float32)"
339,"tf.Tensor(15.793036, shape=(), dtype=float32)"
340,"tf.Tensor(18.06928, shape=(), dtype=float32)"
341,"tf.Tensor(15.195211, shape=(), dtype=float32)"
342,"tf.Tensor(15.494136, shape=(), dtype=float32)"
343,"tf.Tensor(14.706971, shape=(), dtype=float32)"
344,"tf.Tensor(15.558898, shape=(), dtype=float32)"
345,"tf.Tensor(16.538797, shape=(), dtype=float32)"
346,"tf.Tensor(16.411213, shape=(), dtype=float32)"
347,"tf.Tensor(16.882133, shape=(), dtype=float32)"
348,"tf.Tensor(14.177278, shape=(), dtype=float32)"
349,"tf.Tensor(14.480363, shape=(), dtype=float32)"
350,"tf.Tensor(17.801268, shape=(), dtype=float32)"
351,"tf.Tensor(15.038377, shape=(), dtype=float32)"
352,"tf.Tensor(15.570249, shape=(), dtype=float32)"
353,"tf.Tensor(15.018288, shape=(), dtype=float32)"
354,"tf.Tensor(16.729773, shape=(), dtype=float32)"
355,"tf.Tensor(16.089348, shape=(), dtype=float32)"
356,"tf.Tensor(14.77192, shape=(), dtype=float32)"
357,"tf.Tensor(17.127663, shape=(), dtype=float32)"
358,"tf.Tensor(16.023664, shape=(), dtype=float32)"
359,"tf.Tensor(14.985166, shape=(), dtype=float32)"
360,"tf.Tensor(15.690954, shape=(), dtype=float32)"
361,"tf.Tensor(16.310865, shape=(), dtype=float32)"
362,"tf.Tensor(15.921448, shape=(), dtype=float32)"
363,"tf.Tensor(16.135883, shape=(), dtype=float32)"
364,"tf.Tensor(15.629435, shape=(), dtype=float32)"
365,"tf.Tensor(14.284421, shape=(), dtype=float32)"
366,"tf.Tensor(15.580346, shape=(), dtype=float32)"
367,"tf.Tensor(15.924475, shape=(), dtype=float32)"
368,"tf.Tensor(16.117403, shape=(), dtype=float32)"
369,"tf.Tensor(15.030076, shape=(), dtype=float32)"
370,"tf.Tensor(17.527048, shape=(), dtype=float32)"
371,"tf.Tensor(15.9117985, shape=(), dtype=float32)"
372,"tf.Tensor(17.255173, shape=(), dtype=float32)"
373,"tf.Tensor(16.055927, shape=(), dtype=float32)"
374,"tf.Tensor(15.561839, shape=(), dtype=float32)"
375,"tf.Tensor(14.136308, shape=(), dtype=float32)"
376,"tf.Tensor(17.035088, shape=(), dtype=float32)"
377,"tf.Tensor(16.374235, shape=(), dtype=float32)"
378,"tf.Tensor(16.456358, shape=(), dtype=float32)"
379,"tf.Tensor(17.736452, shape=(), dtype=float32)"
380,"tf.Tensor(16.554968, shape=(), dtype=float32)"
381,"tf.Tensor(16.549936, shape=(), dtype=float32)"
382,"tf.Tensor(15.015449, shape=(), dtype=float32)"
383,"tf.Tensor(16.255245, shape=(), dtype=float32)"
384,"tf.Tensor(15.572244, shape=(), dtype=float32)"
385,"tf.Tensor(15.062702, shape=(), dtype=float32)"
386,"tf.Tensor(15.489216, shape=(), dtype=float32)"
387,"tf.Tensor(14.278814, shape=(), dtype=float32)"
388,"tf.Tensor(15.121371, shape=(), dtype=float32)"
389,"tf.Tensor(16.996881, shape=(), dtype=float32)"
390,"tf.Tensor(17.475983, shape=(), dtype=float32)"
391,"tf.Tensor(15.300503, shape=(), dtype=float32)"
392,"tf.Tensor(15.016758, shape=(), dtype=float32)"
393,"tf.Tensor(15.788229, shape=(), dtype=float32)"
394,"tf.Tensor(17.116014, shape=(), dtype=float32)"
395,"tf.Tensor(15.930234, shape=(), dtype=float32)"
396,"tf.Tensor(13.922629, shape=(), dtype=float32)"
397,"tf.Tensor(15.14069, shape=(), dtype=float32)"
398,"tf.Tensor(16.90571, shape=(), dtype=float32)"
399,"tf.Tensor(16.352255, shape=(), dtype=float32)"
400,"tf.Tensor(15.720555, shape=(), dtype=float32)"
401,"tf.Tensor(17.031975, shape=(), dtype=float32)"
402,"tf.Tensor(14.820034, shape=(), dtype=float32)"
403,"tf.Tensor(15.870413, shape=(), dtype=float32)"
404,"tf.Tensor(15.383798, shape=(), dtype=float32)"
405,"tf.Tensor(14.166101, shape=(), dtype=float32)"
406,"tf.Tensor(15.514652, shape=(), dtype=float32)"
407,"tf.Tensor(16.235256, shape=(), dtype=float32)"
408,"tf.Tensor(13.363729, shape=(), dtype=float32)"
409,"tf.Tensor(15.577028, shape=(), dtype=float32)"
410,"tf.Tensor(16.032034, shape=(), dtype=float32)"
411,"tf.Tensor(15.608956, shape=(), dtype=float32)"
412,"tf.Tensor(15.657717, shape=(), dtype=float32)"
413,"tf.Tensor(14.727297, shape=(), dtype=float32)"
414,"tf.Tensor(15.78832, shape=(), dtype=float32)"
415,"tf.Tensor(15.229615, shape=(), dtype=float32)"
416,"tf.Tensor(15.798455, shape=(), dtype=float32)"
417,"tf.Tensor(15.534326, shape=(), dtype=float32)"
418,"tf.Tensor(16.169233, shape=(), dtype=float32)"
419,"tf.Tensor(16.854078, shape=(), dtype=float32)"
420,"tf.Tensor(15.674052, shape=(), dtype=float32)"
421,"tf.Tensor(17.389275, shape=(), dtype=float32)"
422,"tf.Tensor(16.406887, shape=(), dtype=float32)"
423,"tf.Tensor(15.949311, shape=(), dtype=float32)"
424,"tf.Tensor(14.873832, shape=(), dtype=float32)"
425,"tf.Tensor(15.373876, shape=(), dtype=float32)"
426,"tf.Tensor(16.165327, shape=(), dtype=float32)"
427,"tf.Tensor(16.314146, shape=(), dtype=float32)"
428,"tf.Tensor(16.541077, shape=(), dtype=float32)"
429,"tf.Tensor(14.527006, shape=(), dtype=float32)"
430,"tf.Tensor(15.408204, shape=(), dtype=float32)"
431,"tf.Tensor(16.409487, shape=(), dtype=float32)"
432,"tf.Tensor(15.74984, shape=(), dtype=float32)"
433,"tf.Tensor(15.616402, shape=(), dtype=float32)"
434,"tf.Tensor(17.520512, shape=(), dtype=float32)"
435,"tf.Tensor(16.320145, shape=(), dtype=float32)"
436,"tf.Tensor(15.951841, shape=(), dtype=float32)"
437,"tf.Tensor(15.657847, shape=(), dtype=float32)"
438,"tf.Tensor(17.569185, shape=(), dtype=float32)"
439,"tf.Tensor(15.958251, shape=(), dtype=float32)"
440,"tf.Tensor(16.130991, shape=(), dtype=float32)"
441,"tf.Tensor(17.55276, shape=(), dtype=float32)"
442,"tf.Tensor(15.356913, shape=(), dtype=float32)"
443,"tf.Tensor(16.894884, shape=(), dtype=float32)"
444,"tf.Tensor(15.255035, shape=(), dtype=float32)"
445,"tf.Tensor(15.300702, shape=(), dtype=float32)"
446,"tf.Tensor(14.483771, shape=(), dtype=float32)"
447,"tf.Tensor(14.499146, shape=(), dtype=float32)"
448,"tf.Tensor(15.327019, shape=(), dtype=float32)"
449,"tf.Tensor(15.872572, shape=(), dtype=float32)"
450,"tf.Tensor(16.876596, shape=(), dtype=float32)"
451,"tf.Tensor(17.23236, shape=(), dtype=float32)"
452,"tf.Tensor(16.521063, shape=(), dtype=float32)"
453,"tf.Tensor(16.734016, shape=(), dtype=float32)"
454,"tf.Tensor(16.953478, shape=(), dtype=float32)"
455,"tf.Tensor(15.9738245, shape=(), dtype=float32)"
456,"tf.Tensor(16.076391, shape=(), dtype=float32)"
457,"tf.Tensor(15.776046, shape=(), dtype=float32)"
458,"tf.Tensor(17.316662, shape=(), dtype=float32)"
459,"tf.Tensor(15.583175, shape=(), dtype=float32)"
460,"tf.Tensor(15.294116, shape=(), dtype=float32)"
461,"tf.Tensor(16.129297, shape=(), dtype=float32)"
462,"tf.Tensor(15.225089, shape=(), dtype=float32)"
463,"tf.Tensor(16.990253, shape=(), dtype=float32)"
464,"tf.Tensor(14.563991, shape=(), dtype=float32)"
465,"tf.Tensor(15.648129, shape=(), dtype=float32)"
466,"tf.Tensor(14.793617, shape=(), dtype=float32)"
467,"tf.Tensor(15.367988, shape=(), dtype=float32)"
468,"tf.Tensor(15.50133, shape=(), dtype=float32)"
469,"tf.Tensor(15.162572, shape=(), dtype=float32)"
