,variation
207,"tf.Tensor(16.276333, shape=(), dtype=float32)"
208,"tf.Tensor(14.948123, shape=(), dtype=float32)"
209,"tf.Tensor(16.656748, shape=(), dtype=float32)"
210,"tf.Tensor(15.501614, shape=(), dtype=float32)"
211,"tf.Tensor(14.554565, shape=(), dtype=float32)"
212,"tf.Tensor(16.368881, shape=(), dtype=float32)"
213,"tf.Tensor(17.183304, shape=(), dtype=float32)"
214,"tf.Tensor(18.004711, shape=(), dtype=float32)"
215,"tf.Tensor(12.796209, shape=(), dtype=float32)"
216,"tf.Tensor(17.242714, shape=(), dtype=float32)"
217,"tf.Tensor(16.763866, shape=(), dtype=float32)"
218,"tf.Tensor(15.375415, shape=(), dtype=float32)"
219,"tf.Tensor(16.076233, shape=(), dtype=float32)"
220,"tf.Tensor(16.223549, shape=(), dtype=float32)"
221,"tf.Tensor(16.394552, shape=(), dtype=float32)"
222,"tf.Tensor(15.530329, shape=(), dtype=float32)"
223,"tf.Tensor(17.016588, shape=(), dtype=float32)"
224,"tf.Tensor(14.3706665, shape=(), dtype=float32)"
225,"tf.Tensor(16.974344, shape=(), dtype=float32)"
226,"tf.Tensor(15.733997, shape=(), dtype=float32)"
227,"tf.Tensor(15.284575, shape=(), dtype=float32)"
228,"tf.Tensor(15.535892, shape=(), dtype=float32)"
229,"tf.Tensor(16.652107, shape=(), dtype=float32)"
230,"tf.Tensor(15.403388, shape=(), dtype=float32)"
231,"tf.Tensor(17.35543, shape=(), dtype=float32)"
232,"tf.Tensor(14.740985, shape=(), dtype=float32)"
233,"tf.Tensor(16.237053, shape=(), dtype=float32)"
234,"tf.Tensor(15.813719, shape=(), dtype=float32)"
235,"tf.Tensor(14.543415, shape=(), dtype=float32)"
236,"tf.Tensor(16.329422, shape=(), dtype=float32)"
237,"tf.Tensor(17.41398, shape=(), dtype=float32)"
238,"tf.Tensor(17.541344, shape=(), dtype=float32)"
239,"tf.Tensor(14.058743, shape=(), dtype=float32)"
240,"tf.Tensor(15.423337, shape=(), dtype=float32)"
241,"tf.Tensor(16.182905, shape=(), dtype=float32)"
242,"tf.Tensor(16.43653, shape=(), dtype=float32)"
243,"tf.Tensor(16.60103, shape=(), dtype=float32)"
244,"tf.Tensor(16.367027, shape=(), dtype=float32)"
245,"tf.Tensor(15.405635, shape=(), dtype=float32)"
246,"tf.Tensor(15.85935, shape=(), dtype=float32)"
247,"tf.Tensor(16.715979, shape=(), dtype=float32)"
248,"tf.Tensor(14.880162, shape=(), dtype=float32)"
249,"tf.Tensor(15.741758, shape=(), dtype=float32)"
250,"tf.Tensor(17.090395, shape=(), dtype=float32)"
251,"tf.Tensor(14.929861, shape=(), dtype=float32)"
252,"tf.Tensor(14.832324, shape=(), dtype=float32)"
253,"tf.Tensor(16.312098, shape=(), dtype=float32)"
254,"tf.Tensor(17.50087, shape=(), dtype=float32)"
255,"tf.Tensor(15.733181, shape=(), dtype=float32)"
256,"tf.Tensor(15.24041, shape=(), dtype=float32)"
257,"tf.Tensor(16.720753, shape=(), dtype=float32)"
258,"tf.Tensor(15.24147, shape=(), dtype=float32)"
259,"tf.Tensor(15.954063, shape=(), dtype=float32)"
260,"tf.Tensor(15.662421, shape=(), dtype=float32)"
261,"tf.Tensor(15.581202, shape=(), dtype=float32)"
262,"tf.Tensor(15.553235, shape=(), dtype=float32)"
263,"tf.Tensor(16.097984, shape=(), dtype=float32)"
264,"tf.Tensor(16.196037, shape=(), dtype=float32)"
265,"tf.Tensor(15.934032, shape=(), dtype=float32)"
266,"tf.Tensor(17.044945, shape=(), dtype=float32)"
267,"tf.Tensor(17.167156, shape=(), dtype=float32)"
268,"tf.Tensor(16.266417, shape=(), dtype=float32)"
269,"tf.Tensor(16.81167, shape=(), dtype=float32)"
270,"tf.Tensor(15.286689, shape=(), dtype=float32)"
271,"tf.Tensor(14.709526, shape=(), dtype=float32)"
272,"tf.Tensor(15.938211, shape=(), dtype=float32)"
273,"tf.Tensor(15.277472, shape=(), dtype=float32)"
274,"tf.Tensor(16.439327, shape=(), dtype=float32)"
275,"tf.Tensor(16.416107, shape=(), dtype=float32)"
276,"tf.Tensor(15.180623, shape=(), dtype=float32)"
277,"tf.Tensor(13.940424, shape=(), dtype=float32)"
278,"tf.Tensor(14.747631, shape=(), dtype=float32)"
279,"tf.Tensor(16.876953, shape=(), dtype=float32)"
280,"tf.Tensor(14.153907, shape=(), dtype=float32)"
281,"tf.Tensor(15.898412, shape=(), dtype=float32)"
282,"tf.Tensor(14.57688, shape=(), dtype=float32)"
283,"tf.Tensor(16.191984, shape=(), dtype=float32)"
284,"tf.Tensor(14.201713, shape=(), dtype=float32)"
285,"tf.Tensor(18.161972, shape=(), dtype=float32)"
286,"tf.Tensor(15.9647875, shape=(), dtype=float32)"
287,"tf.Tensor(14.345649, shape=(), dtype=float32)"
288,"tf.Tensor(16.503366, shape=(), dtype=float32)"
289,"tf.Tensor(17.191532, shape=(), dtype=float32)"
290,"tf.Tensor(15.125498, shape=(), dtype=float32)"
291,"tf.Tensor(16.727623, shape=(), dtype=float32)"
292,"tf.Tensor(16.205744, shape=(), dtype=float32)"
293,"tf.Tensor(15.731559, shape=(), dtype=float32)"
294,"tf.Tensor(16.125834, shape=(), dtype=float32)"
295,"tf.Tensor(17.087845, shape=(), dtype=float32)"
296,"tf.Tensor(15.449454, shape=(), dtype=float32)"
297,"tf.Tensor(15.676429, shape=(), dtype=float32)"
298,"tf.Tensor(15.715071, shape=(), dtype=float32)"
299,"tf.Tensor(14.97879, shape=(), dtype=float32)"
300,"tf.Tensor(16.49932, shape=(), dtype=float32)"
301,"tf.Tensor(16.939585, shape=(), dtype=float32)"
302,"tf.Tensor(16.177288, shape=(), dtype=float32)"
303,"tf.Tensor(16.985456, shape=(), dtype=float32)"
304,"tf.Tensor(16.345814, shape=(), dtype=float32)"
305,"tf.Tensor(15.510996, shape=(), dtype=float32)"
306,"tf.Tensor(18.129177, shape=(), dtype=float32)"
307,"tf.Tensor(16.360256, shape=(), dtype=float32)"
308,"tf.Tensor(15.601434, shape=(), dtype=float32)"
309,"tf.Tensor(14.640657, shape=(), dtype=float32)"
310,"tf.Tensor(15.131924, shape=(), dtype=float32)"
311,"tf.Tensor(14.898072, shape=(), dtype=float32)"
312,"tf.Tensor(16.319513, shape=(), dtype=float32)"
313,"tf.Tensor(16.812592, shape=(), dtype=float32)"
314,"tf.Tensor(14.073082, shape=(), dtype=float32)"
315,"tf.Tensor(14.730988, shape=(), dtype=float32)"
316,"tf.Tensor(17.858526, shape=(), dtype=float32)"
317,"tf.Tensor(16.490826, shape=(), dtype=float32)"
318,"tf.Tensor(16.151987, shape=(), dtype=float32)"
319,"tf.Tensor(16.356283, shape=(), dtype=float32)"
320,"tf.Tensor(16.347725, shape=(), dtype=float32)"
321,"tf.Tensor(17.011673, shape=(), dtype=float32)"
322,"tf.Tensor(15.556172, shape=(), dtype=float32)"
323,"tf.Tensor(16.005163, shape=(), dtype=float32)"
324,"tf.Tensor(14.233734, shape=(), dtype=float32)"
325,"tf.Tensor(16.389013, shape=(), dtype=float32)"
326,"tf.Tensor(13.672255, shape=(), dtype=float32)"
327,"tf.Tensor(15.237462, shape=(), dtype=float32)"
328,"tf.Tensor(15.636071, shape=(), dtype=float32)"
329,"tf.Tensor(16.009829, shape=(), dtype=float32)"
330,"tf.Tensor(16.11519, shape=(), dtype=float32)"
331,"tf.Tensor(16.493584, shape=(), dtype=float32)"
332,"tf.Tensor(17.766405, shape=(), dtype=float32)"
333,"tf.Tensor(16.832016, shape=(), dtype=float32)"
334,"tf.Tensor(15.424478, shape=(), dtype=float32)"
335,"tf.Tensor(16.625055, shape=(), dtype=float32)"
336,"tf.Tensor(17.940592, shape=(), dtype=float32)"
337,"tf.Tensor(15.720188, shape=(), dtype=float32)"
338,"tf.Tensor(15.320793, shape=(), dtype=float32)"
339,"tf.Tensor(15.603874, shape=(), dtype=float32)"
340,"tf.Tensor(17.480892, shape=(), dtype=float32)"
341,"tf.Tensor(16.89121, shape=(), dtype=float32)"
342,"tf.Tensor(14.858932, shape=(), dtype=float32)"
343,"tf.Tensor(16.188759, shape=(), dtype=float32)"
344,"tf.Tensor(15.956258, shape=(), dtype=float32)"
345,"tf.Tensor(16.342102, shape=(), dtype=float32)"
346,"tf.Tensor(16.80173, shape=(), dtype=float32)"
347,"tf.Tensor(16.328604, shape=(), dtype=float32)"
348,"tf.Tensor(17.517956, shape=(), dtype=float32)"
349,"tf.Tensor(15.421599, shape=(), dtype=float32)"
350,"tf.Tensor(15.15753, shape=(), dtype=float32)"
351,"tf.Tensor(15.490659, shape=(), dtype=float32)"
352,"tf.Tensor(16.45387, shape=(), dtype=float32)"
353,"tf.Tensor(16.178112, shape=(), dtype=float32)"
354,"tf.Tensor(16.556799, shape=(), dtype=float32)"
355,"tf.Tensor(16.235495, shape=(), dtype=float32)"
356,"tf.Tensor(16.940243, shape=(), dtype=float32)"
357,"tf.Tensor(16.104208, shape=(), dtype=float32)"
358,
359,"tf.Tensor(15.33104, shape=(), dtype=float32)"
360,"tf.Tensor(15.482951, shape=(), dtype=float32)"
361,"tf.Tensor(15.066021, shape=(), dtype=float32)"
362,"tf.Tensor(14.965994, shape=(), dtype=float32)"
363,"tf.Tensor(16.29761, shape=(), dtype=float32)"
364,"tf.Tensor(15.619213, shape=(), dtype=float32)"
365,"tf.Tensor(15.305817, shape=(), dtype=float32)"
366,"tf.Tensor(14.774277, shape=(), dtype=float32)"
367,"tf.Tensor(15.394675, shape=(), dtype=float32)"
368,"tf.Tensor(16.093838, shape=(), dtype=float32)"
369,"tf.Tensor(15.804888, shape=(), dtype=float32)"
370,"tf.Tensor(16.340502, shape=(), dtype=float32)"
371,"tf.Tensor(18.460478, shape=(), dtype=float32)"
372,"tf.Tensor(16.185852, shape=(), dtype=float32)"
373,"tf.Tensor(15.800537, shape=(), dtype=float32)"
374,"tf.Tensor(16.8563, shape=(), dtype=float32)"
375,"tf.Tensor(15.506459, shape=(), dtype=float32)"
376,"tf.Tensor(15.130232, shape=(), dtype=float32)"
377,"tf.Tensor(16.43081, shape=(), dtype=float32)"
378,"tf.Tensor(15.73706, shape=(), dtype=float32)"
379,"tf.Tensor(14.710413, shape=(), dtype=float32)"
380,"tf.Tensor(15.603631, shape=(), dtype=float32)"
381,"tf.Tensor(14.739862, shape=(), dtype=float32)"
382,"tf.Tensor(15.84671, shape=(), dtype=float32)"
383,"tf.Tensor(15.886526, shape=(), dtype=float32)"
384,"tf.Tensor(16.568747, shape=(), dtype=float32)"
385,"tf.Tensor(15.059831, shape=(), dtype=float32)"
386,"tf.Tensor(15.92373, shape=(), dtype=float32)"
387,"tf.Tensor(16.731571, shape=(), dtype=float32)"
388,"tf.Tensor(15.804834, shape=(), dtype=float32)"
389,"tf.Tensor(15.547103, shape=(), dtype=float32)"
390,"tf.Tensor(15.369484, shape=(), dtype=float32)"
391,"tf.Tensor(15.078173, shape=(), dtype=float32)"
392,"tf.Tensor(15.122268, shape=(), dtype=float32)"
393,"tf.Tensor(16.928465, shape=(), dtype=float32)"
394,"tf.Tensor(14.743926, shape=(), dtype=float32)"
395,"tf.Tensor(16.081089, shape=(), dtype=float32)"
396,"tf.Tensor(14.406451, shape=(), dtype=float32)"
397,"tf.Tensor(15.280599, shape=(), dtype=float32)"
398,"tf.Tensor(16.185352, shape=(), dtype=float32)"
399,"tf.Tensor(16.614237, shape=(), dtype=float32)"
400,"tf.Tensor(15.495542, shape=(), dtype=float32)"
401,"tf.Tensor(15.047151, shape=(), dtype=float32)"
402,"tf.Tensor(17.649366, shape=(), dtype=float32)"
403,"tf.Tensor(16.178112, shape=(), dtype=float32)"
404,"tf.Tensor(16.769743, shape=(), dtype=float32)"
405,"tf.Tensor(17.287981, shape=(), dtype=float32)"
406,"tf.Tensor(16.175072, shape=(), dtype=float32)"
407,"tf.Tensor(16.377892, shape=(), dtype=float32)"
408,"tf.Tensor(15.670983, shape=(), dtype=float32)"
409,"tf.Tensor(14.983016, shape=(), dtype=float32)"
410,"tf.Tensor(16.301996, shape=(), dtype=float32)"
411,"tf.Tensor(16.898275, shape=(), dtype=float32)"
412,"tf.Tensor(15.827798, shape=(), dtype=float32)"
413,"tf.Tensor(14.939082, shape=(), dtype=float32)"
414,"tf.Tensor(14.568947, shape=(), dtype=float32)"
415,"tf.Tensor(15.07539, shape=(), dtype=float32)"
416,"tf.Tensor(16.58338, shape=(), dtype=float32)"
417,
418,"tf.Tensor(14.801285, shape=(), dtype=float32)"
419,"tf.Tensor(16.021454, shape=(), dtype=float32)"
420,"tf.Tensor(18.120995, shape=(), dtype=float32)"
421,"tf.Tensor(15.5819845, shape=(), dtype=float32)"
422,"tf.Tensor(16.270412, shape=(), dtype=float32)"
423,"tf.Tensor(16.566633, shape=(), dtype=float32)"
424,"tf.Tensor(15.096314, shape=(), dtype=float32)"
425,"tf.Tensor(16.149837, shape=(), dtype=float32)"
426,"tf.Tensor(16.943918, shape=(), dtype=float32)"
427,"tf.Tensor(16.094858, shape=(), dtype=float32)"
428,"tf.Tensor(16.372425, shape=(), dtype=float32)"
429,"tf.Tensor(17.535875, shape=(), dtype=float32)"
430,"tf.Tensor(15.989893, shape=(), dtype=float32)"
431,"tf.Tensor(15.114796, shape=(), dtype=float32)"
432,"tf.Tensor(14.632665, shape=(), dtype=float32)"
433,"tf.Tensor(15.451594, shape=(), dtype=float32)"
434,"tf.Tensor(17.270197, shape=(), dtype=float32)"
435,"tf.Tensor(17.072803, shape=(), dtype=float32)"
436,"tf.Tensor(14.651302, shape=(), dtype=float32)"
437,"tf.Tensor(15.677886, shape=(), dtype=float32)"
438,"tf.Tensor(16.3275, shape=(), dtype=float32)"
439,"tf.Tensor(16.943575, shape=(), dtype=float32)"
440,"tf.Tensor(17.06153, shape=(), dtype=float32)"
441,"tf.Tensor(15.188196, shape=(), dtype=float32)"
442,"tf.Tensor(16.992737, shape=(), dtype=float32)"
443,"tf.Tensor(18.53858, shape=(), dtype=float32)"
444,"tf.Tensor(13.876716, shape=(), dtype=float32)"
445,"tf.Tensor(15.639984, shape=(), dtype=float32)"
446,"tf.Tensor(16.091675, shape=(), dtype=float32)"
447,"tf.Tensor(18.074863, shape=(), dtype=float32)"
448,"tf.Tensor(16.374886, shape=(), dtype=float32)"
449,"tf.Tensor(16.608727, shape=(), dtype=float32)"
450,"tf.Tensor(16.734016, shape=(), dtype=float32)"
451,"tf.Tensor(14.830106, shape=(), dtype=float32)"
452,"tf.Tensor(15.788824, shape=(), dtype=float32)"
453,"tf.Tensor(15.554144, shape=(), dtype=float32)"
454,"tf.Tensor(17.279957, shape=(), dtype=float32)"
455,"tf.Tensor(16.972992, shape=(), dtype=float32)"
456,"tf.Tensor(17.149998, shape=(), dtype=float32)"
457,"tf.Tensor(16.585575, shape=(), dtype=float32)"
458,"tf.Tensor(15.72489, shape=(), dtype=float32)"
459,"tf.Tensor(17.501713, shape=(), dtype=float32)"
460,"tf.Tensor(15.22285, shape=(), dtype=float32)"
461,"tf.Tensor(14.769933, shape=(), dtype=float32)"
462,"tf.Tensor(16.403128, shape=(), dtype=float32)"
463,"tf.Tensor(15.492118, shape=(), dtype=float32)"
464,"tf.Tensor(17.599628, shape=(), dtype=float32)"
465,"tf.Tensor(16.751541, shape=(), dtype=float32)"
466,"tf.Tensor(16.668419, shape=(), dtype=float32)"
