,variation
0,"tf.Tensor(16.047476, shape=(), dtype=float32)"
1,"tf.Tensor(15.867676, shape=(), dtype=float32)"
2,"tf.Tensor(17.117165, shape=(), dtype=float32)"
3,"tf.Tensor(15.900997, shape=(), dtype=float32)"
4,"tf.Tensor(16.883627, shape=(), dtype=float32)"
5,"tf.Tensor(15.47836, shape=(), dtype=float32)"
6,"tf.Tensor(17.342384, shape=(), dtype=float32)"
7,"tf.Tensor(17.672447, shape=(), dtype=float32)"
8,"tf.Tensor(17.148636, shape=(), dtype=float32)"
9,"tf.Tensor(16.683496, shape=(), dtype=float32)"
10,"tf.Tensor(16.150032, shape=(), dtype=float32)"
11,"tf.Tensor(16.977135, shape=(), dtype=float32)"
12,"tf.Tensor(15.173485, shape=(), dtype=float32)"
13,"tf.Tensor(16.662783, shape=(), dtype=float32)"
14,"tf.Tensor(16.832016, shape=(), dtype=float32)"
15,"tf.Tensor(17.740791, shape=(), dtype=float32)"
16,"tf.Tensor(15.841777, shape=(), dtype=float32)"
17,"tf.Tensor(14.946726, shape=(), dtype=float32)"
18,"tf.Tensor(16.327866, shape=(), dtype=float32)"
19,"tf.Tensor(16.69675, shape=(), dtype=float32)"
20,"tf.Tensor(16.555809, shape=(), dtype=float32)"
21,"tf.Tensor(16.070587, shape=(), dtype=float32)"
22,"tf.Tensor(16.986565, shape=(), dtype=float32)"
23,"tf.Tensor(16.669374, shape=(), dtype=float32)"
24,"tf.Tensor(15.767345, shape=(), dtype=float32)"
25,"tf.Tensor(15.759018, shape=(), dtype=float32)"
26,"tf.Tensor(17.159622, shape=(), dtype=float32)"
27,"tf.Tensor(14.044575, shape=(), dtype=float32)"
28,"tf.Tensor(16.43527, shape=(), dtype=float32)"
29,"tf.Tensor(15.461492, shape=(), dtype=float32)"
30,"tf.Tensor(15.157526, shape=(), dtype=float32)"
31,"tf.Tensor(16.252064, shape=(), dtype=float32)"
32,"tf.Tensor(15.286133, shape=(), dtype=float32)"
33,"tf.Tensor(16.610197, shape=(), dtype=float32)"
34,"tf.Tensor(15.670983, shape=(), dtype=float32)"
35,"tf.Tensor(16.340515, shape=(), dtype=float32)"
36,"tf.Tensor(16.695143, shape=(), dtype=float32)"
37,"tf.Tensor(16.071545, shape=(), dtype=float32)"
38,"tf.Tensor(15.959422, shape=(), dtype=float32)"
39,"tf.Tensor(15.430727, shape=(), dtype=float32)"
40,"tf.Tensor(17.339323, shape=(), dtype=float32)"
41,"tf.Tensor(14.918637, shape=(), dtype=float32)"
42,"tf.Tensor(15.0997715, shape=(), dtype=float32)"
43,"tf.Tensor(17.005623, shape=(), dtype=float32)"
44,"tf.Tensor(17.025982, shape=(), dtype=float32)"
45,"tf.Tensor(16.632885, shape=(), dtype=float32)"
46,"tf.Tensor(17.855646, shape=(), dtype=float32)"
47,"tf.Tensor(16.243723, shape=(), dtype=float32)"
48,"tf.Tensor(17.189102, shape=(), dtype=float32)"
49,"tf.Tensor(16.968952, shape=(), dtype=float32)"
50,"tf.Tensor(16.144957, shape=(), dtype=float32)"
51,"tf.Tensor(15.815465, shape=(), dtype=float32)"
52,"tf.Tensor(17.485296, shape=(), dtype=float32)"
53,"tf.Tensor(16.08141, shape=(), dtype=float32)"
54,"tf.Tensor(16.186508, shape=(), dtype=float32)"
55,"tf.Tensor(15.54907, shape=(), dtype=float32)"
56,"tf.Tensor(16.449608, shape=(), dtype=float32)"
57,"tf.Tensor(14.959276, shape=(), dtype=float32)"
58,"tf.Tensor(15.206247, shape=(), dtype=float32)"
59,"tf.Tensor(16.719141, shape=(), dtype=float32)"
60,"tf.Tensor(15.765668, shape=(), dtype=float32)"
61,"tf.Tensor(16.895258, shape=(), dtype=float32)"
62,"tf.Tensor(14.946099, shape=(), dtype=float32)"
63,"tf.Tensor(14.447403, shape=(), dtype=float32)"
64,"tf.Tensor(14.341814, shape=(), dtype=float32)"
65,"tf.Tensor(15.856762, shape=(), dtype=float32)"
66,"tf.Tensor(16.861008, shape=(), dtype=float32)"
67,"tf.Tensor(16.154917, shape=(), dtype=float32)"
68,"tf.Tensor(15.441647, shape=(), dtype=float32)"
69,"tf.Tensor(15.102956, shape=(), dtype=float32)"
70,"tf.Tensor(15.698175, shape=(), dtype=float32)"
71,"tf.Tensor(16.973038, shape=(), dtype=float32)"
72,"tf.Tensor(15.55287, shape=(), dtype=float32)"
73,"tf.Tensor(16.010834, shape=(), dtype=float32)"
74,"tf.Tensor(15.523922, shape=(), dtype=float32)"
75,"tf.Tensor(17.485296, shape=(), dtype=float32)"
76,"tf.Tensor(14.41585, shape=(), dtype=float32)"
77,"tf.Tensor(16.876564, shape=(), dtype=float32)"
78,"tf.Tensor(15.755769, shape=(), dtype=float32)"
79,"tf.Tensor(16.398613, shape=(), dtype=float32)"
80,"tf.Tensor(17.695215, shape=(), dtype=float32)"
81,"tf.Tensor(16.348999, shape=(), dtype=float32)"
82,"tf.Tensor(16.683496, shape=(), dtype=float32)"
83,"tf.Tensor(15.135948, shape=(), dtype=float32)"
84,"tf.Tensor(15.733181, shape=(), dtype=float32)"
85,"tf.Tensor(16.02321, shape=(), dtype=float32)"
86,"tf.Tensor(16.130093, shape=(), dtype=float32)"
87,"tf.Tensor(15.202941, shape=(), dtype=float32)"
88,"tf.Tensor(14.3922205, shape=(), dtype=float32)"
89,"tf.Tensor(15.403864, shape=(), dtype=float32)"
90,"tf.Tensor(16.188671, shape=(), dtype=float32)"
91,"tf.Tensor(15.071552, shape=(), dtype=float32)"
92,"tf.Tensor(15.1445675, shape=(), dtype=float32)"
93,"tf.Tensor(15.938832, shape=(), dtype=float32)"
94,"tf.Tensor(15.611566, shape=(), dtype=float32)"
95,"tf.Tensor(14.287665, shape=(), dtype=float32)"
96,"tf.Tensor(16.068666, shape=(), dtype=float32)"
97,"tf.Tensor(15.567893, shape=(), dtype=float32)"
98,"tf.Tensor(15.905466, shape=(), dtype=float32)"
99,"tf.Tensor(15.832884, shape=(), dtype=float32)"
100,"tf.Tensor(15.07744, shape=(), dtype=float32)"
101,"tf.Tensor(16.137724, shape=(), dtype=float32)"
102,"tf.Tensor(16.294651, shape=(), dtype=float32)"
103,"tf.Tensor(15.782869, shape=(), dtype=float32)"
104,"tf.Tensor(15.882492, shape=(), dtype=float32)"
105,"tf.Tensor(15.843425, shape=(), dtype=float32)"
106,"tf.Tensor(15.389293, shape=(), dtype=float32)"
107,"tf.Tensor(17.049253, shape=(), dtype=float32)"
108,"tf.Tensor(15.55487, shape=(), dtype=float32)"
109,"tf.Tensor(15.98734, shape=(), dtype=float32)"
110,"tf.Tensor(15.84524, shape=(), dtype=float32)"
111,"tf.Tensor(16.2868, shape=(), dtype=float32)"
112,"tf.Tensor(16.486565, shape=(), dtype=float32)"
113,"tf.Tensor(16.82612, shape=(), dtype=float32)"
114,"tf.Tensor(15.916098, shape=(), dtype=float32)"
115,"tf.Tensor(16.446043, shape=(), dtype=float32)"
116,"tf.Tensor(17.601616, shape=(), dtype=float32)"
117,"tf.Tensor(16.319036, shape=(), dtype=float32)"
118,"tf.Tensor(15.843746, shape=(), dtype=float32)"
119,"tf.Tensor(16.219652, shape=(), dtype=float32)"
120,"tf.Tensor(16.72841, shape=(), dtype=float32)"
121,"tf.Tensor(16.672546, shape=(), dtype=float32)"
122,"tf.Tensor(16.283466, shape=(), dtype=float32)"
123,"tf.Tensor(16.526968, shape=(), dtype=float32)"
124,"tf.Tensor(16.138771, shape=(), dtype=float32)"
125,"tf.Tensor(15.710651, shape=(), dtype=float32)"
126,"tf.Tensor(16.92175, shape=(), dtype=float32)"
127,"tf.Tensor(14.919917, shape=(), dtype=float32)"
128,"tf.Tensor(15.194824, shape=(), dtype=float32)"
129,"tf.Tensor(16.53875, shape=(), dtype=float32)"
130,"tf.Tensor(17.164324, shape=(), dtype=float32)"
131,"tf.Tensor(15.857302, shape=(), dtype=float32)"
132,"tf.Tensor(16.337337, shape=(), dtype=float32)"
133,"tf.Tensor(17.110966, shape=(), dtype=float32)"
134,"tf.Tensor(15.632941, shape=(), dtype=float32)"
135,"tf.Tensor(16.765018, shape=(), dtype=float32)"
136,"tf.Tensor(14.872959, shape=(), dtype=float32)"
137,"tf.Tensor(15.730957, shape=(), dtype=float32)"
138,"tf.Tensor(15.665106, shape=(), dtype=float32)"
139,"tf.Tensor(17.029177, shape=(), dtype=float32)"
140,"tf.Tensor(15.117618, shape=(), dtype=float32)"
141,"tf.Tensor(16.938028, shape=(), dtype=float32)"
142,"tf.Tensor(15.327417, shape=(), dtype=float32)"
143,"tf.Tensor(14.734304, shape=(), dtype=float32)"
144,"tf.Tensor(14.874104, shape=(), dtype=float32)"
145,"tf.Tensor(14.919917, shape=(), dtype=float32)"
146,"tf.Tensor(16.40031, shape=(), dtype=float32)"
147,"tf.Tensor(16.9259, shape=(), dtype=float32)"
148,"tf.Tensor(14.812264, shape=(), dtype=float32)"
149,"tf.Tensor(14.7254715, shape=(), dtype=float32)"
150,"tf.Tensor(17.179684, shape=(), dtype=float32)"
151,"tf.Tensor(14.0620165, shape=(), dtype=float32)"
152,"tf.Tensor(16.024874, shape=(), dtype=float32)"
153,"tf.Tensor(16.317348, shape=(), dtype=float32)"
154,"tf.Tensor(16.135595, shape=(), dtype=float32)"
155,"tf.Tensor(14.704905, shape=(), dtype=float32)"
156,"tf.Tensor(16.333706, shape=(), dtype=float32)"
157,"tf.Tensor(15.605471, shape=(), dtype=float32)"
158,"tf.Tensor(15.152594, shape=(), dtype=float32)"
159,"tf.Tensor(15.054932, shape=(), dtype=float32)"
160,"tf.Tensor(15.596028, shape=(), dtype=float32)"
161,"tf.Tensor(15.495114, shape=(), dtype=float32)"
162,"tf.Tensor(17.185135, shape=(), dtype=float32)"
163,"tf.Tensor(17.278658, shape=(), dtype=float32)"
164,"tf.Tensor(16.45313, shape=(), dtype=float32)"
165,"tf.Tensor(16.311443, shape=(), dtype=float32)"
166,"tf.Tensor(15.818414, shape=(), dtype=float32)"
167,"tf.Tensor(16.028973, shape=(), dtype=float32)"
168,"tf.Tensor(14.984352, shape=(), dtype=float32)"
169,"tf.Tensor(15.418122, shape=(), dtype=float32)"
170,"tf.Tensor(16.9135, shape=(), dtype=float32)"
171,"tf.Tensor(17.272453, shape=(), dtype=float32)"
172,"tf.Tensor(17.05102, shape=(), dtype=float32)"
173,"tf.Tensor(14.049585, shape=(), dtype=float32)"
174,"tf.Tensor(15.074816, shape=(), dtype=float32)"
175,"tf.Tensor(16.545086, shape=(), dtype=float32)"
176,"tf.Tensor(16.7554, shape=(), dtype=float32)"
177,"tf.Tensor(14.613196, shape=(), dtype=float32)"
178,"tf.Tensor(15.157123, shape=(), dtype=float32)"
179,"tf.Tensor(15.90817, shape=(), dtype=float32)"
180,"tf.Tensor(15.905734, shape=(), dtype=float32)"
181,"tf.Tensor(17.275652, shape=(), dtype=float32)"
182,"tf.Tensor(14.639137, shape=(), dtype=float32)"
183,"tf.Tensor(16.65314, shape=(), dtype=float32)"
184,"tf.Tensor(14.89038, shape=(), dtype=float32)"
185,"tf.Tensor(17.187025, shape=(), dtype=float32)"
186,"tf.Tensor(15.388572, shape=(), dtype=float32)"
187,"tf.Tensor(17.498928, shape=(), dtype=float32)"
188,"tf.Tensor(14.491481, shape=(), dtype=float32)"
189,"tf.Tensor(16.100393, shape=(), dtype=float32)"
190,"tf.Tensor(17.527382, shape=(), dtype=float32)"
191,"tf.Tensor(15.909203, shape=(), dtype=float32)"
192,"tf.Tensor(15.425907, shape=(), dtype=float32)"
193,"tf.Tensor(15.7421055, shape=(), dtype=float32)"
194,"tf.Tensor(16.664343, shape=(), dtype=float32)"
195,"tf.Tensor(16.6462, shape=(), dtype=float32)"
196,"tf.Tensor(15.2853565, shape=(), dtype=float32)"
197,"tf.Tensor(16.81721, shape=(), dtype=float32)"
198,"tf.Tensor(16.48924, shape=(), dtype=float32)"
199,"tf.Tensor(16.503265, shape=(), dtype=float32)"
200,"tf.Tensor(16.817226, shape=(), dtype=float32)"
201,"tf.Tensor(15.059172, shape=(), dtype=float32)"
202,"tf.Tensor(15.759166, shape=(), dtype=float32)"
203,"tf.Tensor(16.506926, shape=(), dtype=float32)"
204,"tf.Tensor(15.339575, shape=(), dtype=float32)"
205,"tf.Tensor(17.22249, shape=(), dtype=float32)"
206,"tf.Tensor(15.457326, shape=(), dtype=float32)"
