,number_of_pixels
494,0.297
495,0.69825
496,1.728
497,2.48832
498,1.2
499,1.728
500,0.4796
501,2.304
502,1.485
503,1.055
504,1.728
505,5.62
506,0.8184
507,1.521
508,0.65207
509,1.565
510,2.028
511,1.296
512,1.296
513,2.43024
514,0.9152
515,1.1125
516,3.072
517,1.296
518,1.3944
519,1.296
520,0.958
521,0.3608
522,5.2334
523,1.2816
524,1.38
525,3.52377
526,0.4554
527,2.028
528,1.0395
529,0.34472
530,0.9
531,1.152
532,2.304
533,2.016
534,1.7328
535,1.296
536,1.0875
537,1.1076
538,1.5996
539,2.751
540,1.2576
541,1.875
542,1.20384
543,0.9696
544,0.904
545,2.40672
546,1.335
547,0.5
548,0.51072
549,1.42
550,0.6048
551,2.025
552,0.96
553,2.304
554,0.7168
555,0.67335
556,0.612
557,0.3525
558,2.5
559,2.304
560,1.7118
561,0.96
562,1.296
563,1.3344
564,0.96
565,1.0797
566,2.028
567,1.296
568,0.675
569,1.7408
570,1.5236
571,0.4
572,1.6128
573,1.655
574,0.59616
575,1.168
576,1.324
577,2.05176
578,0.3872
579,1.8096
580,2.304
581,1.5236
582,0.484
583,1.53115
584,0.564
585,0.93808
586,0.59536
587,0.711
588,1.2432
589,0.484
590,2.97024
591,0.3925
592,2.304
593,3.04
594,1.3248
595,1.055
596,0.5742
597,1.405
598,2.304
599,1.2816
600,2.0835
601,5.9619
602,0.4368
603,0.768
604,1.02588
605,1.035
606,1.485
607,1.15
608,0.675
609,0.9248
610,1.90236
611,1.2432
612,2.028
613,0.9
614,1.296
615,1.296
616,1.2
617,0.34
618,0.85344
619,0.512
620,1.377
621,0.45872
622,2.79
623,1.296
624,1.1921
625,1.296
626,0.2816
627,0.57575
628,1.206
629,2.192
630,1.235
631,0.1936
632,2.028
633,2.304
634,1.80276
635,0.7992
636,2.2912
637,1.296
638,0.6357
639,1.23
640,0.404
641,3.888
642,2.35644
643,0.374
644,4.096
645,1.13977
646,1.296
647,0.75504
648,1.2912
649,1.6896
650,1.287
651,0.718
652,1.728
653,1.92
654,0.97443
655,0.507
656,1.0875
657,0.47916
658,1.296
659,1.2912
660,0.45384
661,3.45644
662,1.06
663,1.8
664,1.395
665,2.2336
666,1.41
667,0.77539
668,0.672
669,8.8448
670,0.9
671,1.296
672,1.0368
673,0.9205
674,1.4004
675,1.405
676,0.5145
677,1.248
678,0.6138
679,1.6
680,1.345
681,0.9
682,1.35
683,3.072
684,0.6272
685,1.296
686,1.48
687,1.66212
688,0.852
689,1.65
690,1.16874
691,1.26592
692,0.614
693,1.75582
694,1.11
695,1.464
696,1.3632
697,0.68796
698,1.0704
699,1.34312
700,1.055
701,0.4
702,1.296
703,3.456
704,1.728
705,1.14432
706,0.637
707,2.0
708,1.11
709,0.658
710,1.4018
711,1.296
712,3.08025
713,0.3938
714,1.1025
715,0.65207
716,0.6685
717,1.3008
718,1.35
719,1.40625
720,0.53
721,1.296
722,1.5847
723,7.0048
724,2.9088
725,1.728
726,0.6762
727,1.3317
728,1.055
729,0.788
730,1.5714
731,1.4
732,1.2336
733,0.954
734,1.04
735,1.2384
736,1.41
737,3.4176
738,0.837
739,0.502
740,1.57344
741,0.735
742,1.728
743,1.0
744,0.6762
745,1.296
746,0.36505
747,1.14
748,1.296
749,0.71444
750,0.5728
751,1.89
752,0.97443
753,0.343
754,5.184
755,11.664
756,1.405
757,1.536
758,2.1696
759,0.676
760,1.0
761,1.8675
762,1.0
763,0.896
764,1.30476
765,1.285
766,0.224
767,0.13041
768,1.0
769,1.28104
770,2.3904
771,1.30476
772,0.534
773,1.728
774,9.216
775,1.3384
776,2.03136
777,0.534
778,1.25
779,2.70336
780,1.728
781,0.30975
782,0.9152
783,1.905
784,1.405
785,1.54867
786,2.3168
787,1.25
788,1.728
789,1.09116
790,1.38444
791,2.304
792,1.728
793,1.296
794,1.728
795,0.60025
796,0.6272
797,1.2038
798,1.3104
799,1.865
800,1.85754
801,1.35
802,0.3525
803,6.71772
804,0.513
805,1.86
806,1.296
807,2.758
808,1.2768
809,1.971
810,0.872
811,1.064
812,0.598
813,0.92
814,0.7
815,1.055
816,0.256
817,1.7568
818,1.024
819,0.624
820,1.7328
821,1.2
822,0.377
823,0.7308
824,0.3234
825,1.6416
826,1.728
827,1.296
828,0.50625
829,2.028
830,1.905
831,0.53766
832,1.296
833,2.304
834,1.296
835,3.5392
836,0.8992
837,0.768
838,1.41
839,0.55752
840,1.405
841,3.0675
842,1.296
843,1.12
844,1.4
845,0.3675
846,1.95216
847,1.18
848,0.904
849,0.3888
850,1.485
851,1.54008
852,0.49
853,1.05078
854,0.5954
855,0.948
856,0.96
857,0.8928
858,2.304
859,1.296
860,2.028
861,1.728
862,0.86
863,0.84
864,1.2864
865,0.52138
866,1.296
867,1.4
868,1.1798
869,1.296
870,2.028
871,0.484
872,1.03
873,1.405
874,0.5632
875,0.1188
876,1.275
877,1.77276
878,0.59
879,20.736
880,0.9
881,1.665
882,1.52388
883,2.304
884,1.25
885,0.45384
886,1.518
887,1.29
888,1.248
889,1.866
890,1.40219
891,0.278
892,0.65912
893,0.7272
894,2.9184
895,1.296
896,0.44
897,0.6888
898,1.405
899,0.822
900,3.072
901,1.296
902,0.95816
903,1.01016
904,1.36
905,0.256
906,0.3675
907,1.01575
908,0.98384
909,1.70324
910,0.74256
911,0.708
912,1.6272
913,0.55
914,1.37858
915,1.14975
916,1.0797
917,1.00548
918,2.304
919,2.304
920,0.6909
921,6.99048
922,0.51
923,0.5902
924,0.678
925,0.768
926,1.70752
927,1.296
928,1.269
929,0.4704
930,1.0224
931,1.085
932,0.8955
933,0.9205
934,1.30738
935,2.6772
936,3.2
937,0.77
938,1.39
939,1.405
940,0.54912
941,1.85445
942,1.024
943,1.296
944,1.1452
945,0.694
946,0.87465
947,0.5338
948,1.0608
949,0.57879
950,0.68
951,0.9
952,1.065
953,1.68
954,1.215
955,1.296
956,2.304
957,0.89434
958,1.51
959,1.40436
960,1.296
961,0.96
962,0.9
963,0.6744
964,0.4
965,1.728
966,0.2684
967,1.296
968,0.35
969,1.92
970,0.396
971,1.296
972,1.2576
973,1.296
974,1.296
975,0.4165
976,4.096
977,1.345
978,0.768
979,1.755
980,1.5236
981,2.304
982,2.5
983,3.6
984,2.5575
985,1.7376
986,0.9216
987,0.48705
988,1.2864
989,1.296
990,1.812
991,1.47968
992,0.9792
993,0.67308
994,1.6
995,2.0169
996,0.343
997,1.6848
998,0.65912
999,1.405
1000,1.2192
1001,1.60457
1002,1.2
1003,1.4432
1004,1.04
1005,0.846
1006,0.8575
1007,1.764
1008,1.3888
1009,0.924
1010,1.0
1011,1.125
1012,0.48705
1013,0.924
1014,0.67308
1015,1.242
1016,1.2576
1017,2.5912
1018,2.304
1019,1.92
1020,0.576
1021,1.728
1022,1.6944
1023,2.7264
1024,1.96608
1025,0.68
1026,2.1984
1027,0.6
1028,2.24
1029,2.5992
1030,1.296
1031,0.588
1032,1.3944
1033,0.74646
1034,1.3104
1035,2.352
1036,1.3275
1037,0.62928
1038,0.978
1039,1.65792
1040,2.304
1041,0.712
1042,2.934
1043,1.2864
1044,0.924
1045,1.08
1046,2.5
1047,1.296
1048,1.296
1049,1.196
1050,0.4116
1051,1.728
1052,2.5
1053,1.29368
1054,1.296
1055,1.39
1056,2.379
1057,0.8775
1058,0.7308
1059,1.54468
1060,1.685
1061,4.00675
1062,0.534
1063,1.325
1064,2.9088
1065,1.296
1066,0.904
1067,1.2864
1068,1.42428
1069,0.96
1070,2.6044
1071,1.296
1072,1.221
1073,0.4424
1074,1.50528
1075,2.5
1076,0.4352
1077,2.24082
1078,1.728
1079,2.028
1080,2.028
1081,0.54635
1082,0.924
1083,0.432
1084,1.88
1085,2.304
1086,1.47456
1087,1.296
1088,0.532
1089,0.488
1090,2.916
1091,0.51
1092,0.3403
1093,1.2864
1094,1.0788
1095,0.504
1096,1.14042
1097,2.016
1098,1.19022
1099,0.728
1100,0.484
1101,1.2864
1102,0.4824
1103,3.072
1104,3.4496
1105,1.47725
1106,0.6365
1107,2.304
1108,1.92
1109,0.4824
1110,4.83
1111,1.6416
1112,0.9504
1113,1.296
1114,1.11
1115,1.728
1116,2.2848
1117,1.728
1118,1.33464
1119,2.304
1120,2.304
1121,0.87465
1122,1.705
1123,1.41
1124,0.864
1125,0.675
1126,1.296
1127,0.672
1128,0.65207
1129,1.296
1130,1.44
1131,0.84216
1132,3.0
1133,0.944
1134,0.256
1135,0.4288
1136,0.4853
1137,1.296
1138,0.904
1139,1.3008
1140,0.256
1141,0.507
1142,1.296
1143,1.4
1144,0.6976
1145,0.672
1146,0.825
1147,1.5847
1148,0.872
1149,1.2912
1150,1.82329
1151,0.31356
1152,1.06575
1153,1.296
1154,0.904
1155,0.768
1156,0.6321
1157,1.728
1158,1.0209
1159,0.53165
1160,1.37
1161,1.66464
1162,1.152
1163,2.23744
1164,0.868
1165,1.04
1166,0.532
1167,1.875
1168,1.296
1169,1.125
1170,1.296
1171,1.248
1172,1.296
1173,0.5346
1174,0.484
1175,1.3392
1176,0.896
1177,0.8987
1178,0.86853
1179,1.05
1180,1.225
1181,1.92
1182,0.53295
1183,1.9008
1184,0.3904
1185,1.25
1186,0.256
1187,1.7664
1188,1.1
1189,0.736
1190,2.304
1191,1.2864
1192,1.1275
1193,1.2395
1194,1.095
1195,0.6509
1196,0.768
1197,4.096
1198,0.824
1199,0.94535
1200,1.521
1201,0.576
1202,0.652
1203,2.34558
1204,0.972
1205,1.17856
1206,0.2706
1207,1.4208
1208,1.728
1209,1.2432
1210,0.3381
1211,1.0272
1212,1.3152
1213,7.78211
1214,2.0
1215,0.21316
1216,1.035
1217,0.7995
1218,1.3524
1219,1.536
