,max_entropy
0,5.8627460706140155
1,5.662183296189051
2,4.898894490299038
3,5.253077544558437
4,7.060013323277641
5,6.848273695684375
6,6.467889968383576
7,7.904420669460033
8,4.952201935568407
9,5.269950363460025
10,6.0271532736904945
11,6.920354397749628
12,4.938078072622422
13,5.797978202117806
14,6.264901988795206
15,4.089760454255351
16,5.491383920882983
17,6.78037884365166
18,5.999780062344607
19,5.69904078571691
20,5.086583346118703
21,7.382923988695646
22,7.474541379330164
23,6.767069189895839
24,5.219834728149709
25,6.834872406554233
26,6.358513567343001
27,7.641242729283994
28,7.615936623835303
29,6.743683154701188
30,7.748105450803783
31,4.214922885167167
32,7.766063433198103
33,6.133646582900805
34,4.875413864749267
35,3.630570895941865
36,7.401105205068937
37,7.33278824069571
38,1.9732802869671442
39,5.8472371202462545
40,7.538196977701681
41,6.866322401533952
42,6.748475402402649
43,3.600384977777466
44,7.277607113302789
45,4.939380072960515
46,7.406684001367466
47,7.537573977633323
48,5.476232981279183
49,4.063790827596211
50,7.194352543877486
51,5.404350396024772
52,5.9822132263810595
53,5.022933934490247
54,6.88533750855083
55,6.085438142164628
56,6.648910673724914
57,7.434697877205015
58,4.694778197585465
59,6.650693444067276
60,7.527897862618303
61,7.043904817817517
62,7.2969475255781004
63,6.090501420161069
64,7.128517486624955
65,6.847110160445113
66,6.251668670180015
67,7.763837946873519
68,6.297113619485888
69,6.494001873735374
70,6.624891899361762
71,6.649676517192502
72,6.862535987031158
73,5.856643354766125
74,6.980398338188498
75,7.708581028998823
76,6.693760875396521
77,4.358659374334283
78,6.676893375216965
79,6.152331367901363
80,7.426083084487756
81,7.625408534257603
82,7.421659515729387
83,7.4527078480595605
84,5.003034165252642
85,7.321368054497945
86,4.733777485118757
87,7.418969851739918
88,5.670722946817598
89,7.091181154425337
90,7.623427706361514
91,6.120585173354556
92,7.37602167201042
93,7.713832899726833
94,7.629142548351909
95,3.875043011791819
96,7.558416755350454
97,6.170088264141307
98,7.429163630173697
99,7.593526323579885
100,7.688762501500963
101,6.330854895380625
102,5.271774187075013
103,5.920426121839977
104,7.561052155420395
105,4.689825507827024
106,7.074397187503819
107,6.931860791671727
108,7.321281779998256
109,7.01666141468088
110,6.993612172354068
111,7.072646588035022
112,6.153028286844489
113,7.24997453724227
114,7.481428962851189
