,avg_entropy
0,5.7140723255594565
1,5.558687395448117
2,4.877824784851498
3,5.245296376988005
4,6.967139962642933
5,6.7278700715034185
6,6.430810003823142
7,7.824149375816063
8,4.879904442252426
9,5.145785788785769
10,5.84546476070414
11,6.702056101805089
12,4.903635090581249
13,5.760304515518432
14,6.099000709168129
15,3.932112767919833
16,5.148971607482201
17,6.048965765899559
18,5.939969444512799
19,5.410130067189824
20,4.782569759938081
21,7.262943039436957
22,7.427659172303673
23,6.7626297903284245
24,4.968571321634808
25,6.6731625683384
26,6.3306189772133035
27,7.193340653292682
28,7.584371610259952
29,6.676937668218011
30,7.370703318011496
31,4.036030174231579
32,7.755236397174232
33,6.076151674122383
34,4.859272523641649
35,3.51926301696681
36,7.37425598816043
37,7.231907547578832
38,0.6520926604994909
39,5.557755327290365
40,7.426062881206935
41,6.708573502460961
42,6.743394722735658
43,3.5084842880131415
44,7.1622759746121
45,2.949095924090967
46,7.320158384500344
47,7.421201542289113
48,5.013011898803486
49,4.050245072005726
50,7.009784203879185
51,5.159640878916264
52,5.887844711903823
53,4.92651640225495
54,6.839215482424236
55,5.536236326032088
56,6.5906039285644145
57,7.355897671483848
58,3.799709534787646
59,6.358149124675644
60,7.436478819400219
61,7.033349417238313
62,6.954432319801592
63,5.895598766906379
64,6.961985980115715
65,6.507517235778874
66,6.083226908597325
67,5.636673405914615
68,6.268051713348573
69,6.435910288146071
70,6.389537269584877
71,6.5483778941271
72,6.782141801731921
73,5.814488323395235
74,6.889644432174801
75,7.654324856222661
76,6.328947633060895
77,4.222283509548666
78,6.413605093602967
79,6.145771887781094
80,7.385008979075992
81,7.506491700794054
82,7.146962775336009
83,7.274969440500063
84,4.85015505507563
85,7.248661694699044
86,4.685211968059755
87,7.3981151800785545
88,5.612206631190927
89,6.726482647947747
90,7.530753082727215
91,5.9664983603739605
92,6.810040056406336
93,7.636242694626211
94,7.591342887675735
95,3.6400195760744927
96,7.411789817323244
97,5.474809939294901
98,7.208300496805104
99,7.531145405656215
100,7.637782032616538
101,6.171620812526195
102,5.154603777489156
103,5.830670447604861
104,7.527110753915805
105,4.651026676693316
106,6.732850810230511
107,6.856486973274919
108,7.045191720744433
109,6.855696215887603
110,5.906769328391939
111,7.054446711206991
112,6.0756689804545
113,7.0961380141897195
114,7.394056679556329
115,6.762632521187765
116,6.949698038849217
117,7.706280362183546
118,7.157158027674727
119,5.725630790403167
120,6.039822199978017
121,7.423645039669246
122,7.331706774411279
123,7.525942081442689
124,5.228122535247383
125,6.8281315678754355
126,5.782877619868694
127,6.892449577556769
128,6.704439162881332
129,7.107273485033879
130,5.8536421965534045
131,6.695653754804662
132,4.795756343049789
133,4.551210652804913
134,6.63995560581281
135,6.304509070286436
136,7.454754563046064
137,6.92020433602404
138,6.600863651008792
139,7.3552869341999
140,5.986500049458381
141,6.146557232782826
142,5.720524172192231
143,7.413900374434059
144,2.769597968435127
145,6.557814638536004
146,6.738715164624597
147,7.1772817866095435
148,6.550079057401692
149,7.1772817866095435
150,6.927080341483079
151,6.917972545421674
152,2.635910654856934
153,7.032396577825925
154,7.520963852389218
155,5.673175479336399
