,number_of_pixels
2009,0.9248
2010,1.4
2011,0.576
2012,0.74052
2013,0.73712
2014,0.49
2015,0.768
2016,0.6195
2017,0.9912
2018,1.296
2019,1.475
2020,1.41
2021,0.4292
2022,1.2
2023,7.37836
2024,0.73188
2025,1.4
2026,0.932
2027,1.296
2028,2.304
2029,0.392
2030,0.71824
2031,3.072
2032,0.876
2033,0.44345
2034,1.5281
2035,1.068
2036,0.392
2037,0.875
2038,1.11
2039,0.9144
2040,2.7968
2041,0.819
2042,0.60025
2043,1.296
2044,1.8734
2045,0.3675
2046,1.12896
2047,1.25
2048,1.919
2049,2.4535
2050,1.35
2051,0.13041
2052,0.396
2053,1.70316
2054,1.0
2055,0.69296
2056,1.5827
2057,2.2656
2058,2.028
2059,0.35525
2060,0.9696
2061,1.2
2062,1.00048
2063,0.625
2064,1.296
2065,2.304
2066,1.5312
2067,0.9
2068,0.76384
2069,1.295
2070,1.296
2071,1.415
2072,0.504
2073,0.576
2074,1.296
2075,1.285
2076,1.728
2077,9.216
2078,0.8
2079,0.72
2080,0.6528
2081,1.065
2082,1.405
2083,0.7416
2084,2.304
2085,1.4976
2086,1.42
2087,1.728
2088,0.41525
2089,1.296
2090,1.11
2091,1.875
2092,2.07
2093,1.11135
2094,0.8192
2095,0.9912
2096,1.405
2097,1.345
2098,0.52
2099,6.576
2100,1.1798
2101,1.512
2102,1.296
2103,1.5
2104,1.11
2105,1.10224
2106,2.304
2107,2.304
2108,3.0624
2109,1.42
2110,0.3784
2111,2.7968
2112,2.5
2113,2.16
2114,0.99099
2115,1.92726
2116,1.512
2117,1.405
2118,2.304
2119,0.76383
2120,1.6416
2121,1.27687
2122,3.888
2123,1.325
2124,1.866
2125,5.29984
2126,5.0688
2127,0.7524
2128,0.667
2129,7.32
2130,1.728
2131,1.28
2132,1.5
2133,0.609
2134,0.97664
2135,0.228
2136,1.3104
2137,1.521
2138,0.6804
2139,0.7992
2140,1.296
2141,1.3944
2142,1.647
2143,1.242
2144,1.41
2145,1.2624
2146,0.35
2147,2.304
2148,0.5792
2149,1.764
2150,1.1616
2151,2.028
2152,0.9
2153,0.972
2154,0.896
2155,1.93125
2156,0.3381
2157,1.15
2158,0.876
2159,0.79125
2160,1.248
2161,2.304
2162,2.47008
2163,0.8225
2164,1.265
2165,1.355
2166,1.0
2167,0.576
2168,0.078
2169,0.768
2170,1.6038
2171,1.41
2172,1.7472
2173,0.49344
2174,0.9828
2175,1.4675
2176,2.9088
2177,1.12056
2178,0.49344
2179,0.96
2180,5.184
2181,1.7028
2182,0.784
2183,0.892
2184,0.712
2185,1.296
2186,1.2912
2187,0.507
2188,0.9504
2189,0.712
2190,0.90738
2191,1.45728
2192,1.375
2193,0.48705
2194,2.028
2195,1.296
2196,1.2
2197,1.4448
2198,2.304
2199,1.728
2200,0.7272
2201,0.89505
2202,1.521
2203,1.25
2204,2.916
2205,1.055
2206,1.11
2207,1.098
2208,6.48
2209,1.20912
2210,1.97136
2211,2.304
2212,0.5472
2213,1.45
2214,0.345
2215,2.68799
2216,1.2096
2217,0.5
2218,0.13041
2219,1.025
2220,0.272
2221,0.7884
2222,0.9216
2223,1.2336
2224,1.728
2225,2.9088
2226,0.83834
2227,1.11
2228,0.96
2229,0.98
2230,1.44
2231,0.77924
2232,1.41
2233,2.392
2234,0.81648
2235,1.35
2236,0.675
2237,1.296
2238,2.175
2239,0.52
2240,1.10592
2241,1.405
2242,2.2464
2243,1.296
2244,2.5
2245,1.25
2246,0.6958
2247,0.535
2248,3.31776
2249,1.405
2250,1.405
2251,2.5
2252,1.3008
2253,1.12288
2254,0.144
2255,0.686
2256,0.6272
2257,3.464
2258,0.3
2259,1.296
2260,0.324
2261,1.385
2262,0.374
2263,1.875
2264,1.2864
2265,0.448
2266,1.866
2267,2.5205
2268,4.32
2269,1.2912
2270,1.41
2271,1.5456
2272,3.888
2273,1.105
2274,1.29368
2275,1.22
2276,1.405
2277,0.8344
2278,0.7656
2279,1.35
2280,0.666
2281,0.77056
2282,1.6416
2283,2.1888
2284,1.155
2285,0.39767
2286,0.6895
2287,1.7664
2288,0.84
2289,0.9
2290,1.2096
2291,0.896
2292,1.2192
2293,0.75602
2294,1.1
2295,1.296
2296,0.534
2297,1.296
2298,9.216
2299,1.37
2300,1.65
2301,4.07092
2302,1.0525
2303,0.91164
2304,0.441
2305,1.9332
2306,1.4471
2307,1.405
2308,1.2116
2309,1.405
2310,1.1475
2311,3.165
2312,1.08927
2313,3.4775
2314,1.27148
2315,1.08
2316,2.526
2317,1.065
2318,0.5915
2319,1.07
2320,1.7024
2321,0.768
2322,0.2664
2323,0.94864
2324,1.45065
2325,1.7376
2326,0.535
2327,0.625
2328,0.744
2329,1.20912
2330,1.705
2331,1.065
2332,1.11
2333,0.9695
2334,1.405
2335,0.9075
2336,1.62
2337,1.2
2338,1.035
2339,1.405
2340,0.9568
2341,1.275
2342,1.0224
2343,1.41
2344,1.272
2345,0.9568
2346,0.7245
2347,1.8432
2348,2.304
2349,0.9568
2350,0.77672
2351,2.2464
2352,0.96
2353,1.155
2354,0.576
2355,1.405
2356,2.7864
2357,1.345
2358,0.80192
2359,0.65675
2360,0.71824
2361,1.6416
2362,0.4292
2363,0.9
2364,2.90072
2365,1.14
2366,0.29412
2367,0.88479
2368,2.028
2369,1.2384
2370,0.664
2371,1.03584
2372,0.513
2373,0.96
2374,0.67308
2375,1.265
2376,1.52
2377,1.5456
2378,1.083
2379,0.232
2380,1.296
2381,0.896
2382,2.43588
2383,1.20843
2384,0.4545
2385,0.7272
2386,0.49
2387,2.2528
2388,0.9205
2389,2.272
2390,0.625
2391,2.272
2392,1.8576
2393,2.304
2394,1.11
2395,1.11
2396,0.96
2397,1.296
2398,0.768
2399,1.5847
2400,0.7488
2401,0.402
2402,0.603
2403,0.54
2404,1.21818
2405,2.022
2406,0.4557
2407,1.68
2408,1.2384
2409,1.296
2410,0.94864
2411,0.35
2412,1.295
2413,0.6816
2414,0.714
2415,1.3735
2416,0.4704
2417,0.768
2418,1.26
2419,0.39767
2420,0.82944
2421,1.2064
2422,1.3944
2423,1.25994
2424,1.27148
2425,0.8132
2426,0.65649
2427,1.08
2428,1.0
2429,0.60025
2430,1.3104
2431,1.2
2432,1.1
2433,1.63917
2434,1.296
2435,0.7252
2436,2.42952
2437,1.445
2438,0.535
2439,1.6284
2440,0.756
2441,1.74699
2442,0.45024
2443,1.7672
2444,0.39767
2445,1.405
2446,1.296
2447,1.0397
2448,1.325
2449,0.824
2450,4.8
2451,1.405
2452,2.022
2453,0.218
2454,1.12197
2455,1.64025
2456,1.405
2457,0.675
2458,3.89376
2459,0.5368
2460,0.4884
2461,1.2816
2462,1.41
2463,3.045
2464,1.475
2465,1.85754
2466,1.085
2467,1.9
2468,0.69825
2469,1.296
2470,1.7
2471,0.4067
2472,0.58101
2473,1.296
2474,1.308
2475,2.601
2476,1.296
2477,1.405
2478,1.3
2479,1.72
2480,1.38444
2481,1.296
2482,2.59316
2483,1.296
2484,1.518
2485,0.768
2486,1.272
2487,1.495
2488,1.0209
2489,1.00596
2490,1.296
2491,1.296
2492,1.43213
2493,1.875
2494,1.296
2495,0.591
2496,1.325
2497,3.39066
2498,1.33464
2499,1.24002
2500,0.71232
2501,0.495
2502,1.065
2503,1.6452
2504,1.0
2505,1.442
2506,0.9555
2507,0.52185
2508,0.8798
2509,1.44
2510,2.63144
2511,0.368
2512,0.54145
2513,3.97488
2514,0.43326
2515,0.60025
2516,1.17
2517,0.534
2518,1.0176
2519,1.2816
2520,1.728
2521,1.405
2522,6.28992
2523,1.296
2524,0.904
2525,1.015
2526,1.05375
2527,0.42875
2528,1.395
2529,9.2032
2530,0.3
2531,1.17808
2532,1.6077
2533,1.5
2534,0.396
2535,1.4352
2536,0.864
2537,1.1385
2538,0.9312
2539,0.5764
2540,0.81648
2541,1.296
2542,2.028
2543,3.0226
2544,2.304
2545,0.924
2546,0.92475
2547,0.918
2548,1.599
2549,0.688
2550,0.45325
2551,1.296
2552,0.58782
2553,1.6416
2554,0.9648
2555,2.304
2556,0.892
2557,1.405
2558,1.05
2559,0.6528
2560,1.42378
2561,6.762
2562,1.785
2563,1.9035
2564,0.7308
2565,0.87584
2566,1.296
2567,1.296
2568,1.2768
2569,0.6336
2570,0.89505
2571,0.7648
2572,1.152
2573,0.8398
2574,0.554
2575,0.86632
2576,0.9984
2577,1.62
2578,1.25
2579,0.8126
2580,0.4
2581,0.576
2582,0.396
2583,1.68
2584,2.028
2585,1.04
2586,1.296
2587,1.7568
2588,0.46854
2589,1.14432
2590,1.296
2591,2.751
2592,1.73
2593,1.25
2594,2.304
2595,0.52185
2596,1.296
2597,0.62001
2598,1.2168
2599,1.6416
2600,1.1798
2601,0.6895
2602,1.05078
2603,0.6
2604,1.68
2605,1.275
2606,0.4165
2607,4.37248
2608,0.5478
2609,1.745
2610,1.7568
2611,2.304
2612,1.51
2613,1.89
2614,0.768
2615,1.25
2616,0.40425
2617,1.152
2618,1.2864
2619,1.0128
2620,0.9
2621,1.405
2622,0.45815
2623,0.4966
2624,0.486
2625,0.8325
2626,1.296
2627,0.768
2628,0.5125
2629,20.6592
2630,0.96
2631,0.9792
2632,0.441
2633,0.924
2634,1.0872
2635,2.209
2636,1.085
2637,0.688
2638,1.296
2639,1.296
2640,1.51872
2641,1.5552
2642,0.3
2643,1.2384
2644,0.53111
2645,1.405
2646,0.56925
2647,1.19496
2648,2.2272
2649,1.96
2650,1.0001
2651,0.7272
2652,1.3944
2653,1.89
2654,1.225
2655,1.2
2656,1.272
2657,0.6804
2658,1.92532
2659,1.405
2660,0.6441
2661,1.6
2662,2.7
2663,2.9088
2664,1.1868
2665,1.296
2666,0.3525
2667,1.065
2668,1.68
2669,0.5376
2670,1.62812
2671,0.9696
2672,0.48705
2673,0.855
2674,1.8432
2675,1.7664
2676,0.448
2677,0.3102
2678,0.42875
2679,1.34
2680,0.97902
2681,2.028
2682,1.28064
2683,1.205
2684,0.9168
2685,1.0
2686,0.768
2687,1.0304
2688,1.36
2689,0.768
2690,0.672
2691,3.6
2692,1.2432
2693,1.08
2694,2.379
2695,1.405
2696,0.49
2697,1.1132
2698,0.9
2699,1.296
2700,1.296
2701,1.3632
2702,1.22801
2703,0.896
2704,0.896
2705,1.296
2706,1.405
2707,1.35728
2708,1.296
2709,2.1568
2710,6.138
2711,1.296
2712,0.3234
2713,1.7712
2714,1.515
2715,0.404
2716,1.296
2717,1.7568
2718,0.71505
2719,0.82775
2720,0.226
2721,0.603
2722,1.296
2723,0.972
2724,1.5408
2725,2.028
2726,3.03968
2727,1.825
2728,1.296
2729,1.54
2730,1.11
2731,0.504
2732,1.296
2733,1.296
2734,0.44835
2735,1.272
2736,1.1104
2737,0.44655
2738,1.296
2739,2.304
2740,0.51
2741,2.844
2742,1.296
2743,1.095
2744,1.73712
2745,0.9248
2746,1.87
2747,1.2288
2748,0.4
2749,0.53655
2750,1.3944
2751,1.185
2752,9.216
2753,14.1264
2754,1.0
2755,1.86252
2756,1.584
2757,0.6237
2758,3.888
2759,0.3796
2760,0.35
2761,1.1075
2762,0.92538
2763,1.056
2764,1.0025
2765,1.5
2766,1.1385
2767,1.41
2768,3.072
2769,1.748
2770,1.083
2771,0.67344
2772,0.932
2773,1.1936
2774,1.03
2775,1.21
2776,0.924
2777,1.0
2778,1.728
2779,0.30975
2780,0.9
2781,1.0788
2782,1.4
2783,1.405
2784,0.53196
2785,1.224
2786,1.26084
2787,2.304
2788,1.296
2789,1.3317
2790,1.135
2791,1.296
2792,0.55632
2793,1.2672
2794,0.4
2795,1.2912
2796,1.0
2797,0.4165
2798,1.13148
2799,0.675
2800,0.7728
2801,0.7638
2802,0.33565
2803,1.00497
2804,0.50625
2805,3.6
2806,1.134
2807,0.35
2808,1.405
2809,0.688
2810,1.1385
2811,1.5184
2812,0.45276
2813,0.5
2814,1.644
2815,1.215
2816,0.8
2817,1.71072
2818,1.143
2819,0.52155
2820,2.016
2821,1.395
2822,1.33764
2823,1.024
2824,0.88
2825,2.086
2826,0.87904
2827,1.695
2828,1.2675
2829,1.125
2830,0.9456
2831,1.12
2832,0.9248
2833,1.12
2834,1.20512
2835,0.90738
2836,1.4112
2837,1.59744
2838,0.891
2839,1.2768
2840,0.8399
2841,1.488
2842,1.088
2843,1.2864
2844,0.52185
2845,1.71
2846,1.38942
2847,0.534
2848,0.495
2849,1.296
2850,0.75
2851,1.40725
2852,1.296
2853,0.96
2854,0.693
2855,2.48004
2856,0.57702
2857,2.758
2858,0.8
2859,0.49
2860,0.274
2861,0.67732
2862,0.9
2863,0.294
2864,2.9088
2865,1.5
2866,1.296
2867,1.20204
2868,1.42272
2869,0.6125
2870,1.00798
2871,1.07
2872,1.296
2873,1.345
2874,0.9888
2875,0.3675
2876,1.296
2877,0.8798
2878,0.60025
2879,1.0
2880,1.335
2881,0.65207
2882,0.312
2883,1.0248
2884,1.296
2885,1.077
2886,0.768
2887,1.8624
2888,1.035
2889,1.405
2890,2.304
2891,1.134
2892,1.2672
2893,2.24224
2894,1.296
2895,0.9361
2896,0.715
2897,1.2912
2898,1.41
2899,0.4851
2900,1.22
2901,1.815
2902,0.9424
2903,0.892
2904,0.4862
2905,0.13041
2906,1.212
2907,1.728
2908,2.99936
2909,4.8
2910,1.82329
2911,1.875
2912,0.13041
2913,1.728
2914,1.1475
2915,1.405
2916,1.0707
2917,0.896
2918,2.538
2919,1.209
2920,0.78692
2921,0.504
2922,2.4
2923,1.035
2924,1.6704
2925,0.7272
2926,9.3312
2927,0.836
2928,1.405
2929,1.0406
2930,2.24764
2931,1.296
2932,0.9936
2933,0.916
2934,0.507
2935,1.248
2936,1.28
2937,0.96205
2938,1.296
2939,1.43
2940,2.97024
2941,1.296
2942,0.432
2943,0.392
2944,1.296
2945,1.296
2946,2.1973
2947,1.09728
2948,1.7388
2949,0.3087
2950,2.5024
2951,1.3446
2952,0.53165
2953,1.32
2954,1.152
2955,3.772
2956,0.534
2957,1.5
2958,0.6895
2959,1.7184
2960,1.25
2961,0.4
2962,0.60025
2963,3.616
2964,2.9088
2965,0.972
2966,5.29984
2967,1.3104
2968,0.68
2969,2.26576
2970,1.28104
2971,0.904
2972,0.534
2973,0.52864
2974,0.73788
2975,1.23326
2976,6.69016
2977,0.6365
2978,0.534
2979,0.46656
2980,0.546
2981,0.498
2982,0.768
2983,0.49704
2984,1.0797
2985,1.6272
2986,1.728
2987,1.296
2988,1.4535
2989,1.055
2990,1.41
2991,2.758
2992,1.45288
2993,1.296
2994,0.6747
2995,1.25
2996,1.50064
2997,4.2543
2998,1.735
2999,0.9
3000,0.768
3001,1.296
3002,1.4476
3003,1.0444
3004,1.323
3005,1.19
3006,0.9984
3007,1.09416
3008,1.495
3009,0.768
3010,0.84
3011,0.564
3012,1.936
3013,0.5632
3014,1.08
3015,1.2384
3016,2.125
3017,1.3524
3018,1.296
3019,0.2
3020,0.9168
3021,1.152
3022,0.44472
3023,1.404
3024,0.42848
3025,2.304
3026,1.405
3027,1.5024
3028,1.296
3029,1.096
3030,2.19646
3031,0.53946
3032,1.1552
3033,2.2992
3034,0.5478
3035,0.72474
3036,3.02736
3037,1.17
3038,0.13041
3039,2.784
3040,0.972
3041,0.5481
3042,0.6357
3043,0.688
3044,0.75
3045,1.4
3046,1.0248
3047,1.728
3048,0.3312
3049,22.14144
3050,0.35
3051,0.688
3052,1.296
3053,2.1888
3054,0.45815
3055,0.918
3056,1.2
3057,0.7056
3058,0.87912
3059,0.804
3060,0.39
3061,0.768
3062,2.086
3063,0.3
3064,1.055
3065,1.0032
3066,0.9
3067,3.9168
3068,0.888
3069,1.296
3070,0.576
3071,1.012
3072,1.296
3073,1.5552
3074,1.10224
3075,0.768
3076,2.9088
3077,0.936
3078,0.6848
3079,1.25
3080,0.67914
3081,0.768
3082,0.396
3083,1.375
3084,2.97024
3085,0.9504
3086,2.304
3087,0.465
3088,2.01
3089,1.4
3090,0.625
3091,0.988
3092,1.33732
3093,0.3416
3094,0.9792
3095,1.21706
3096,1.405
3097,0.708
3098,0.49
3099,1.16766
3100,1.04
3101,3.18498
3102,1.48952
3103,1.71
3104,1.728
3105,1.345
3106,0.4551
3107,1.1385
3108,0.60025
3109,1.296
3110,0.868
3111,1.6896
3112,1.35
3113,0.69825
3114,2.751
3115,0.54145
3116,0.57645
3117,0.9248
3118,0.76
3119,1.15
3120,2.5215
3121,0.9
3122,0.7272
3123,0.77556
3124,1.405
3125,1.3152
3126,0.8704
3127,0.96
3128,0.4165
3129,0.5632
3130,0.75446
3131,0.72474
3132,2.2032
3133,0.507
3134,0.768
3135,0.4675
3136,1.2312
3137,1.296
3138,1.36
3139,0.69825
3140,0.916
3141,0.39432
3142,0.824
3143,1.728
3144,1.05
3145,1.7584
3146,2.29788
3147,2.72
3148,0.67574
3149,0.9792
3150,0.5368
3151,1.5
3152,0.3675
3153,0.2
3154,3.1104
3155,2.086
3156,1.405
3157,3.0912
3158,1.1385
3159,1.0248
3160,1.728
3161,0.94
3162,1.6
3163,0.712
3164,0.7995
3165,1.215
3166,0.768
3167,1.17649
3168,2.19456
3169,0.768
3170,0.5047
3171,0.936
3172,0.64925
3173,0.90818
3174,1.225
3175,1.27746
3176,1.225
3177,1.415
3178,1.7904
3179,1.6416
3180,2.304
3181,1.38444
3182,0.72316
3183,1.1914
3184,1.752
3185,0.896
3186,0.49
3187,0.666
3188,1.296
3189,3.072
3190,1.377
3191,0.49
3192,0.768
3193,0.39767
3194,2.7
3195,1.0
3196,2.028
3197,1.2144
3198,0.9
3199,0.52864
3200,1.38216
3201,1.28104
3202,1.12871
3203,0.86853
3204,0.71448
3205,0.5103
3206,2.9088
3207,1.3008
3208,2.9088
3209,1.77276
3210,2.02044
3211,2.304
3212,0.71
3213,1.6
3214,0.576
3215,0.60025
3216,1.296
3217,1.04
3218,1.2912
3219,0.9
3220,1.41
3221,0.78914
3222,0.35525
3223,1.296
3224,1.296
3225,1.296
3226,1.024
3227,2.304
3228,0.65912
3229,1.296
3230,1.34
3231,1.2972
3232,0.588
3233,0.9504
3234,0.60025
3235,0.9648
3236,0.576
3237,1.185
3238,0.736
3239,1.88708
3240,1.29376
3241,0.3904
3242,0.768
3243,1.97136
3244,1.053
3245,2.11356
3246,0.226
3247,0.43255
3248,0.851
3249,0.57113
3250,0.4368
3251,0.66
3252,1.1798
3253,1.6992
3254,1.296
3255,0.3725
3256,1.09185
3257,1.635
3258,0.8127
3259,1.5792
3260,0.7548
3261,0.72474
3262,2.00655
3263,3.072
3264,1.368
3265,1.405
3266,0.47
3267,4.0944
3268,11.4363
3269,1.296
3270,0.9
3271,0.9695
3272,1.3008
3273,4.128
3274,1.2
3275,1.4016
3276,1.0648
3277,1.296
3278,0.8325
3279,0.7245
3280,1.296
3281,0.6322
3282,0.256
3283,2.59308
3284,2.916
3285,0.744
3286,1.3412
3287,1.296
3288,2.9088
3289,1.33764
3290,0.7995
3291,1.7184
3292,0.268
3293,1.296
3294,0.74772
3295,0.49
3296,1.405
3297,6.408
3298,3.6
3299,0.925
3300,1.296
3301,1.5552
3302,1.55832
3303,1.296
3304,1.34
3305,0.625
3306,1.77644
3307,1.944
3308,1.2672
3309,0.71288
3310,0.69825
3311,0.35525
3312,0.82944
3313,1.218
3314,1.04
3315,2.20632
3316,2.004
3317,0.334
3318,0.13041
3319,2.19646
3320,1.296
3321,1.296
3322,0.44655
3323,1.46657
3324,0.972
3325,0.88631
3326,2.97024
3327,1.2384
3328,2.90464
3329,0.352
3330,2.116
3331,1.296
3332,1.6786
3333,1.25
3334,1.25
3335,1.25
3336,0.9792
3337,1.4
3338,0.9
3339,1.0272
3340,3.872
3341,0.768
3342,1.296
3343,0.4498
3344,0.9
3345,0.43326
3346,1.405
3347,0.4067
3348,2.38
3349,0.9
3350,1.2432
3351,0.904
3352,0.294
3353,1.196
3354,1.95822
3355,0.576
3356,0.768
3357,1.33056
3358,1.296
3359,1.675
3360,1.065
3361,1.235
3362,0.7665
3363,2.0
3364,1.0
3365,1.296
3366,0.79794
3367,0.5954
3368,0.4165
3369,1.38047
3370,1.296
3371,1.1811
3372,1.82528
3373,1.82528
3374,0.47628
3375,1.405
3376,2.7
3377,0.768
3378,0.531
3379,2.97024
3380,1.885
3381,1.275
3382,0.9
3383,0.6816
3384,0.222
3385,1.0
3386,1.045
3387,1.935
3388,0.8925
3389,0.9
3390,0.79806
3391,0.46944
3392,0.484
3393,0.90306
3394,2.9475
3395,0.13041
3396,1.405
3397,0.3
3398,1.405
3399,1.14745
3400,0.38016
3401,0.42875
3402,5.2128
3403,1.03
3404,1.5744
3405,1.2348
3406,2.304
3407,0.576
3408,20.736
3409,1.12392
3410,0.9792
3411,0.892
3412,0.7236
3413,9.216
3414,1.3
3415,0.81744
3416,2.5
3417,1.25136
3418,1.143
3419,1.405
3420,1.665
3421,1.296
3422,2.16576
3423,0.522
3424,2.19648
3425,1.296
3426,2.9088
3427,1.3317
3428,0.6804
3429,0.956
3430,0.57
3431,1.5847
3432,0.588
3433,0.2
3434,1.1
3435,1.18
3436,0.57024
3437,1.42
3438,1.0375
3439,1.03
3440,1.47065
3441,0.35525
3442,1.296
3443,0.97
3444,1.344
3445,1.3248
3446,0.95046
3447,1.11
3448,20.6592
3449,20.6592
3450,2.808
3451,6.402
3452,1.296
3453,1.3916
3454,0.896
3455,0.768
3456,1.728
3457,0.384
3458,0.4925
3459,1.5
3460,0.603
3461,1.405
3462,1.40725
3463,9.216
3464,0.69451
3465,1.2
3466,1.875
3467,1.01
3468,1.705
3469,1.46584
3470,1.035
3471,0.824
3472,1.0
3473,1.39216
3474,0.392
3475,2.3943
3476,0.768
3477,1.12
3478,1.4
3479,1.296
3480,1.5652
3481,1.6992
3482,0.224
3483,0.2
3484,0.47
3485,1.0
3486,1.476
3487,0.3
3488,1.196
3489,0.539
3490,2.016
3491,1.168
3492,2.88
3493,0.904
3494,2.304
3495,0.576
3496,1.37334
3497,1.077
3498,1.145
3499,1.368
3500,1.112
3501,0.7755
3502,1.296
3503,0.548
3504,0.4
3505,1.296
3506,0.65207
3507,0.5368
3508,2.5
3509,1.2816
3510,0.65207
3511,0.69825
3512,0.5536
3513,0.675
3514,1.296
3515,0.256
3516,1.204
3517,0.64925
3518,1.26002
3519,2.3864
3520,1.04
3521,0.432
3522,1.025
3523,0.4
3524,1.11
3525,0.768
3526,1.1
3527,2.028
3528,1.145
3529,3.3792
3530,0.6048
3531,1.39
3532,1.0
3533,1.41
3534,0.45
3535,1.39
3536,0.686
3537,1.095
3538,0.625
3539,1.728
3540,0.9
3541,0.9248
3542,0.9
3543,1.5847
3544,0.6615
3545,1.096
3546,0.88308
3547,0.74592
3548,0.768
3549,1.05
3550,0.4
3551,0.688
3552,1.41
3553,0.67308
3554,0.13041
3555,1.296
3556,0.625
3557,1.20912
3558,0.55752
3559,1.7568
3560,1.296
3561,1.355
3562,0.675
3563,2.9088
3564,1.7982
3565,0.5472
3566,1.265
3567,1.23008
3568,0.224
3569,1.728
3570,1.296
3571,0.852
3572,0.65912
3573,6.08212
3574,0.598
3575,1.32
3576,1.405
3577,0.74045
3578,1.1868
3579,0.53
3580,1.0962
3581,0.576
3582,1.1424
3583,0.9248
3584,0.6895
3585,1.098
3586,1.296
3587,1.296
3588,0.82944
3589,0.49704
3590,0.1695
3591,1.728
3592,0.9
3593,1.4
3594,1.50722
3595,1.4
3596,0.212
3597,3.072
3598,1.285
3599,1.2864
3600,0.768
3601,1.46688
3602,1.27968
3603,7.72499
3604,0.9
3605,1.728
3606,5.184
3607,2.196
3608,0.7839
3609,0.79125
3610,0.84085
3611,0.768
3612,0.4
3613,0.712
3614,1.345
3615,0.768
3616,0.67308
3617,0.8352
3618,1.1925
3619,1.025
3620,0.308
3621,1.7024
3622,1.4304
3623,0.475
3624,1.21828
3625,1.09461
3626,4.0704
3627,0.4192
3628,0.9
3629,2.9088
3630,1.1178
3631,0.676
3632,0.84216
3633,1.365
3634,1.1115
3635,1.599
3636,0.55426
3637,1.218
3638,0.9552
3639,0.3
3640,1.405
3641,1.145
3642,0.501
3643,1.57
3644,2.028
3645,0.43845
3646,0.42875
3647,1.16
3648,1.12
3649,0.6375
3650,0.675
3651,2.1
3652,1.18
3653,1.025
3654,0.39248
3655,2.06973
3656,0.86618
3657,1.8734
3658,1.296
3659,1.728
3660,1.36
3661,1.748
3662,1.375
3663,0.588
3664,1.14042
3665,0.72361
3666,2.022
3667,0.5472
3668,0.576
3669,1.0665
3670,1.296
3671,1.62
3672,1.134
3673,9.216
3674,1.296
3675,2.028
3676,1.1427
3677,0.72772
3678,0.768
3679,1.11
3680,0.972
3681,9.216
3682,0.38924
3683,1.5936
3684,0.784
3685,0.525
3686,1.296
3687,0.39767
3688,1.728
3689,0.7665
3690,0.742
3691,1.10592
3692,0.652
3693,0.625
3694,1.405
3695,1.035
3696,1.055
3697,0.67335
3698,1.192
3699,1.296
3700,1.5
3701,0.475
3702,0.77556
3703,1.4016
3704,1.0704
3705,0.82944
3706,2.304
3707,1.405
3708,0.99372
3709,2.2944
3710,1.2432
3711,0.96657
3712,2.916
3713,0.64386
3714,0.71958
3715,0.77539
3716,1.29368
3717,1.10592
3718,1.196
3719,1.728
3720,0.894
3721,0.768
3722,0.13041
3723,1.44
3724,2.99904
3725,1.8048
3726,0.625
3727,0.60025
3728,2.52
3729,1.2912
3730,1.405
3731,0.5456
3732,0.6357
3733,1.17
3734,0.6832
3735,1.8354
3736,1.296
3737,0.375
3738,0.392
3739,3.48384
3740,0.904
3741,0.192
3742,0.5243
3743,0.588
3744,1.296
3745,1.41
3746,0.4
3747,0.47
3748,0.85408
3749,2.9088
3750,1.2
3751,1.5888
3752,0.768
3753,1.1546
3754,0.9
3755,0.298
3756,1.728
3757,1.0397
3758,0.5148
3759,0.625
3760,1.3248
3761,0.42547
3762,1.968
3763,1.41
3764,1.296
3765,2.46016
3766,1.41
3767,0.984
3768,0.5635
3769,1.728
3770,0.60025
3771,0.525
3772,1.296
3773,1.296
3774,0.7308
3775,2.9088
3776,0.42875
3777,0.768
3778,1.875
3779,4.30592
3780,2.90072
3781,0.84
3782,1.02
3783,1.728
3784,1.0764
3785,1.296
3786,0.44044
3787,0.87465
3788,2.5
3789,0.79424
3790,4.7371
3791,0.9
3792,6.12
3793,0.13041
3794,3.165
3795,1.728
3796,0.625
3797,1.296
3798,0.96
3799,0.88179
3800,1.3104
3801,1.089
3802,0.475
3803,1.26
3804,0.54
3805,1.0496
3806,0.6725
3807,0.768
3808,1.296
3809,1.33764
3810,1.296
3811,0.4067
3812,1.035
3813,1.644
3814,1.39
3815,1.518
3816,1.296
3817,0.912
3818,3.55216
3819,1.728
3820,1.685
3821,0.3904
3822,1.30476
3823,0.7154
3824,3.20875
3825,0.9
3826,1.248
3827,2.97312
3828,2.9088
3829,1.7388
3830,0.465
3831,2.90072
3832,0.4525
3833,0.768
3834,1.405
3835,1.134
3836,0.625
3837,1.0
3838,1.296
3839,0.6025
3840,0.4704
3841,1.51872
3842,1.40219
3843,0.9936
3844,1.065
3845,0.336
3846,1.365
3847,1.5548
3848,0.9248
3849,1.705
3850,1.44
3851,1.296
3852,1.24002
3853,1.0
3854,0.6357
3855,1.39
3856,0.41184
3857,1.405
3858,0.52864
3859,2.4552
3860,6.5952
3861,1.296
3862,1.207
3863,0.768
3864,2.98496
3865,1.296
3866,0.58101
3867,1.0368
3868,1.405
3869,6.48
3870,1.3008
3871,0.44655
3872,1.088
3873,1.077
3874,0.90738
3875,0.5664
3876,4.0812
3877,0.13041
3878,0.4165
3879,1.87974
3880,0.576
3881,0.85598
3882,0.64436
3883,1.666
3884,1.2672
3885,3.185
3886,1.27488
3887,0.90738
3888,0.4836
