,min_entropy
0,5.565103132487152
1,5.494374961947399
2,4.830092106874077
3,5.236593309082268
4,6.857256611547082
5,6.611414860592742
6,6.328064202870736
7,7.667499130009678
8,4.824578115743942
9,4.934001683673766
10,5.3713175464913645
11,6.542453824158844
12,4.846947203851549
13,5.730683563189638
14,5.802800159261666
15,3.7364696643910933
16,4.594391382881885
17,4.942599175414313
18,5.895869593725725
19,5.28526530953434
20,4.146489374020072
21,7.144615261680958
22,7.375660801742988
23,6.759336776034693
24,4.494145380470329
25,6.480293700681707
26,6.257592345484652
27,6.82262054854808
28,7.534879680173764
29,6.576114184665667
30,6.266311819194774
31,3.832021076157368
32,7.741864584838588
33,5.922534206132917
34,4.843688957854173
35,3.4158273567616
36,7.30169988195769
37,7.090807126127159
38,0.004059435099342229
39,5.239077332597664
40,7.251572505341966
41,6.4634412450199275
42,6.737481606769884
43,3.4372289354218486
44,6.904630348031539
45,0.12103150102342634
46,7.120022997619352
47,7.166469819945784
48,4.483505460925821
49,4.032431770365747
50,6.540048354132169
51,4.785421791396444
52,5.767260784333919
53,4.594284715715746
54,6.806583863810751
55,4.978088401973843
56,6.530637643080795
57,7.148352824041751
58,2.200986382497329
59,6.072446597131663
60,7.108518751654282
61,7.0141348302172695
62,6.420974561115051
63,5.68166279370744
64,6.774473795153435
65,4.691747923162585
66,5.970971993351999
67,0.09107383630411939
68,6.23959378661961
69,6.411334589938207
70,6.119316403287164
71,6.436634520287019
72,6.517374663277571
73,5.76829038058155
74,6.836371958303342
75,7.479572599349498
76,6.140716690126006
77,4.040328193641286
78,6.200990842318082
79,6.137786763623233
80,7.31228732786077
81,7.383171832666198
82,6.302387747683373
83,6.945980487058393
84,4.596975963127384
85,7.223499890161062
86,4.640550780576202
87,7.328592770397446
88,5.5239621538700225
89,5.721287569655263
90,7.193650888555451
91,5.813250795498092
92,6.42640605612386
93,7.576312915988654
94,7.552580227723531
95,3.443852784764365
96,7.1412075475409065
97,4.8750891979274105
98,7.064888998187313
99,7.503552486392854
100,7.490801444352761
101,5.997010250081897
102,5.0457087248889945
103,5.7116203769594
104,7.488005984126182
105,4.536422155629712
106,6.291742935157638
107,6.813096909196153
108,6.482829791110452
109,6.652568620759203
110,3.456027531008197
111,7.029895119219652
112,6.024399959670054
113,6.769383031909957
114,7.1604069991375265
115,6.437225858849682
116,6.638128561152209
117,7.68268379273655
118,7.122487065181435
119,5.1849317823454495
120,5.522412911884066
121,7.422549388079044
122,7.2738935100378574
123,7.496153857456777
124,4.904788705602488
125,6.5274096805408
126,5.780804613986028
127,6.698848141725899
128,6.609488669780526
129,6.939786514278308
130,5.717124879295464
131,6.58545675327977
132,4.610643838260707
133,4.370170068704707
134,6.60397172494173
135,6.194284086444241
136,7.205206970961334
137,6.742506958179716
138,6.404428210380073
139,7.32867538606901
140,5.823268292010547
141,6.124705683237126
142,5.711451690266801
143,7.38977317218342
144,2.561497106002262
145,6.518381351430143
146,6.700300992248933
147,7.080561963294804
148,6.496509664922742
149,7.080561963294804
150,6.9122913254413065
151,6.863113427593527
152,2.3109987365137323
153,6.672229490224634
154,7.337139995740953
155,4.954751489003927
156,6.515545415141944
157,7.093139877795016
158,3.727843604269726
159,6.9466328932447645
160,7.312726388587899
161,5.432902577335055
162,7.229580666126443
163,7.751903663644238
164,3.5219228945765044
165,7.733401485213138
166,6.3064236331562515
167,7.478186305853352
168,6.987603821080444
169,6.015231110921484
170,6.807825146262617
171,6.306963924181061
172,6.392456202994882
173,7.047137572242666
174,6.1036544985520065
175,5.85608456876594
176,4.473506814061686
177,5.681390747355875
178,7.6809586215487915
179,7.009058281701657
180,5.772236854355139
181,4.990645979298276
182,7.015400185273467
183,6.145059768463615
184,7.358400371722592
185,5.197178408201583
186,6.861212521105756
187,6.093844436802259
188,6.100573512929563
189,7.59593093834079
190,7.5840657909755835
191,5.51094168684676
192,6.957585296414862
193,5.721572466124211
194,6.274639345779832
195,6.742359519871189
196,7.216974859164544
197,5.76829038058155
198,6.775048055519098
199,7.241732211049253
200,6.4329419528206495
201,7.1604069991375265
202,6.832060046063141
203,6.130475024963422
204,1.126229637738156
205,6.798340138343393
206,5.313324813494816
207,6.582528146714312
208,6.594473068191252
209,6.085523839808915
210,5.355296894238904
211,4.905148876799524
212,2.1631578890460905
213,6.521340060226124
214,4.602285283384679
215,6.627554961071745
216,6.784458447329361
217,6.9139727057120055
218,3.4870378769975394
219,5.538209724627594
220,7.3009275085495515
221,5.407421583623139
222,6.348257268903448
223,5.591213063673453
224,6.44797114747915
225,6.787780904997209
226,6.640600942823545
227,6.515957503083433
228,6.180190755579017
229,6.759086825961856
230,6.21528249757395
231,3.9982768267071767
232,7.305033706053691
233,5.182838622678889
234,6.005232440876589
235,4.871840053126681
236,5.83411017476639
237,3.528146405852579
238,6.410066557660151
239,5.156730382058541
240,7.25100680434703
241,4.400076963773755
242,-0.0
243,7.628945200932844
244,5.851053929410555
245,4.483505460925821
246,7.5694738404022495
247,5.170505550964771
248,6.965766976509446
249,6.1724668028587
250,6.869957260541172
251,9.069045158788839
252,4.824475176126678
253,0.7905647524894751
254,6.2008706427381926
255,6.380267435407754
256,7.742901854909075
257,6.356248038831504
258,4.864478628172291
259,7.602709666150206
260,7.6040672948067005
261,6.340524513347758
262,1.2147066949985013
263,6.3299857212294235
264,5.624798695033918
265,7.4263651085337505
266,6.791190240644731
267,6.273475324924574
268,7.482385785872867
269,5.900953421366609
270,5.205072389200497
271,2.851909778551179
272,4.949625359001627
273,5.057746066146511
274,6.779963862151041
275,0.05357674494751954
276,5.7129792688815435
277,7.128761992767676
278,5.158854885360213
279,4.345429540921731
280,7.300085023967027
281,5.297045767815113
282,7.429332700863407
283,6.87704921676561
284,6.6399198054136255
285,7.4818149867346735
286,0.8702393085249236
287,5.956146570330279
288,7.201730348276081
289,6.807825146262617
290,6.496077511695749
291,6.641257593754151
292,3.390597035144256
293,5.149084735138554
294,6.982145053086115
295,3.940488544772944
296,0.18540183997283427
297,4.438125704213056
298,3.447257317214545
299,4.672473630300755
300,6.506407642950217
301,5.711916924611156
302,6.156226512499676
303,6.134803894687215
304,7.163702530443409
305,7.044767980705039
306,5.680195408138659
