,width
796,245
797,463
798,480
799,500
800,498
801,500
802,250
803,1258
804,300
805,600
806,480
807,700
808,480
809,540
810,400
811,304
812,299
813,400
814,350
815,500
816,160
817,480
818,320
819,300
820,480
821,400
822,260
823,360
824,245
825,540
826,480
827,480
828,225
829,600
830,500
831,309
832,480
833,640
834,480
835,640
836,281
837,320
838,500
839,303
840,500
841,750
842,480
843,448
844,500
845,245
846,392
847,500
848,400
849,240
850,540
851,414
852,245
853,498
854,260
855,400
856,480
857,480
858,480
859,360
860,600
861,480
862,400
863,336
864,480
865,262
866,480
867,500
868,340
869,480
870,600
871,220
872,500
873,500
874,220
875,132
876,500
877,474
878,295
879,1920
880,300
881,500
882,498
883,640
884,500
885,244
886,600
887,500
888,480
889,600
890,499
891,200
892,308
893,360
894,640
895,480
896,220
897,287
898,500
899,300
900,640
901,480
902,413
903,366
904,500
905,160
906,245
907,425
908,344
909,553
910,364
911,354
912,480
913,275
914,458
915,525
916,366
917,294
918,480
919,640
920,294
921,1064
922,250
923,260
924,300
925,320
926,464
927,480
928,540
929,240
930,426
931,500
932,450
933,350
934,499
935,690
936,800
937,385
938,500
939,500
940,312
941,585
942,320
943,480
944,409
945,347
946,343
947,340
948,442
949,327
950,400
951,400
952,500
953,480
954,540
955,480
956,640
957,461
958,604
959,498
960,480
961,480
962,300
963,240
964,200
965,480
966,220
967,480
968,175
969,480
970,200
971,480
972,480
973,480
974,480
975,245
976,640
977,500
978,320
979,540
980,520
981,480
982,500
983,800
984,775
985,480
986,480
987,255
988,480
989,480
990,400
991,512
992,480
993,316
994,400
995,498
996,245
997,468
998,308
999,500
1000,480
1001,503
1002,400
1003,410
1004,500
1005,360
1006,245
1007,560
1008,496
1009,400
1010,500
1011,500
1012,255
1013,400
1014,316
1015,540
1016,480
1017,790
1018,640
1019,480
1020,320
1021,480
1022,480
1023,640
1024,512
1025,400
1026,480
1027,300
1028,640
1029,456
1030,480
1031,280
1032,498
1033,319
1034,480
1035,560
1036,450
1037,228
1038,489
1039,471
1040,640
1041,356
1042,600
1043,480
1044,400
1045,432
1046,500
1047,480
1048,360
1049,400
1050,245
1051,480
1052,500
1053,412
1054,480
1055,500
1056,650
1057,351
1058,360
1059,529
1060,500
1061,775
1062,267
1063,500
1064,720
1065,480
1066,400
1067,480
1068,498
1069,480
1070,680
1071,480
1072,370
1073,280
1074,448
1075,500
1076,320
1077,531
1078,480
1079,600
1080,600
1081,245
1082,400
1083,240
1084,500
1085,480
1086,288
1087,480
1088,266
1089,244
1090,720
1091,300
1092,166
1093,480
1094,348
1095,300
1096,498
1097,600
1098,498
1099,350
1100,220
1101,480
1102,268
1103,640
1104,640
1105,475
1106,335
1107,480
1108,480
1109,268
1110,1000
1111,540
1112,264
1113,480
