,width
2989,500
2990,500
2991,700
2992,508
2993,480
2994,346
2995,500
2996,452
2997,870
2998,500
2999,400
3000,320
3001,480
3002,376
3003,373
3004,420
3005,500
3006,480
3007,388
3008,500
3009,320
3010,336
3011,235
3012,440
3013,320
3014,540
3015,480
3016,500
3017,490
3018,480
3019,200
3020,480
3021,480
3022,218
3023,360
3024,206
3025,480
3026,500
3027,480
3028,480
3029,400
3030,541
3031,243
3032,380
3033,480
3034,330
3035,282
3036,742
3037,500
3038,161
3039,600
3040,360
3041,290
3042,390
3043,320
3044,250
3045,500
3046,427
3047,480
3048,240
3049,1984
3050,200
3051,320
3052,480
3053,720
3054,245
3055,340
3056,300
3057,360
3058,396
3059,400
3060,200
3061,320
3062,700
3063,200
3064,500
3065,480
3066,400
3067,960
3068,400
3069,480
3070,240
3071,400
3072,480
3073,480
3074,332
3075,320
3076,720
3077,480
3078,320
3079,500
3080,294
3081,320
3082,200
3083,500
3084,728
3085,480
3086,640
3087,250
3088,600
3089,500
3090,250
3091,380
3092,499
3093,244
3094,480
3095,403
3096,500
3097,300
3098,245
3099,499
3100,500
3101,654
3102,433
3103,380
3104,480
3105,500
3106,246
3107,450
3108,245
3109,480
3110,400
3111,480
3112,450
3113,245
3114,700
3115,245
3116,315
3117,320
3118,400
3119,500
3120,615
3121,400
3122,360
3123,276
3124,500
3125,480
3126,340
3127,480
3128,245
3129,320
3130,317
3131,282
3132,720
3133,300
3134,320
3135,250
3136,540
3137,480
3138,500
3139,245
3140,400
3141,248
3142,400
3143,480
3144,500
3145,560
3146,491
3147,800
3148,299
3149,480
3150,244
3151,500
3152,245
3153,200
3154,640
3155,700
3156,500
3157,640
3158,450
3159,427
3160,480
3161,400
3162,400
3163,356
3164,390
3165,540
3166,320
3167,343
3168,508
3169,320
3170,245
3171,400
3172,245
3173,499
3174,350
3175,453
3176,350
3177,500
3178,480
3179,540
3180,640
3181,498
3182,358
3183,460
3184,480
3185,400
3186,245
3187,296
3188,480
3189,640
3190,450
3191,245
3192,320
3193,247
3194,600
3195,500
3196,600
3197,480
3198,400
3199,236
3200,443
3201,478
3202,341
3203,393
3204,312
3205,243
3206,720
3207,480
3208,720
3209,474
3210,596
3211,480
3212,355
3213,500
3214,320
3215,245
3216,480
3217,500
3218,480
3219,400
3220,500
3221,374
3222,245
3223,480
3224,480
3225,480
3226,320
3227,640
3228,308
3229,480
3230,500
3231,460
3232,280
3233,480
3234,245
3235,480
3236,240
3237,500
3238,320
3239,494
3240,416
3241,244
3242,320
3243,444
3244,300
3245,618
3246,200
3247,205
3248,370
3249,287
3250,210
3251,300
3252,340
3253,480
3254,480
3255,250
3256,435
3257,500
3258,430
3259,480
3260,296
3261,282
3262,585
3263,640
3264,475
3265,500
3266,250
3267,853
3268,1310
3269,480
3270,300
3271,350
3272,480
3273,800
3274,400
3275,292
3276,440
3277,480
3278,333
3279,322
3280,480
3281,290
3282,160
3283,686
3284,720
3285,372
3286,479
3287,480
3288,720
3289,426
3290,390
3291,480
3292,200
3293,480
3294,268
3295,245
3296,500
3297,1068
3298,800
3299,500
3300,480
3301,480
3302,453
3303,480
3304,500
3305,250
3306,499
3307,540
3308,480
3309,266
3310,245
3311,245
3312,384
3313,406
3314,500
3315,634
3316,600
3317,200
3318,161
3319,541
3320,480
3321,480
3322,195
3323,511
3324,400
3325,337
3326,728
3327,480
3328,626
3329,160
3330,460
3331,480
3332,545
3333,500
3334,500
3335,500
3336,480
3337,500
3338,300
3339,428
3340,640
3341,320
3342,480
3343,260
3344,400
3345,249
3346,500
3347,245
3348,700
3349,400
3350,480
3351,400
3352,245
3353,400
3354,414
3355,320
3356,320
3357,462
3358,480
3359,500
3360,500
3361,500
3362,365
3363,500
3364,500
3365,480
3366,341
3367,260
3368,245
3369,481
3370,480
3371,465
3372,368
3373,368
3374,189
3375,500
3376,600
3377,320
3378,177
3379,728
3380,500
3381,500
3382,400
3383,320
3384,200
3385,500
3386,500
3387,500
3388,350
3389,400
3390,282
3391,288
3392,220
3393,346
3394,750
3395,161
3396,500
3397,200
3398,500
3399,433
3400,176
3401,245
3402,960
3403,500
3404,480
3405,294
3406,480
3407,320
3408,1920
3409,446
3410,480
3411,400
3412,360
3413,1280
3414,500
3415,312
3416,500
3417,474
3418,450
3419,500
3420,555
3421,270
3422,512
3423,300
3424,624
3425,480
3426,720
3427,386
3428,270
3429,478
3430,300
3431,530
3432,294
3433,200
3434,400
3435,500
3436,288
3437,500
3438,415
3439,500
3440,439
3441,245
3442,480
3443,500
3444,560
3445,480
3446,438
3447,250
3448,1920
3449,1920
3450,720
3451,600
3452,480
3453,497
3454,400
3455,320
3456,480
3457,240
3458,250
3459,500
3460,300
3461,500
3462,433
3463,1280
3464,349
3465,400
3466,500
3467,500
3468,550
3469,584
3470,500
3471,400
3472,500
3473,452
3474,245
3475,694
3476,320
3477,448
3478,500
3479,480
3480,455
3481,472
3482,200
3483,200
3484,250
3485,500
3486,600
3487,200
3488,400
3489,245
3490,600
3491,400
3492,720
3493,400
3494,640
3495,320
3496,487
3497,359
3498,458
3499,475
3500,556
3501,470
3502,480
3503,274
3504,200
3505,480
3506,331
3507,244
3508,500
3509,480
3510,331
3511,245
3512,320
3513,300
3514,480
3515,160
3516,400
3517,245
3518,502
3519,760
3520,500
3521,180
3522,500
3523,250
3524,444
3525,320
3526,500
3527,600
3528,500
3529,660
3530,320
3531,500
3532,500
3533,500
3534,300
3535,500
3536,245
3537,500
3538,250
3539,480
3540,400
3541,320
3542,400
3543,530
3544,245
3545,400
3546,446
3547,336
3548,320
3549,500
3550,200
3551,320
3552,500
3553,316
3554,161
3555,480
3556,250
3557,528
3558,303
3559,480
3560,480
3561,500
3562,300
3563,720
3564,540
3565,240
3566,550
3567,496
3568,200
3569,480
3570,480
3571,400
3572,308
3573,1012
3574,299
3575,480
3576,500
3577,251
3578,460
3579,265
3580,420
3581,320
3582,480
3583,320
3584,350
3585,450
3586,480
3587,480
3588,384
3589,218
3590,150
3591,480
3592,400
3593,500
3594,374
3595,400
3596,200
3597,640
3598,500
3599,480
3600,400
3601,384
3602,496
3603,1183
3604,400
3605,480
3606,720
3607,600
3608,402
3609,375
3610,335
3611,320
3612,200
3613,356
3614,500
3615,320
3616,316
3617,320
3618,450
3619,500
3620,200
3621,640
3622,480
3623,250
3624,532
3625,341
3626,480
3627,320
3628,300
3629,720
3630,460
3631,400
3632,242
3633,500
3634,450
3635,533
3636,259
3637,406
3638,480
3639,200
3640,500
3641,500
3642,300
3643,500
3644,600
3645,237
3646,245
3647,500
3648,448
3649,375
3650,300
3651,500
3652,500
3653,500
3654,223
3655,549
3656,269
3657,580
3658,480
3659,480
3660,500
3661,575
3662,500
3663,245
3664,498
3665,269
3666,600
3667,240
3668,320
3669,395
3670,480
3671,360
3672,450
3673,1280
3674,480
3675,600
3676,390
3677,322
3678,320
3679,250
3680,360
3681,1280
3682,263
3683,498
3684,280
3685,250
3686,480
3687,247
3688,400
3689,350
3690,371
3691,384
3692,400
3693,250
3694,500
3695,500
3696,500
3697,335
3698,400
3699,480
3700,600
3701,250
3702,276
3703,480
3704,446
3705,384
3706,480
3707,500
3708,338
3709,480
3710,480
3711,319
3712,720
3713,294
3714,358
3715,371
3716,412
3717,288
3718,460
3719,480
3720,300
3721,320
3722,161
3723,480
3724,852
3725,320
3726,250
3727,245
3728,720
3729,480
3730,500
3731,248
3732,390
3733,500
3734,280
3735,665
3736,480
3737,250
3738,245
3739,912
3740,400
3741,160
3742,245
3743,280
3744,480
3745,500
3746,200
3747,250
3748,314
3749,720
3750,500
3751,480
3752,320
3753,460
3754,400
3755,200
3756,480
3757,370
3758,260
3759,250
3760,480
3761,271
3762,600
3763,500
3764,480
3765,496
3766,500
3767,480
3768,245
3769,480
3770,245
3771,250
3772,480
3773,480
3774,360
3775,720
3776,245
3777,320
3778,500
3779,928
3780,718
3781,336
3782,500
3783,480
3784,299
3785,480
3786,242
3787,343
3788,500
3789,292
3790,635
3791,400
3792,1200
3793,161
3794,750
3795,480
3796,250
3797,480
3798,480
3799,399
3800,480
3801,363
3802,250
3803,500
3804,300
3805,410
3806,250
3807,320
3808,480
3809,426
3810,480
3811,245
3812,500
3813,600
3814,500
3815,600
3816,480
3817,400
3818,596
3819,480
3820,500
3821,320
3822,498
3823,245
3824,755
3825,400
3826,480
3827,652
3828,720
3829,460
3830,250
3831,718
3832,250
3833,320
3834,500
3835,540
3836,250
3837,500
3838,480
3839,250
3840,240
3841,448
3842,499
3843,432
3844,500
3845,200
3846,500
3847,460
3848,320
3849,550
3850,480
3851,480
3852,498
3853,500
3854,390
3855,500
3856,234
3857,500
3858,236
3859,660
3860,960
3861,480
3862,425
3863,320
3864,848
3865,480
3866,321
3867,480
3868,500
3869,720
3870,480
3871,195
3872,425
3873,359
3874,426
3875,320
3876,895
3877,161
3878,245
3879,531
3880,320
3881,337
3882,356
3883,476
3884,480
3885,700
3886,498
3887,426
3888,260
3889,500
3890,480
3891,315
3892,325
3893,648
3894,352
3895,245
3896,200
3897,320
3898,446
3899,300
3900,480
3901,664
3902,245
3903,320
3904,664
3905,500
3906,161
3907,690
3908,480
3909,360
3910,450
3911,480
3912,480
3913,500
3914,600
3915,150
3916,500
3917,480
3918,475
3919,600
3920,477
3921,500
3922,480
3923,320
3924,490
3925,500
3926,500
3927,480
3928,540
3929,480
3930,200
3931,680
3932,360
3933,480
3934,720
3935,370
3936,500
3937,360
3938,480
3939,600
3940,450
3941,480
3942,167
3943,256
3944,560
3945,320
3946,400
3947,330
3948,173
3949,480
3950,250
3951,300
3952,362
3953,498
3954,370
3955,640
3956,400
3957,600
3958,161
3959,500
3960,500
3961,245
3962,400
3963,300
3964,320
3965,480
3966,307
3967,245
3968,500
3969,503
3970,245
3971,300
3972,480
3973,480
3974,969
3975,500
3976,500
3977,200
3978,496
3979,500
3980,285
3981,248
3982,495
3983,245
3984,215
3985,426
3986,480
3987,534
3988,600
3989,300
3990,500
3991,480
3992,320
3993,600
3994,450
3995,397
3996,350
3997,500
3998,210
3999,400
4000,692
4001,325
4002,350
4003,500
4004,230
4005,1600
4006,600
4007,832
4008,384
4009,480
4010,175
4011,200
4012,245
4013,400
4014,280
4015,500
4016,500
4017,600
4018,480
4019,326
4020,502
4021,500
4022,444
4023,500
4024,500
4025,320
4026,458
4027,512
4028,500
4029,300
4030,500
4031,500
4032,320
4033,500
4034,666
4035,854
4036,478
4037,500
4038,500
4039,500
4040,370
4041,320
4042,356
4043,500
4044,400
4045,245
4046,500
4047,500
4048,800
4049,350
4050,480
4051,480
4052,245
4053,500
4054,500
4055,400
4056,400
4057,500
4058,130
4059,300
4060,300
4061,750
4062,480
4063,320
4064,495
4065,245
4066,640
4067,480
4068,620
4069,300
4070,320
4071,312
4072,374
4073,295
4074,254
4075,636
4076,500
4077,720
4078,500
4079,640
4080,720
4081,500
4082,400
4083,720
4084,320
4085,307
4086,411
4087,660
4088,341
4089,450
4090,500
4091,570
4092,600
4093,250
4094,288
4095,245
4096,480
4097,350
4098,360
4099,448
4100,500
4101,480
4102,245
4103,480
4104,245
4105,397
4106,232
4107,636
4108,640
4109,529
4110,500
4111,445
4112,480
4113,500
4114,400
4115,300
4116,500
4117,408
4118,490
4119,500
4120,500
4121,240
4122,320
4123,600
4124,720
4125,320
4126,359
4127,400
4128,250
4129,640
4130,400
4131,500
4132,224
4133,230
4134,276
4135,600
4136,530
4137,235
4138,500
4139,343
4140,235
4141,400
4142,264
4143,1280
4144,161
4145,340
4146,500
4147,1280
4148,1280
4149,447
4150,480
4151,362
4152,270
4153,245
4154,500
4155,480
4156,500
4157,420
4158,550
4159,500
4160,480
4161,450
4162,320
4163,320
4164,295
4165,520
4166,305
4167,530
4168,720
4169,480
4170,500
4171,360
4172,386
4173,450
4174,443
4175,500
4176,300
4177,498
4178,500
4179,245
4180,275
4181,330
4182,450
4183,300
4184,450
4185,300
4186,351
4187,435
4188,415
4189,498
4190,540
4191,590
4192,380
4193,450
4194,331
4195,224
4196,380
4197,512
4198,323
4199,161
4200,798
4201,200
4202,720
4203,490
4204,640
4205,499
4206,350
4207,800
4208,466
4209,720
4210,250
4211,320
4212,300
4213,200
4214,480
4215,300
4216,450
4217,400
4218,161
4219,400
4220,500
4221,480
4222,500
4223,374
4224,480
4225,405
4226,245
4227,450
4228,400
4229,408
4230,500
4231,768
4232,400
4233,239
4234,298
4235,400
4236,255
4237,320
4238,690
4239,408
4240,384
4241,480
4242,245
4243,500
4244,345
4245,259
4246,415
4247,320
4248,245
4249,500
4250,210
4251,500
4252,345
4253,331
4254,400
4255,353
4256,500
4257,400
4258,460
4259,320
4260,500
4261,320
4262,400
4263,1000
4264,500
4265,245
4266,245
4267,400
4268,200
4269,500
4270,240
4271,500
4272,500
4273,372
4274,648
4275,161
4276,500
4277,480
4278,320
4279,200
4280,418
4281,400
4282,500
4283,487
4284,600
4285,500
4286,480
4287,319
4288,480
4289,161
4290,161
4291,161
4292,161
4293,161
4294,161
4295,161
4296,480
4297,245
4298,300
4299,400
4300,365
4301,245
4302,220
4303,426
4304,500
4305,260
4306,400
4307,400
4308,800
4309,480
4310,480
4311,352
4312,500
4313,498
4314,400
4315,269
4316,450
4317,490
4318,480
4319,245
4320,350
4321,350
4322,720
4323,190
4324,500
4325,440
4326,512
4327,480
4328,367
4329,440
4330,480
4331,500
4332,500
4333,161
4334,365
4335,229
4336,500
4337,480
4338,307
4339,512
4340,200
4341,320
4342,325
4343,200
4344,231
4345,500
4346,480
4347,360
4348,320
4349,320
4350,720
4351,200
4352,500
4353,320
4354,1000
4355,167
4356,161
4357,480
4358,500
4359,480
4360,581
4361,500
4362,500
4363,480
4364,640
4365,480
4366,800
4367,352
4368,250
4369,476
4370,615
4371,500
4372,480
4373,700
4374,290
4375,320
4376,480
4377,360
4378,300
4379,500
4380,480
4381,500
4382,1280
4383,161
4384,540
4385,400
4386,500
4387,245
4388,320
4389,500
4390,400
4391,320
4392,220
4393,320
4394,500
4395,500
4396,1142
4397,400
4398,480
4399,480
4400,480
4401,316
4402,720
4403,500
4404,245
4405,320
4406,245
4407,380
4408,203
4409,480
4410,480
4411,500
4412,481
4413,400
4414,199
4415,370
4416,400
4417,320
4418,500
4419,500
4420,161
4421,300
4422,500
4423,250
4424,500
4425,320
4426,317
4427,500
4428,500
4429,960
4430,454
4431,500
4432,480
4433,500
4434,250
4435,175
4436,472
4437,360
4438,450
4439,497
4440,175
4441,960
4442,500
4443,469
4444,500
4445,500
4446,480
4447,480
4448,480
4449,175
4450,410
4451,300
4452,267
4453,453
4454,500
4455,161
4456,500
4457,320
4458,350
4459,370
4460,400
4461,500
4462,200
4463,500
4464,320
4465,600
4466,500
4467,500
4468,320
4469,245
4470,280
4471,400
4472,500
4473,307
4474,360
4475,441
4476,300
4477,300
4478,480
4479,480
4480,320
4481,219
4482,176
4483,500
4484,247
4485,480
4486,426
4487,640
4488,632
4489,300
4490,557
4491,650
4492,280
4493,303
4494,300
4495,640
4496,260
4497,356
4498,384
4499,294
4500,500
4501,540
4502,540
4503,480
4504,209
4505,349
4506,720
4507,320
4508,500
4509,420
4510,500
4511,315
4512,359
4513,400
4514,400
4515,200
4516,439
4517,357
4518,640
4519,218
4520,250
4521,480
4522,480
4523,360
4524,720
4525,480
4526,480
4527,400
4528,480
4529,425
4530,360
4531,370
4532,500
4533,245
4534,321
4535,290
4536,500
4537,335
4538,718
4539,25
4540,200
4541,370
4542,161
4543,500
4544,480
4545,500
4546,450
4547,480
4548,374
4549,320
4550,350
4551,400
4552,300
4553,480
4554,349
4555,369
4556,450
4557,500
4558,580
4559,720
4560,293
4561,454
4562,295
4563,500
4564,500
4565,161
4566,217
4567,160
4568,512
4569,346
4570,480
4571,500
4572,356
4573,161
4574,280
4575,480
4576,300
4577,300
4578,235
4579,161
4580,282
4581,320
4582,500
4583,500
4584,610
4585,449
4586,480
4587,300
4588,180
4589,245
4590,430
4591,400
4592,184
4593,449
4594,480
4595,320
4596,422
4597,448
4598,386
4599,161
4600,400
4601,350
4602,640
4603,600
4604,500
4605,400
4606,500
4607,480
4608,244
4609,209
4610,350
4611,245
4612,200
4613,440
4614,388
4615,480
4616,600
4617,460
4618,499
4619,761
4620,625
4621,372
4622,480
4623,480
4624,245
4625,600
4626,400
4627,960
4628,175
4629,175
4630,550
4631,500
4632,380
4633,483
4634,230
4635,532
4636,336
4637,328
4638,400
4639,576
4640,400
4641,500
4642,415
4643,245
4644,318
4645,480
4646,200
4647,500
4648,300
4649,295
4650,500
4651,300
4652,490
4653,1000
4654,480
4655,175
4656,200
4657,500
4658,450
4659,640
4660,335
4661,161
4662,320
4663,300
4664,451
4665,341
4666,400
4667,320
4668,587
4669,269
4670,500
4671,500
4672,362
4673,360
4674,245
4675,718
4676,200
4677,500
4678,250
4679,316
4680,288
4681,400
4682,500
4683,298
4684,750
4685,475
4686,400
4687,245
4688,300
4689,305
4690,300
4691,500
4692,245
4693,500
4694,430
4695,480
4696,400
4697,581
4698,144
4699,300
4700,235
4701,837
4702,161
4703,480
4704,480
4705,360
4706,480
4707,480
4708,500
4709,316
4710,450
4711,524
4712,500
4713,256
4714,581
4715,230
4716,500
4717,900
4718,640
4719,356
4720,400
4721,720
4722,384
4723,300
4724,456
4725,360
4726,300
4727,400
4728,480
4729,245
4730,245
4731,400
4732,250
4733,480
4734,240
4735,500
4736,448
4737,480
4738,350
4739,500
4740,200
4741,1044
4742,400
4743,500
4744,488
4745,500
4746,640
4747,500
4748,433
4749,161
4750,500
4751,360
4752,600
4753,245
4754,245
4755,480
4756,512
4757,600
4758,467
4759,397
4760,400
4761,500
4762,500
4763,500
4764,560
4765,533
4766,320
4767,350
4768,161
4769,500
4770,225
4771,400
4772,480
4773,690
4774,500
4775,294
4776,200
4777,360
4778,500
4779,500
4780,480
4781,500
4782,500
4783,200
4784,255
4785,400
4786,240
4787,480
4788,400
4789,695
4790,303
4791,243
4792,600
4793,250
4794,360
4795,410
4796,300
4797,400
4798,500
4799,448
4800,640
4801,161
4802,500
4803,640
4804,500
4805,350
4806,272
4807,500
4808,400
4809,266
4810,400
4811,400
4812,512
4813,474
4814,500
4815,320
4816,390
4817,600
4818,500
4819,320
4820,500
4821,353
4822,250
4823,435
4824,500
4825,480
4826,194
4827,500
4828,480
4829,533
4830,400
4831,403
4832,161
4833,718
4834,249
4835,500
4836,158
4837,287
4838,312
4839,500
4840,205
4841,500
4842,480
4843,272
4844,228
4845,500
4846,161
4847,400
4848,500
4849,520
4850,500
4851,338
4852,500
4853,700
4854,475
4855,500
4856,480
4857,500
4858,161
4859,255
4860,424
4861,448
4862,444
4863,500
4864,650
4865,500
4866,720
4867,240
4868,500
4869,636
4870,245
4871,512
4872,398
4873,175
4874,500
4875,480
4876,400
4877,456
4878,500
4879,640
4880,312
4881,186
4882,193
4883,500
4884,600
4885,165
4886,500
4887,450
4888,400
4889,300
4890,500
4891,280
4892,161
4893,400
4894,300
4895,500
4896,500
4897,300
4898,250
4899,480
4900,299
4901,500
4902,229
4903,426
4904,500
4905,450
4906,253
4907,209
4908,275
4909,251
4910,320
4911,701
4912,335
4913,480
4914,400
4915,720
4916,300
4917,400
4918,500
4919,480
4920,300
4921,500
4922,250
4923,360
4924,480
4925,500
4926,390
4927,1280
4928,269
4929,400
4930,430
4931,330
4932,600
4933,350
4934,825
4935,610
4936,500
4937,245
4938,500
4939,295
4940,493
4941,435
4942,550
4943,405
4944,161
4945,200
4946,304
4947,718
4948,600
4949,300
4950,398
4951,320
4952,480
4953,400
4954,610
4955,400
4956,346
4957,280
4958,331
4959,500
4960,300
4961,200
4962,245
4963,690
4964,500
4965,580
4966,500
4967,500
4968,161
4969,240
4970,200
4971,640
4972,500
4973,440
4974,834
4975,640
4976,437
4977,403
4978,500
4979,480
4980,500
4981,597
4982,380
4983,161
4984,300
4985,512
4986,282
4987,320
4988,245
4989,500
4990,440
4991,160
4992,235
4993,500
4994,375
4995,500
4996,230
4997,232
4998,643
4999,300
5000,400
5001,200
5002,500
5003,384
5004,437
5005,245
5006,185
5007,500
5008,629
5009,297
5010,500
5011,500
5012,240
5013,250
5014,300
5015,400
5016,370
5017,500
5018,373
5019,400
5020,384
5021,161
5022,350
5023,320
5024,300
5025,500
5026,640
5027,500
5028,250
5029,400
5030,300
5031,294
5032,500
5033,400
5034,471
5035,288
5036,717
5037,260
5038,320
5039,342
5040,500
5041,400
5042,374
5043,500
5044,161
5045,161
5046,500
5047,594
5048,330
5049,480
5050,360
5051,500
5052,500
5053,161
5054,331
5055,640
5056,404
5057,206
5058,260
5059,300
5060,499
5061,400
5062,440
5063,500
5064,245
5065,320
5066,448
5067,500
5068,466
5069,500
5070,480
5071,390
5072,240
5073,161
5074,400
5075,550
5076,400
5077,500
5078,320
5079,379
5080,600
5081,480
5082,500
5083,250
5084,480
5085,500
5086,350
5087,415
5088,370
5089,177
5090,255
5091,400
5092,500
5093,500
5094,414
5095,320
5096,500
5097,295
5098,500
5099,499
5100,480
5101,360
5102,400
5103,650
5104,500
5105,264
5106,640
5107,200
5108,402
5109,500
5110,325
5111,275
5112,167
5113,389
5114,715
5115,175
5116,500
5117,200
5118,636
5119,225
5120,200
5121,350
5122,410
5123,450
5124,250
5125,300
5126,359
5127,245
5128,320
5129,319
5130,375
5131,250
5132,245
5133,283
5134,245
5135,260
5136,500
5137,640
5138,720
5139,305
5140,320
5141,500
5142,180
5143,768
5144,384
5145,600
5146,426
5147,300
5148,500
5149,160
5150,175
5151,480
5152,700
5153,400
5154,500
5155,350
5156,452
5157,450
5158,500
5159,360
5160,480
5161,400
5162,402
5163,200
5164,500
5165,425
5166,268
5167,320
5168,400
5169,480
5170,359
5171,600
5172,245
5173,290
5174,500
5175,300
5176,245
5177,600
5178,400
5179,200
5180,582
5181,500
5182,240
5183,316
5184,720
5185,300
5186,202
5187,400
5188,320
5189,480
5190,450
5191,200
5192,464
5193,640
5194,320
5195,495
5196,312
5197,500
5198,300
5199,161
5200,283
5201,360
5202,300
5203,409
5204,1232
5205,718
5206,430
5207,320
5208,500
5209,600
5210,300
5211,500
5212,500
5213,213
5214,500
5215,500
5216,480
5217,235
5218,250
5219,500
5220,500
5221,337
5222,210
5223,480
5224,414
5225,222
5226,360
5227,400
5228,400
5229,500
5230,618
5231,500
5232,480
5233,400
5234,267
5235,240
5236,450
5237,320
5238,347
5239,480
5240,371
5241,382
5242,220
5243,575
5244,320
5245,480
5246,472
5247,500
5248,300
5249,480
5250,250
5251,319
5252,161
5253,353
5254,266
5255,225
5256,295
5257,600
5258,512
5259,500
5260,500
5261,400
5262,262
5263,988
5264,444
5265,120
5266,500
5267,500
5268,480
5269,359
5270,400
5271,480
5272,474
5273,480
5274,320
5275,500
5276,500
5277,500
5278,300
5279,500
5280,316
5281,464
5282,718
5283,473
5284,285
5285,282
5286,267
5287,400
5288,548
5289,400
5290,478
5291,500
5292,356
5293,320
5294,625
5295,480
5296,1000
5297,245
5298,800
5299,500
5300,307
5301,350
5302,415
5303,600
5304,500
5305,500
5306,300
5307,475
5308,499
5309,610
5310,250
5311,161
5312,500
5313,400
5314,480
5315,350
5316,215
5317,246
5318,400
5319,400
5320,343
5321,400
5322,640
5323,718
5324,283
5325,400
5326,640
5327,245
5328,350
5329,960
5330,474
5331,383
5332,403
5333,500
5334,500
5335,400
5336,533
5337,400
5338,390
5339,400
5340,261
5341,472
5342,237
5343,640
5344,161
5345,234
5346,480
5347,320
5348,320
5349,512
5350,360
5351,350
5352,500
5353,500
5354,400
5355,250
5356,260
5357,401
5358,500
5359,499
5360,500
5361,335
5362,430
5363,260
5364,245
5365,400
5366,320
5367,161
5368,500
5369,458
5370,300
5371,520
5372,500
5373,500
5374,500
5375,500
5376,213
5377,320
5378,249
5379,300
5380,450
5381,400
5382,300
5383,503
5384,400
5385,573
5386,600
5387,480
5388,400
5389,300
5390,400
5391,400
5392,500
5393,480
5394,480
5395,344
5396,250
5397,280
5398,480
5399,280
5400,350
5401,500
5402,450
5403,500
5404,400
5405,504
5406,377
5407,370
5408,200
5409,400
5410,286
5411,161
5412,450
5413,380
5414,640
5415,300
5416,343
5417,298
5418,548
5419,320
5420,500
5421,480
5422,300
5423,320
5424,500
5425,959
5426,343
5427,380
5428,161
5429,320
5430,161
5431,324
5432,300
5433,312
5434,807
5435,161
5436,161
5437,500
5438,250
5439,320
5440,420
5441,328
5442,600
5443,271
5444,500
5445,634
5446,320
5447,400
5448,391
5449,200
5450,300
5451,439
5452,500
5453,320
5454,320
5455,500
5456,446
5457,400
5458,308
5459,500
5460,245
5461,500
5462,718
5463,245
5464,320
5465,250
5466,245
5467,320
5468,324
5469,280
5470,500
5471,350
5472,500
5473,500
5474,500
5475,333
5476,850
5477,245
5478,500
5479,425
5480,245
5481,300
5482,244
5483,480
5484,450
5485,300
5486,235
5487,480
5488,626
5489,720
5490,720
5491,710
5492,650
5493,350
5494,318
5495,617
5496,161
5497,464
5498,500
5499,500
5500,500
5501,300
5502,500
5503,320
5504,478
5505,600
5506,390
5507,380
5508,400
5509,245
5510,200
5511,575
5512,384
5513,425
5514,500
5515,485
5516,636
5517,500
5518,500
5519,285
5520,600
5521,583
5522,200
5523,500
5524,282
5525,500
5526,400
5527,500
5528,360
5529,300
5530,400
5531,480
5532,350
5533,365
5534,255
5535,380
5536,272
5537,370
5538,359
5539,359
5540,260
5541,400
5542,400
5543,400
5544,610
5545,725
5546,350
5547,420
5548,215
5549,400
5550,718
5551,500
5552,450
5553,472
5554,499
5555,500
5556,245
5557,480
5558,322
5559,478
5560,350
5561,150
5562,368
5563,960
5564,320
5565,360
5566,500
5567,475
5568,245
5569,320
5570,450
5571,500
5572,540
5573,400
5574,375
5575,477
5576,400
5577,600
5578,376
5579,400
5580,320
5581,372
5582,235
5583,356
5584,500
5585,575
5586,240
5587,337
5588,500
5589,426
5590,296
5591,250
5592,500
5593,320
5594,500
5595,500
5596,550
5597,359
5598,328
5599,350
5600,295
5601,318
5602,320
5603,499
5604,400
5605,300
5606,347
5607,360
5608,500
5609,500
5610,480
5611,450
5612,139
5613,600
5614,500
5615,400
5616,400
5617,226
5618,530
5619,512
5620,365
5621,500
5622,556
5623,490
5624,359
5625,400
5626,537
5627,530
5628,308
5629,300
5630,430
5631,550
5632,319
5633,656
5634,388
5635,320
5636,288
5637,245
5638,258
5639,500
5640,500
5641,500
5642,400
5643,500
5644,161
5645,500
5646,500
5647,400
5648,500
5649,499
5650,500
5651,350
5652,474
5653,500
5654,500
5655,500
5656,400
5657,400
5658,250
5659,300
5660,608
5661,320
5662,160
5663,335
5664,300
5665,255
5666,400
5667,320
5668,381
5669,160
5670,500
5671,468
5672,390
5673,450
5674,425
5675,380
5676,300
5677,320
5678,500
5679,500
5680,161
5681,545
5682,450
5683,500
5684,512
5685,390
5686,500
5687,640
5688,250
5689,976
5690,320
5691,500
5692,355
5693,420
5694,245
5695,294
5696,500
5697,217
5698,406
5699,161
5700,250
5701,161
5702,250
5703,320
5704,319
5705,320
5706,960
5707,375
5708,320
5709,161
5710,640
5711,700
5712,240
5713,640
5714,500
5715,200
5716,400
5717,728
5718,500
5719,682
5720,500
5721,300
5722,480
5723,400
5724,460
5725,494
5726,480
5727,400
5728,260
5729,300
5730,450
5731,533
5732,320
5733,300
5734,296
5735,400
5736,400
5737,256
5738,500
5739,320
5740,500
5741,175
5742,245
5743,303
