,frames_duration
530,156.0
531,38.0
532,189.0
533,66.0
534,41.0
535,157.0
536,21.0
537,195.0
538,60.0
539,61.0
540,46.0
541,32.0
542,58.0
543,52.0
544,15.0
545,23.0
546,30.0
547,108.0
548,46.0
549,11.0
550,43.0
551,57.0
552,31.0
553,64.0
554,18.0
555,154.0
556,40.0
557,40.0
558,59.0
559,42.0
560,31.0
561,21.0
562,82.0
563,41.0
564,18.0
565,73.0
566,140.0
567,73.0
568,713.0
569,133.0
570,73.0
571,44.0
572,61.0
573,17.0
574,78.0
575,174.0
576,95.0
577,15.0
578,9.0
579,14.0
580,6.0
581,121.0
582,26.0
583,54.0
584,70.0
585,85.0
586,60.0
587,141.0
588,98.0
589,20.0
590,250.0
591,108.0
592,131.0
593,44.0
594,60.0
595,18.0
596,89.0
597,22.0
598,95.0
599,59.0
600,103.0
601,46.0
602,16.0
603,49.0
604,34.0
605,82.0
606,36.0
607,22.0
608,52.0
609,28.0
610,99.0
611,87.0
612,39.0
613,116.0
614,47.0
615,28.0
616,30.0
617,74.0
618,36.0
619,13.0
620,55.0
621,18.0
622,68.0
623,182.0
624,77.0
625,62.0
626,64.0
627,35.0
628,124.0
629,155.0
630,39.0
631,21.0
632,17.0
633,94.0
634,102.0
635,29.0
636,62.0
637,18.0
638,113.0
639,28.0
640,36.0
641,455.0
642,29.0
643,25.0
644,196.0
645,27.0
646,66.0
647,58.0
648,26.0
649,36.0
650,242.0
651,21.0
652,27.0
653,164.0
654,24.0
655,44.0
656,41.0
657,41.0
658,50.0
659,45.0
660,37.0
661,30.0
662,123.0
663,23.0
664,30.0
665,135.0
666,42.0
667,19.0
668,30.0
669,65.0
670,91.0
671,79.0
672,52.0
673,27.0
674,42.0
675,46.0
676,48.0
677,9.0
678,268.0
679,25.0
680,20.0
681,164.0
682,24.0
683,72.0
684,61.0
685,173.0
686,82.0
687,14.0
688,78.0
689,24.0
690,97.0
691,26.0
692,99.0
693,47.0
694,18.0
695,75.0
696,104.0
697,20.0
698,56.0
699,18.0
700,79.0
701,24.0
702,55.0
703,163.0
704,20.0
705,82.0
706,24.0
707,24.0
708,101.0
709,70.0
710,42.0
711,36.0
712,90.0
713,37.0
714,57.0
715,149.0
716,40.0
717,44.0
718,12.0
719,4.0
720,17.0
721,71.0
722,117.0
723,59.0
724,28.0
725,191.0
726,41.0
727,25.0
728,38.0
729,97.0
730,30.0
731,11.0
732,88.0
733,101.0
734,16.0
735,146.0
736,25.0
737,50.0
738,33.0
739,48.0
740,36.0
741,40.0
742,60.0
743,31.0
744,41.0
745,86.0
746,30.0
747,23.0
748,24.0
749,250.0
750,62.0
751,40.0
752,24.0
753,41.0
754,173.0
755,140.0
756,26.0
757,80.0
758,34.0
759,42.0
760,19.0
761,23.0
762,20.0
763,36.0
764,15.0
765,18.0
766,25.0
767,-9.223372036854776e+18
768,25.0
769,37.0
770,74.0
771,31.0
772,107.0
773,47.0
774,162.0
775,66.0
776,45.0
777,6.0
778,28.0
779,76.0
780,74.0
781,35.0
782,30.0
783,57.0
784,13.0
785,32.0
786,73.0
787,15.0
788,24.0
789,57.0
790,11.0
791,43.0
792,150.0
793,109.0
794,26.0
795,43.0
796,113.0
797,74.0
798,20.0
799,20.0
800,77.0
801,22.0
802,25.0
803,23.0
804,190.0
805,86.0
806,18.0
807,72.0
808,39.0
809,34.0
810,32.0
811,32.0
812,70.0
813,37.0
814,69.0
815,29.0
816,51.0
817,36.0
818,65.0
819,27.0
820,51.0
821,55.0
822,55.0
823,19.0
824,54.0
825,40.0
826,77.0
827,42.0
828,75.0
829,64.0
830,25.0
831,63.0
832,45.0
833,42.0
834,150.0
835,75.0
836,30.0
837,4.0
838,23.0
839,45.0
840,53.0
841,3.0
842,35.0
843,26.0
844,13.0
845,40.0
846,28.0
847,45.0
848,24.0
849,53.0
850,47.0
851,28.0
852,23.0
853,42.0
854,80.0
855,43.0
856,47.0
857,166.0
858,56.0
859,15.0
860,24.0
861,55.0
862,45.0
863,48.0
864,82.0
865,34.0
866,34.0
867,47.0
868,25.0
869,37.0
870,41.0
871,108.0
872,56.0
873,29.0
874,29.0
875,39.0
876,31.0
877,94.0
878,87.0
879,69.0
880,29.0
881,13.0
882,34.0
883,15.0
884,38.0
885,34.0
886,99.0
887,15.0
888,63.0
889,94.0
890,25.0
891,25.0
892,47.0
893,79.0
894,104.0
895,26.0
896,8.0
897,87.0
898,20.0
899,68.0
900,63.0
901,56.0
902,36.0
903,33.0
904,28.0
905,46.0
906,45.0
907,120.0
908,373.0
909,104.0
910,244.0
911,26.0
912,69.0
913,29.0
914,54.0
915,101.0
916,73.0
917,10.0
918,22.0
919,106.0
920,29.0
921,46.0
922,30.0
923,214.0
924,41.0
925,52.0
926,45.0
927,226.0
928,40.0
929,115.0
930,46.0
931,20.0
932,32.0
933,33.0
934,18.0
935,148.0
936,65.0
937,11.0
938,18.0
939,44.0
940,55.0
941,51.0
942,97.0
943,101.0
944,28.0
945,17.0
946,36.0
947,32.0
948,56.0
949,55.0
950,35.0
951,22.0
952,20.0
953,102.0
954,55.0
955,39.0
956,64.0
957,97.0
958,28.0
959,28.0
960,75.0
961,61.0
962,23.0
963,39.0
964,15.0
965,36.0
966,16.0
967,55.0
968,30.0
969,46.0
970,148.0
971,38.0
972,46.0
973,96.0
974,34.0
975,18.0
976,67.0
977,79.0
978,21.0
979,49.0
980,111.0
981,27.0
982,31.0
983,37.0
984,148.0
985,75.0
986,16.0
987,107.0
988,39.0
989,52.0
990,132.0
991,71.0
992,71.0
993,77.0
994,31.0
995,91.0
996,45.0
997,33.0
998,47.0
999,136.0
1000,63.0
1001,97.0
1002,34.0
1003,96.0
1004,7.0
1005,91.0
1006,34.0
1007,59.0
1008,22.0
1009,61.0
1010,10.0
1011,17.0
1012,105.0
1013,61.0
1014,77.0
1015,39.0
1016,34.0
1017,116.0
1018,58.0
1019,28.0
1020,103.0
1021,103.0
1022,265.0
1023,68.0
1024,30.0
1025,110.0
1026,26.0
1027,24.0
1028,108.0
1029,105.0
1030,35.0
1031,34.0
1032,41.0
1033,20.0
1034,20.0
1035,52.0
1036,29.0
1037,51.0
1038,122.0
1039,53.0
1040,45.0
1041,38.0
1042,80.0
1043,73.0
1044,61.0
1045,65.0
1046,21.0
1047,85.0
1048,63.0
1049,127.0
1050,25.0
1051,59.0
1052,30.0
1053,217.0
1054,73.0
1055,63.0
1056,33.0
1057,24.0
1058,70.0
1059,138.0
1060,77.0
1061,193.0
1062,107.0
1063,24.0
1064,57.0
1065,54.0
1066,30.0
1067,106.0
1068,23.0
1069,213.0
1070,31.0
1071,51.0
1072,70.0
1073,69.0
1074,29.0
1075,30.0
1076,41.0
1077,11.0
1078,44.0
1079,16.0
1080,38.0
1081,66.0
1082,61.0
1083,83.0
1084,15.0
1085,50.0
1086,37.0
1087,38.0
1088,108.0
1089,22.0
1090,21.0
1091,64.0
1092,13.0
1093,19.0
1094,31.0
1095,26.0
1096,15.0
1097,210.0
1098,27.0
1099,26.0
1100,44.0
1101,54.0
1102,58.0
1103,82.0
1104,32.0
1105,32.0
1106,85.0
1107,112.0
1108,40.0
1109,28.0
1110,21.0
1111,125.0
1112,153.0
1113,134.0
1114,143.0
1115,62.0
1116,28.0
1117,79.0
1118,100.0
1119,26.0
1120,92.0
1121,87.0
1122,9.0
1123,23.0
1124,159.0
1125,40.0
1126,47.0
1127,75.0
1128,76.0
1129,32.0
1130,32.0
1131,93.0
1132,80.0
1133,27.0
1134,51.0
1135,67.0
1136,159.0
1137,24.0
1138,48.0
1139,42.0
1140,26.0
1141,67.0
1142,54.0
1143,30.0
1144,60.0
1145,75.0
1146,18.0
1147,117.0
1148,49.0
1149,26.0
1150,95.0
1151,40.0
1152,33.0
1153,56.0
1154,293.0
1155,42.0
1156,25.0
1157,36.0
1158,38.0
1159,25.0
1160,5.0
1161,70.0
1162,32.0
1163,48.0
1164,79.0
1165,28.0
1166,35.0
1167,5.0
1168,28.0
1169,24.0
1170,30.0
1171,89.0
1172,120.0
1173,55.0
1174,32.0
1175,61.0
1176,13.0
1177,40.0
1178,16.0
1179,30.0
1180,60.0
1181,22.0
1182,27.0
1183,67.0
1184,63.0
1185,24.0
1186,15.0
1187,98.0
1188,24.0
1189,129.0
1190,33.0
1191,29.0
1192,40.0
1193,28.0
1194,20.0
1195,94.0
1196,158.0
1197,57.0
1198,56.0
1199,29.0
1200,48.0
1201,42.0
1202,248.0
1203,12.0
1204,61.0
1205,48.0
