,avg_sharpness
0,6.104321064870463
1,6.637617337689659
2,7.9119218632441255
3,6.6411002714943965
4,6.468143908213961
5,5.744027796495767
6,5.569351304928757
7,5.5174081357814355
8,5.32044901432183
9,6.066865026598692
10,5.885950064212257
11,5.403995504408045
12,7.605475200987639
13,6.251983858748922
14,5.17396029706762
15,7.987068573490576
16,5.405607096389679
17,6.301054625371283
18,5.693776044861271
19,8.551407043127693
20,8.165077706947253
21,6.0860037742261115
22,7.041453823886345
23,7.6585120788906496
24,5.514373876126607
25,7.252923217977695
26,5.879206561496817
27,4.270978668887944
28,5.871364157718087
29,7.656229439232442
30,5.560295867488727
31,8.374912732851383
32,7.705775394341136
33,5.993405891470898
34,7.24810935958176
35,7.693297377520826
36,6.934218626107309
37,9.091870675797418
38,6.362671591005657
39,6.319662330383185
40,5.686059156698829
41,6.167087777685128
42,7.1017768406515005
43,7.081423577279143
44,4.4663212354424795
45,6.05897607084061
46,5.410582207572272
47,6.599331360432743
48,5.368218338936891
49,6.944283271032227
50,6.297977696733037
51,6.81720102936594
52,6.501316051005732
53,7.1410066040436595
54,7.482895262599036
55,7.121257216236026
56,6.598205345752769
57,6.630937528775761
58,7.9250350236750355
59,6.96718119020162
60,6.132185615448522
61,6.958949913877263
62,5.8613393454202205
63,6.602216809622159
64,6.28396660438099
65,7.211664762545896
66,7.733657435131022
67,7.167996528086027
68,8.19773922491179
69,9.05705124258556
70,5.0715199845893775
71,5.0887154158663375
72,5.703635432395705
73,7.940339816572369
74,6.667822999092914
75,5.540117497760921
76,6.965044278379281
77,6.043218893730773
78,6.068744640610683
79,5.776965664203267
80,4.525859130344458
81,6.034953986623449
82,6.910549423100878
83,6.722464818657351
84,8.602700734359788
85,6.200501600806029
86,6.402939527561768
87,7.144579539480238
88,7.033746056730373
89,5.690660869831368
90,5.35142845619781
91,6.209913301531655
92,6.398195053714706
93,4.935014735498056
94,5.110316145065243
95,7.61992517699914
96,5.213764800043037
97,6.778033277979716
98,6.496823411240021
99,6.153335876369089
100,6.319228866805466
101,7.828882407706268
102,6.328146640586192
103,7.654676287187843
104,5.546397868399625
105,7.979989520591115
106,7.631609450484929
107,6.510855441684178
108,5.731411964303939
109,6.125011233898008
110,4.8792767626469065
111,7.463262560261619
112,5.656982179922542
113,7.0261220906404205
114,5.794909134442172
115,6.3248146611938285
116,6.546656262622514
117,5.825879530478514
118,7.7715769249207405
119,7.569314218757944
120,7.275590620232931
121,6.123742432187011
122,5.9105468098830265
123,6.738566606994332
124,6.092977578377462
125,5.230102488225539
126,7.964663441546961
127,7.101996168781743
128,8.119995821442581
129,5.875730227007761
130,6.664434388408331
131,6.145825399395223
132,6.776695304588323
133,7.944960974251776
134,7.209490094946247
135,6.568681752457602
136,6.787888716678432
137,6.13541091288651
138,6.517182974394097
139,7.465054659915288
140,7.076751456175074
141,7.113580410072027
142,8.014788039017052
143,6.546204171379926
144,6.8909568911543495
145,8.719364155650204
146,7.246798157773241
147,6.965479200495653
148,6.1246637883018575
149,6.965479200495653
150,8.429907653968588
151,6.88828002948831
152,8.496454666007168
153,5.815517063060929
154,6.780267369498385
155,5.452137315600823
156,6.910525736332918
157,4.5559490312925455
158,8.026394470147473
159,7.338612301504736
160,8.217219685602641
161,7.243752228725561
162,7.056459189917567
163,5.875391542148619
164,7.3676018325781
165,6.9225524194824875
166,8.258691033031488
167,6.925630284383921
168,4.997323662426672
169,6.261164417576939
170,6.450857241325119
171,7.037863274577344
172,6.821184237203424
173,7.334200806772265
174,6.873489916763274
175,4.490605150108983
176,5.852598391739379
177,5.353191296189066
178,6.08382012359897
179,5.6022351013902485
180,8.129022168911938
181,6.920546080462473
182,5.771644089761885
183,5.612656832886433
184,5.630284740141707
185,5.79971353462499
186,7.281181254098122
187,7.3567035548106965
188,7.0112788037802956
189,7.5514516501253315
190,4.329892121898695
191,7.273189689303228
192,5.794022297826624
193,6.977185891732728
194,7.2835733798940465
195,7.176423877303805
196,5.943647210693849
197,7.940339816572369
198,6.432067294626356
199,6.271787340723005
200,6.734594388441788
201,5.794909134442172
202,7.826230009073868
203,6.726164367156035
204,6.480585104357742
205,7.719120222901139
206,7.516472292320947
207,6.004562061305188
208,7.025452030653803
209,4.418445004894973
210,6.551919033568786
211,5.959520007547315
212,6.832954835947692
213,7.157254581315184
214,8.752376634104508
215,6.609837797676259
216,7.008272339266279
217,7.927045219604849
218,7.473578071245963
219,6.156739126577639
220,6.397378550974601
221,6.669085422763953
222,7.81143811660004
223,7.240925663483627
224,6.175243783548603
225,7.862259648895058
226,9.075682621740434
227,6.245824260535767
228,4.900829628842831
229,6.224184979699188
230,7.894007859727746
231,7.126499582156736
232,6.496899028442337
233,6.049834569491403
234,5.476682447048134
235,7.669616032099705
236,8.080432885206314
237,5.318679766949838
238,7.878533440559098
239,7.063953620525196
240,5.105340422880078
241,4.850025257700894
242,6.450957269775047
243,6.561500021597989
244,6.6131421992600075
245,5.368218338936891
246,7.398427711887691
247,7.027539799910817
248,7.656850479201946
249,6.099401971600124
250,6.597326448466659
251,-1.0
252,7.218029605381188
253,7.303779649131476
254,5.941886993683388
255,7.678819794710402
256,2.371355572623402
257,8.475999898161165
258,6.299481560502137
259,5.485610639156969
260,5.5479496879410055
261,7.504099522906832
262,7.163491009394966
263,6.237018225144485
264,4.859106354934448
265,6.824511574287474
266,6.16523660924324
267,7.3189508409131605
268,6.898542388595034
269,8.243003235304299
270,5.428442685329161
271,8.423723496225511
272,7.712212871091675
273,7.470058766938842
274,3.987680318844808
275,5.33973653734063
276,6.8327404040936495
