,max_sharpness
0,535.7972457743538
1,782.4955582122378
2,2770.1987295657345
3,781.1720500542142
4,1186.8392041955556
5,327.3175271168663
6,305.4758611371245
7,403.1801037800007
8,231.2444281361297
9,519.2709484993713
10,532.578839973955
11,267.9544431281083
12,2143.1110764163477
13,549.251980850179
14,263.1834252725763
15,3147.795854614869
16,272.9079334447585
17,630.3458576861913
18,364.66016928154534
19,5893.310022257526
20,5452.411023915301
21,649.2830550398847
22,1158.2552766512624
23,2135.032806596611
24,324.3463739264433
25,1487.1669961904086
26,362.6844174122222
27,85.50923495990963
28,382.8539218085562
29,2267.523233515078
30,342.13552187235354
31,5746.676787414666
32,2264.4263497524958
33,428.1677756568848
34,1426.2870615293516
35,2340.8901484679272
36,1054.0156728186062
37,13180.108024453515
38,2131.2457758090823
39,600.592224661088
40,348.2051740565104
41,638.5226259953785
42,1217.819601674765
43,1228.6026109669774
44,103.766961405256
45,502.606347604469
46,278.92245943451445
47,1102.995619783606
48,253.13313943888002
49,1055.1652419567288
50,826.5210889753931
51,1031.0866207591575
52,706.3960858297156
53,1318.8855371525717
54,1885.4814580498758
55,2050.249920391631
56,751.3025652943201
57,1048.6681582679278
58,3602.626436868501
59,1592.613417231276
60,603.4908783267972
61,1105.756094768842
62,438.35463271848346
63,746.6078440494545
64,593.2821016295061
65,2187.45644211153
66,2921.0984698485204
67,1902.2337781201775
68,3750.0591652779417
69,9052.888817247174
70,182.33062427515517
71,175.94186685007915
72,509.0194439423893
73,3055.1645650476203
74,814.0673692255344
75,278.57387724400877
76,1138.90700526111
77,486.83710035618907
78,479.3202457377965
79,363.56231179372014
80,95.32913887803818
81,559.0466081348136
82,1066.9449811147308
83,1093.2835953015085
84,5625.658462589216
85,541.5707648430048
86,778.8971260137082
87,1367.7027314223346
88,1344.1831415236293
89,577.8956641873576
90,335.0034886715737
91,634.1700097925655
92,912.9200054732712
93,182.8737986247553
94,181.39584272865073
95,2140.814873881258
96,320.630023447011
97,1119.2878402299361
98,962.6952050471058
99,520.410336710141
100,623.794332602701
101,2669.5503978551865
102,1071.4494894141667
103,2293.5929258144524
104,284.58523661027283
105,3052.850354805447
106,2122.3976351132765
107,788.4053375347927
108,474.8987234558392
109,487.4187668290826
110,442.2101123405551
111,2054.150938460268
112,373.2618314891322
113,1179.3736835212933
114,372.1669155202664
115,2270.150362895746
116,1015.5861066619253
117,378.64094091125696
118,2402.13669375
119,3370.537851758188
120,1892.8613831292223
121,466.0074573384764
122,404.7356339687018
123,851.051592603918
124,501.09939614189983
125,241.85022042618525
126,2884.362668578775
127,1447.3764646496443
128,4239.093983131377
129,642.8358316369885
130,1162.3553560754362
131,531.756468454047
132,2459.0844503039416
133,4126.799276859504
134,1401.860214892857
135,786.2839204197445
136,1016.5708125338831
137,723.5111634070989
138,1093.0899717795019
139,1968.3663060713484
140,1236.6725010243947
141,1235.9719781224146
142,3092.1992861709514
143,807.9618227706358
144,1130.534000113732
145,6754.001933262501
146,1471.4801542434527
147,1156.5259842132964
148,502.4839681723097
149,1156.5259842132964
150,4789.738549871706
151,1443.3854934295384
152,6551.826941828121
153,404.75652455135327
154,1044.1280041094587
155,383.2583156709683
156,1032.1754318442445
157,117.12895542773273
158,4709.71598170199
159,2357.634323062939
160,3939.2622106180074
161,1456.2017551780432
162,1358.0322912737563
163,404.7863304549305
164,2349.3186395449916
165,1027.45592880686
166,3937.8125978355893
167,1064.539617581613
168,153.9790449809929
169,682.5120889918016
170,738.5594109130849
171,1300.8245728057227
172,1124.5884798453187
173,1843.66021462386
174,1094.421312067655
175,107.16944835568071
176,420.08936198754685
177,258.38455779312574
178,457.1517397955247
179,384.49195877438694
180,3824.741287407968
181,1026.8361562421574
182,345.6660599865439
183,310.0438512686662
184,547.670441345596
185,356.03386518221043
186,1967.5799909588509
187,1605.877563585952
188,1370.072925766598
189,2287.0538756985147
190,83.4929414106004
191,1966.7536222533192
192,389.22424157161845
193,1753.1311386786974
194,1502.7094777643333
195,1598.615744282525
196,522.9952455587468
197,3055.1645650476203
198,680.9778227430556
199,545.2250250261595
200,1256.159926647242
201,372.1669155202664
202,2773.0378620824813
203,1129.8727880689833
204,843.9519037735429
205,2774.5953123794366
206,1849.8613044639708
207,446.49605468594956
208,1312.1245559149456
209,99.20367624860852
210,789.1697972787603
211,428.9159433511106
212,1478.5606787519605
213,1643.8050190318008
214,6738.442392358398
215,817.210136213039
216,1144.264423177216
217,2869.7558571397353
218,1847.759513488698
219,591.5945442945044
220,617.0033825861518
221,795.9429950308103
222,2628.0237737178536
223,1405.01781395814
224,522.6949224413581
225,2677.7130259921705
226,8901.818563544773
227,579.0446772379535
228,199.6879289926959
229,519.1778916589719
230,3052.2736406508975
231,1542.5399327869386
232,705.9885182552422
233,950.7918885823753
234,274.53091873781744
235,2853.703148860502
236,3264.407404004113
237,262.6451940842282
238,3529.6578829574587
239,2513.4640110662735
240,268.72903233578626
241,151.66108525847034
242,1210.4541511193036
243,790.3093358936806
244,1926.360464457323
245,253.13313943888002
246,1729.304728223582
247,1198.2227251106697
248,3219.611498845902
249,803.4639025695254
250,771.9438065371901
251,-1.0
252,1963.2552323696502
253,2876.5710358250526
254,599.0996351225326
255,2655.149048591764
256,12.846485167256722
257,4858.35395325741
258,557.4925865890825
259,258.10472252951945
260,411.3488504954881
261,1838.181162834513
262,3027.1747136877207
263,633.6139034083815
264,140.61366335532358
265,924.4256446325231
266,671.8083860831819
267,1530.5527367782593
268,1044.6319233585957
269,4485.43727611907
270,278.3011681822084
271,4891.869801150417
272,2518.3057680407865
273,2175.311581133743
274,59.43779137601886
275,389.3666437073016
276,1196.2665207021848
277,1388.5270495130735
278,1976.213876086224
279,325.4439134005403
280,11171.096715256695
281,694.9409904102913
282,1126.3900216429827
283,1278.914636550923
284,329.37215691247525
285,410.725854215583
286,1558.2971074380166
287,1784.8662723986954
288,1011.0272854551874
289,738.5594109130849
290,1302.6196685209293
291,1045.6706413121772
292,4839.9589920203725
293,2016.4709123726968
294,698.9418201584153
295,5595.125426131357
296,4155.211224546987
297,1562.9058070399408
298,1034.34700058381
299,5939.0105973504
300,597.1753147904736
301,5695.127888612568
302,865.9627901050392
303,1155.2346589826338
304,218.44598525322314
305,515.7512127547097
306,561.2730534153316
307,1642.8630254958284
308,143.74635972163597
309,907.7204655745911
310,1608.3790984404527
311,571.3358914580504
312,737.2855638078853
313,645.0790819326467
314,1132.9175481781067
315,446.80224303886456
316,351.29479689026147
317,425.6430002094787
318,1612.5548554168727
319,337.06136296296296
320,1139.9281810468217
321,260.24339934707456
322,424.5503687064721
323,1038.10971640339
324,210.46433866331043
325,657.3405710177776
326,546.1735302727594
327,208.78005715354638
328,2263.884501570247
329,3919.6389607337796
330,1459.3327793433036
331,480.89198579867207
332,603.2822044947306
333,1000.8388018902143
334,658.1530161409382
335,963.7372487413476
336,282.64955187287876
337,390.64853648770173
338,1199.0632355944042
339,1884.3229318037957
340,212.5225911063005
341,493.1565432405031
342,7374.46879348659
343,627.6150060008554
344,1800.457266662222
345,427.5129381424683
346,1251.9516282972475
347,3177.473872537992
348,279.29131703927067
349,478.6482484121826
350,745.8030527939476
351,127.36759671831598
352,1189.8036917822933
353,1141.5064991890874
354,801.1604608895724
355,565.8921557188941
356,2377.4542682034435
357,5936.99233037994
358,1515.2194104065468
359,1875.9185018116902
360,1382.4751626253894
361,1851.21324680032
362,1794.4933717310084
363,3163.7545986143305
364,986.0413600642206
365,37.71514660202093
366,372.1669155202664
367,439.3935004485044
368,2180.1536823640818
369,2871.481426427571
370,691.4699210962214
371,893.9928576403607
372,4812.375291866472
373,465.97488417775253
374,3259.7246951847046
375,470.63264180454206
376,1201.362789536345
377,1359.6886707312126
378,571.9881449162131
379,605.72337568385
380,2655.3414515853874
381,431.55992068936825
382,1825.3468179279098
383,930.7513356442
384,1012.4137742399888
385,457.9945115936698
386,1699.025262526319
387,1454.6680634975994
388,1105.1094213830324
389,1993.3133991311702
390,2178.76361804631
391,245.4069368502182
392,1604.0201970441367
393,1783.2442713424628
394,1372.9945937065972
395,1157.2028157359182
396,4055.1347931074292
397,3984.6912465410696
398,691.9288625600001
399,3567.3132291620996
400,1190.926565753065
401,1382.3486033195636
402,1777.8165189672065
403,1917.8673681564926
404,1141.3746314766258
405,628.691560326476
406,92.69105873702422
407,681.417602172307
408,1043.0130037745046
409,603.2923854691865
410,917.1005739919816
411,1026.8029627791236
412,2699.316868516375
413,853.6280495646623
414,2004.6978033434962
415,1472.9247315819525
416,190.67787643044662
417,179.66264815868485
418,3485.4253135265803
419,1508.9271301296642
420,179.66264815868485
